d              sd             t              st             v              sv             eta            s eta          x              sx             

0.0015         1e-05          44.605         0.75945        0.00112095     1.92221e-05    7.47774        0.0217229      0.025          0.000102062    
0.0015         1e-05          45.1403        1.54776        0.00110766     3.80465e-05    7.56747        0.0368464      0.05           0.000102062    
0.0015         1e-05          45.3465        2.62219        0.00110262     6.37995e-05    7.60205        0.0593785      0.075          0.000102062    
0.0015         1e-05          45.1538        2.86213        0.00110733     7.02259e-05    7.56974        0.0648061      0.1            0.000102062    
0.0015         1e-05          45.1742        3.49247        0.00110683     8.55996e-05    7.57317        0.0784792      0.125          0.000102062    
0.0015         1e-05          45.176         4.19343        0.00110678     0.000102761    7.57347        0.0937995      0.15           0.000102062    
0.0015         1e-05          45.0623        4.84378        0.00110958     0.000119291    7.5544         0.108334       0.175          0.000102062    
0.0015         1e-05          45.475         5.84991        0.00109951     0.000141458    7.62359        0.129346       0.2            0.000102062    
0.0015         1e-05          44.816         6.13061        0.00111567     0.000152636    7.51311        0.137459       0.225          0.000102062    
0.0015         1e-05          45.5475        6.47817        0.00109776     0.000156148    7.63575        0.142867       0.25           0.000102062    


0.002          1e-05          23.8148        0.175543       0.00209954     1.60586e-05    7.09758        0.0125918      0.025          0.000102062    
0.002          1e-05          24.273         0.390807       0.0020599      3.34309e-05    7.23416        0.0190642      0.05           0.000102062    
0.002          1e-05          24.2798        0.601901       0.00205933     5.12241e-05    7.23617        0.02681        0.075          0.000102062    
0.002          1e-05          24.2843        0.801533       0.00205895     6.8088e-05     7.23751        0.034549       0.1            0.000102062    
0.002          1e-05          24.2885        0.958099       0.00205859     8.13129e-05    7.23878        0.0407462      0.125          0.000102062    
0.002          1e-05          24.1805        1.07473        0.00206778     9.20019e-05    7.20659        0.0456036      0.15           0.000102062    
0.002          1e-05          24.3955        1.39443        0.00204956     0.000117226    7.27066        0.0580639      0.175          0.000102062    
0.002          1e-05          24.3997        1.48721        0.0020492      0.000124972    7.27193        0.0618007      0.2            0.000102062    
0.002          1e-05          24.5497        1.71308        0.00203668     0.00014218     7.31664        0.0705227      0.225          0.000102062    
0.002          1e-05          24.4698        2.05931        0.00204334     0.000172013    7.29279        0.0847744      0.25           0.000102062    


0.00318        1e-05          8.7305         0.312277       0.00572705     0.000205181    6.57806        0.0363753      0.025          0.000102062    
0.00318        1e-05          9.17375        0.282752       0.00545033     0.000168357    6.91203        0.0315239      0.05           0.000102062    
0.00318        1e-05          9.1545         0.224061       0.00546179     0.000134144    6.89752        0.025354       0.075          0.000102062    
0.00318        1e-05          9.306          0.226126       0.00537288     0.000131015    7.01167        0.0251836      0.1            0.000102062    
0.00318        1e-05          6.82125        3.50794        0.00733003     0.00376962     5.13952        0.514309       0.125          0.000102062    
0.00318        1e-05          12.0737        0.423006       0.00414122     0.000145334    9.09706        0.0356544      0.15           0.000102062    
0.00318        1e-05          8.89775        0.208866       0.0056194      0.000132407    6.70407        0.0243886      0.175          0.000102062    
0.00318        1e-05          9.40175        0.244981       0.00531816     0.000139       7.08382        0.0268839      0.2            0.000102062    
0.00318        1e-05          9.27575        0.234902       0.0053904      0.000136951    6.98888        0.0261744      0.225          0.000102062    
0.00318        1e-05          9.20775        0.271952       0.00543021     0.000160765    6.93765        0.0302672      0.25           0.000102062    


0.00476        1e-05          3.387          0.117891       0.0147623      0.000514715    5.71786        0.0351198      0.025          0.000102062    
0.00476        1e-05          3.51625        0.125236       0.0142197      0.000507286    5.93606        0.0359222      0.05           0.000102062    
0.00476        1e-05          3.5365         0.0770354      0.0141383      0.000309323    5.97024        0.0222794      0.075          0.000102062    
0.00476        1e-05          3.472          0.0502506      0.0144009      0.000210489    5.86136        0.01521        0.1            0.000102062    
0.00476        1e-05          3.55375        0.141033       0.0140696      0.0005591      5.99936        0.0399602      0.125          0.000102062    
0.00476        1e-05          3.64575        0.0281032      0.0137146      0.000109363    6.15468        0.00901636     0.15           0.000102062    
0.00476        1e-05          3.5475         0.0492388      0.0140944      0.000197733    5.98881        0.0146467      0.175          0.000102062    
0.00476        1e-05          3.50475        0.116774       0.0142664      0.000476229    5.91664        0.0336454      0.2            0.000102062    
0.00476        1e-05          3.619          0.0562569      0.013816       0.000216611    6.10952        0.0162332      0.225          0.000102062    
0.00476        1e-05          3.5735         0.10541        0.0139919      0.000413717    6.03271        0.0298662      0.25           0.000102062    


0.00635        1e-05          1.7405         0.124807       0.0574548      0.00412036     2.61454        0.0717844      0.05           0.000102062    
0.00635        1e-05          2.51775        0.0775336      0.039718       0.00122378     3.78211        0.0309731      0.1            0.000102062    
0.00635        1e-05          2.42975        0.201278       0.0411565      0.00340963     3.64992        0.0829056      0.15           0.000102062    
0.00635        1e-05          2.609          0.185345       0.0383289      0.00272318     3.91919        0.071118       0.2            0.000102062    
0.00635        1e-05          2.69825        0.258834       0.0370611      0.00355534     4.05326        0.0959838      0.25           0.000102062    



Miglior stima di eta = 6.55889 +/- 0.192044
Deviazione standard campionaria = 1.28827
