d              sd             indice         v              sv             eta            s eta          

0.0015         1e-05          0              0.00108007     2.42728e-07    7.76081        0.0133372      
0.0015         1e-05          1              0.00109868     2.4691e-07     7.62932        0.0133372      
0.0015         1e-05          2              0.00111596     2.50794e-07    7.51117        0.0133372      
0.0015         1e-05          3              0.00113196     2.54389e-07    7.40505        0.0133372      


0.002          1e-05          4              0.00202485     4.55055e-07    7.35938        0.0100052      
0.002          1e-05          5              0.00204817     4.60294e-07    7.27558        0.0100052      
0.002          1e-05          6              0.00206745     4.64628e-07    7.20773        0.0100052      
0.002          1e-05          7              0.00207895     4.6721e-07     7.16789        0.0100052      


0.00318        1e-05          8              0.00535845     1.20423e-06    7.03055        0.00629755     
0.00318        1e-05          9              0.00537868     1.20877e-06    7.00411        0.00629755     
0.00318        1e-05          10             0.00541018     1.21596e-06    6.96333        0.00629755     
0.00318        1e-05          11             0.00532102     1.20336e-06    7.08           0.0062976      


0.00476        1e-05          12             0.0139855      3.14314e-06    6.03547        0.004214       
0.00476        1e-05          13             0.0140351      3.15431e-06    6.01414        0.004214       
0.00476        1e-05          14             0.0141013      3.16918e-06    5.9859         0.004214       
0.00476        1e-05          15             0.014152       3.18051e-06    5.96443        0.004214       


0.00635        1e-05          16             0.0369093      1.19132e-05    4.06992        0.00317449     
0.00635        1e-05          17             0.0410457      1.32685e-05    3.65977        0.00317454     
0.00635        1e-05          18             0.039085       1.26167e-05    3.84337        0.00317449     
0.00635        1e-05          19             0.0396185      1.2787e-05     3.79162        0.00317449     


