****************************************************************************************************
SERIE 55
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.43815
Indice Pearson = 0.99987 +/- 0.00053
Gradi di Liberta' = 935
	t = 1879.8984648801816
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.02858 +/- 0.00819
b = 25.77637 +/- 0.01412

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.81235   19.98000  0.00289      19.91080      574.64940    
0.81235   19.98000  0.00289      19.91080      574.64940    
0.81169   19.96000  0.00289      19.89380      525.84523    
0.81169   19.96000  0.00289      19.89380      525.84523    
0.81103   19.96000  0.00289      19.87683      829.98373    
0.81103   19.94000  0.00289      19.87683      478.78844    
0.81037   19.93000  0.00289      19.85989      589.79663    
0.81037   19.93000  0.00289      19.85989      589.79663    
0.80972   19.91000  0.00289      19.84298      539.01134    
0.80972   19.91000  0.00289      19.84298      539.01134    
0.80972   19.91000  0.00289      19.84298      539.01134    
0.80906   19.89000  0.00289      19.82609      490.09218    
0.80906   19.89000  0.00289      19.82609      490.09218    
0.80841   19.88000  0.00289      19.80923      600.93999    
0.80775   19.86000  0.00289      19.79240      548.33682    
0.80775   19.87000  0.00289      19.79240      722.57173    
0.80710   19.85000  0.00289      19.77560      664.28866    
0.80710   19.85000  0.00289      19.77560      664.28866    
0.80710   19.85000  0.00289      19.77560      664.28866    
0.80645   19.83000  0.00289      19.75882      607.99290    
0.80580   19.83000  0.00289      19.74207      927.81544    
0.80580   19.83000  0.00289      19.74207      927.81544    
0.80515   19.81000  0.00289      19.72535      859.95954    
0.80515   19.81000  0.00289      19.72535      859.95954    
0.80451   19.80000  0.00289      19.70865      1001.39659   
0.80451   19.79000  0.00289      19.70865      794.15463    
0.80451   19.79000  0.00289      19.70865      794.15463    
0.80386   19.77000  0.00289      19.69198      730.46592    
0.80386   19.77000  0.00289      19.69198      730.46592    
0.80321   19.77000  0.00289      19.67534      1075.34434   
0.80321   19.76000  0.00289      19.67534      860.15163    
0.80257   19.75000  0.00289      19.65872      999.84315    
0.80257   19.75000  0.00289      19.65872      999.84315    
0.80257   19.75000  0.00289      19.65872      999.84315    
0.80192   19.75000  0.00289      19.64213      1396.30173   
0.80192   19.74000  0.00289      19.64213      1149.41472   
0.80192   19.73000  0.00289      19.64213      926.52771    
0.80128   19.72000  0.00289      19.62557      1070.10313   
0.80128   19.69000  0.00289      19.62557      498.18803    
0.80064   19.69000  0.00289      19.60903      786.72134    
0.80000   19.69000  0.00289      19.59252      1140.26534   
0.79936   19.67000  0.00289      19.57604      1059.48493   
0.79936   19.68000  0.00289      19.57604      1296.99608   
0.79872   19.65000  0.00289      19.55958      981.10049    
0.79808   19.62000  0.00289      19.54315      708.73705    
0.79745   19.61000  0.00289      19.52674      831.79365    
0.79681   19.60000  0.00289      19.51036      964.13319    
0.79681   19.58000  0.00289      19.51036      581.88492    
0.79681   19.59000  0.00289      19.51036      761.00905    
0.79681   19.58000  0.00289      19.51036      581.88492    
0.79618   19.58000  0.00289      19.49401      887.26650    
0.79618   19.57000  0.00289      19.49401      692.89597    
0.79554   19.55000  0.00289      19.47769      627.52399    
0.79491   19.54000  0.00289      19.46138      741.63905    
0.79491   19.53000  0.00289      19.46138      564.96294    
0.79491   19.52000  0.00289      19.46138      412.28683    
0.79428   19.53000  0.00289      19.44511      864.75414    
0.79428   19.52000  0.00289      19.44511      673.01853    
0.79365   19.50000  0.00289      19.42886      607.28739    
0.79302   19.48000  0.00289      19.41264      544.51641    
0.79239   19.46000  0.00289      19.39644      484.77659    
0.79177   19.44000  0.00289      19.38027      428.13920    
0.79114   19.43000  0.00289      19.36412      520.78181    
0.79114   19.41000  0.00289      19.36412      252.56969    
0.79114   19.41000  0.00289      19.36412      252.56969    
0.79051   19.41000  0.00289      19.34800      461.25377    
0.78989   19.39000  0.00289      19.33191      404.98232    
0.78927   19.39000  0.00289      19.31584      660.02375    
0.78927   19.38000  0.00289      19.31584      494.03178    
0.78927   19.37000  0.00289      19.31584      352.03982    
0.78864   19.37000  0.00289      19.29979      591.49639    
0.78864   19.35000  0.00289      19.29979      302.49890    
0.78802   19.35000  0.00289      19.28377      526.32208    
0.78740   19.35000  0.00289      19.26778      811.23496    
0.78740   19.33000  0.00289      19.26778      464.57420    
0.78740   19.33000  0.00289      19.26778      464.57420    
0.78678   19.33000  0.00289      19.25181      733.63738    
0.78678   19.31000  0.00289      19.25181      406.32634    
0.78678   19.31000  0.00289      19.25181      406.32634    
0.78616   19.31000  0.00289      19.23587      659.49312    
0.78616   19.30000  0.00289      19.23587      493.57271    
0.78555   19.30000  0.00289      19.21995      769.00167    
0.78555   19.28000  0.00289      19.21995      432.75133    
0.78493   19.27000  0.00289      19.20405      521.86206    
0.78431   19.27000  0.00289      19.18819      803.23439    
0.78431   19.25000  0.00289      19.18819      458.52457    
0.78431   19.25000  0.00289      19.18819      458.52457    
0.78431   19.25000  0.00289      19.18819      458.52457    
0.78370   19.23000  0.00289      19.17234      398.93899    
0.78370   19.23000  0.00289      19.17234      398.93899    
0.78309   19.22000  0.00289      19.15652      483.52637    
0.78186   19.20000  0.00289      19.12496      675.74408    
0.78125   19.19000  0.00289      19.10921      783.17069    
0.78064   19.17000  0.00289      19.09349      702.39199    
0.78003   19.15000  0.00289      19.07780      625.58390    
0.77942   19.14000  0.00289      19.06213      727.72063    
0.77942   19.11000  0.00289      19.06213      275.02881    
0.77882   19.11000  0.00289      19.04648      484.18748    
0.77882   19.11000  0.00289      19.04648      484.18748    
0.77821   19.08000  0.00289      19.03086      289.80933    
0.77821   19.09000  0.00289      19.03086      419.75359    
0.77821   19.08000  0.00289      19.03086      289.80933    
0.77760   19.06000  0.00289      19.01526      240.21897    
0.77760   19.06000  0.00289      19.01526      240.21897    
0.77760   19.05000  0.00289      19.01526      144.83876    
0.77700   19.05000  0.00289      18.99968      303.80196    
0.77700   19.05000  0.00289      18.99968      303.80196    
0.77640   19.03000  0.00289      18.98413      252.43977    
0.77640   19.03000  0.00289      18.98413      252.43977    
0.77580   19.02000  0.00289      18.96861      316.93024    
0.77580   19.00000  0.00289      18.96861      118.25108    
0.77519   19.01000  0.00289      18.95311      388.42015    
0.77519   19.00000  0.00289      18.95311      263.87650    
0.77459   18.97000  0.00289      18.93763      125.74475    
0.77399   18.97000  0.00289      18.92218      274.46292    
0.77280   18.94000  0.00289      18.89134      284.13980    
0.77220   18.93000  0.00289      18.87596      350.47161    
0.77220   18.93000  0.00289      18.87596      350.47161    
0.77160   18.91000  0.00289      18.86060      292.85486    
0.77101   18.90000  0.00289      18.84526      359.52012    
0.77101   18.90000  0.00289      18.84526      359.52012    
0.77042   18.88000  0.00289      18.82995      300.56263    
0.76982   18.88000  0.00289      18.81467      512.23032    
0.76923   18.86000  0.00289      18.79940      440.66065    
0.76923   18.86000  0.00289      18.79940      440.66065    
0.76923   18.86000  0.00289      18.79940      440.66065    
0.76864   18.84000  0.00289      18.78416      374.15951    
0.76864   18.84000  0.00289      18.78416      374.15951    
0.76805   18.84000  0.00289      18.76894      605.87760    
0.76805   18.81000  0.00289      18.76894      202.27314    
0.76746   18.82000  0.00289      18.75375      526.68710    
0.76746   18.81000  0.00289      18.75375      379.68716    
0.76746   18.80000  0.00289      18.75375      256.68722    
0.76687   18.80000  0.00289      18.73858      452.69692    
0.76687   18.79000  0.00289      18.73858      317.28779    
0.76687   18.78000  0.00289      18.73858      205.87866    
0.76628   18.78000  0.00289      18.72343      383.98881    
0.76628   18.77000  0.00289      18.72343      260.22629    
0.76628   18.77000  0.00289      18.72343      260.22629    
0.76570   18.77000  0.00289      18.70831      456.70492    
0.76511   18.76000  0.00289      18.69321      535.35139    
0.76511   18.75000  0.00289      18.69321      387.04897    
0.76511   18.75000  0.00289      18.69321      387.04897    
0.76453   18.75000  0.00289      18.67813      619.84414    
0.76394   18.74000  0.00289      18.66307      710.09972    
0.76394   18.73000  0.00289      18.66307      537.47906    
0.76336   18.72000  0.00289      18.64804      621.33837    
0.76278   18.69000  0.00289      18.63303      389.41410    
0.76161   18.63000  0.00289      18.60308      86.93055     
0.76161   18.63000  0.00289      18.60308      86.93055     
0.76161   18.64000  0.00289      18.60308      163.52673    
0.76104   18.63000  0.00289      18.58814      210.22551    
0.76104   18.62000  0.00289      18.58814      121.77242    
0.76046   18.62000  0.00289      18.57323      262.52693    
0.75988   18.59000  0.00289      18.55833      120.34426    
0.75930   18.59000  0.00289      18.54346      259.92188    
0.75815   18.57000  0.00289      18.51378      379.24965    
0.75815   18.55000  0.00289      18.51378      157.40538    
