Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,30.073,0.075,0.294,28.088
0.020,28.022,0.055,0.294,28.197
0.040,25.515,0.044,0.294,28.308
0.060,22.632,0.026,0.294,28.411
0.080,19.380,0.017,0.294,28.503
0.100,15.841,-0.014,0.294,26.912
0.120,12.067,-0.028,0.294,26.840
0.140,8.147,-0.039,0.294,26.799
0.160,4.099,-0.063,0.294,26.789
0.180,-0.015,-0.076,0.294,26.810
0.200,-4.122,-0.095,0.294,26.865
0.220,-8.183,-0.111,0.294,26.944
0.240,-12.103,-0.119,0.294,27.048
0.260,-15.841,-0.133,0.294,27.163
0.280,-19.351,-0.137,0.294,27.301
0.300,-22.591,-0.144,0.294,27.995
0.320,-25.456,-0.146,0.294,27.885
0.340,-27.935,-0.148,0.294,27.798
0.360,-29.991,-0.146,0.294,27.722
0.380,-31.585,-0.145,0.294,27.679
0.400,-32.692,-0.144,0.294,27.657
0.420,-33.296,-0.140,0.294,27.660
0.440,-33.419,-0.127,0.294,27.685
0.460,-33.050,-0.122,0.294,27.745
0.480,-32.194,-0.107,0.294,27.821
0.500,-30.794,-0.102,0.294,27.916
0.520,-28.954,-0.080,0.294,28.016
0.540,-26.669,-0.071,0.294,28.126
0.560,-23.979,-0.047,0.294,28.229
0.580,-20.909,-0.035,0.294,28.329
0.600,-17.546,-0.015,0.294,28.411
0.620,-13.931,-0.003,0.294,27.555
0.640,-10.046,0.017,0.294,27.570
0.660,-6.044,0.027,0.294,27.614
0.680,-1.937,0.053,0.294,27.685
0.700,2.212,0.058,0.294,27.786
0.720,6.319,0.080,0.294,27.910
0.740,10.321,0.089,0.294,28.057
0.760,14.188,0.101,0.294,28.230
0.780,17.821,0.109,0.294,28.403
0.800,21.167,0.116,0.294,27.969
0.820,24.255,0.125,0.294,27.871
0.840,26.915,0.127,0.294,27.771
0.860,29.206,0.132,0.294,27.705
0.880,31.028,0.129,0.294,27.642
0.900,32.440,0.128,0.294,27.620
0.920,33.331,0.122,0.294,27.613
0.940,33.706,0.117,0.294,27.642
0.960,33.601,0.107,0.294,27.689
0.980,32.979,0.102,0.294,27.766
1.000,31.884,0.081,0.294,27.855
1.020,30.284,0.078,0.294,27.968
1.040,28.286,0.056,0.294,28.084
1.060,25.831,0.048,0.294,28.203
1.080,22.966,0.030,0.294,28.314
1.100,19.772,0.018,0.294,28.416
1.120,16.257,-0.008,0.294,28.574
1.140,12.524,-0.020,0.294,28.515
1.160,8.599,-0.038,0.294,28.479
1.180,4.562,-0.053,0.294,28.469
1.200,0.466,-0.077,0.294,28.481
1.220,-3.659,-0.086,0.294,28.521
1.240,-7.720,-0.106,0.294,28.576
1.260,-11.675,-0.112,0.294,28.653
1.280,-15.425,-0.124,0.294,28.736
1.300,-18.964,-0.134,0.294,28.828
1.320,-22.251,-0.137,0.294,28.084
1.340,-25.151,-0.141,0.294,27.992
1.360,-27.694,-0.141,0.294,27.922
1.380,-29.792,-0.144,0.294,27.860
1.400,-31.450,-0.145,0.294,27.826
1.420,-32.599,-0.138,0.294,27.815
1.440,-33.261,-0.134,0.294,27.833
1.460,-33.454,-0.126,0.294,27.873
1.480,-33.132,-0.116,0.294,27.936
1.500,-32.323,-0.109,0.294,28.025
1.520,-30.999,-0.094,0.294,28.127
1.540,-29.183,-0.079,0.294,28.242
1.560,-26.950,-0.066,0.294,28.363
1.580,-24.313,-0.045,0.294,28.478
1.600,-21.302,-0.031,0.294,28.587
1.620,-17.962,-0.011,0.294,28.681
1.640,-14.341,0.001,0.294,27.558
1.660,-10.515,0.020,0.294,27.465
1.680,-6.524,0.035,0.294,27.399
1.700,-2.429,0.057,0.294,27.365
1.720,1.720,0.067,0.294,27.361
1.740,5.868,0.080,0.294,27.385
1.760,9.882,0.088,0.294,27.431
1.780,13.749,0.108,0.294,27.498
1.800,17.417,0.114,0.294,27.578
1.820,20.804,0.125,0.294,28.299
1.840,23.933,0.126,0.294,28.188
1.860,26.651,0.139,0.294,28.088
1.880,28.960,0.136,0.294,28.001
1.900,30.847,0.137,0.294,27.934
1.920,32.294,0.132,0.294,27.898
1.940,33.237,0.126,0.294,27.883
1.960,33.683,0.121,0.294,27.902
1.980,33.636,0.111,0.294,27.940
2.000,33.097,0.101,0.294,28.005
2.020,32.036,0.088,0.294,28.086
2.040,30.501,0.075,0.294,28.184
2.060,28.538,0.062,0.294,28.288
2.080,26.136,0.053,0.294,28.392
2.100,23.306,0.033,0.294,28.489
2.120,20.159,0.023,0.294,28.578
2.140,16.690,-0.009,0.294,27.186
2.160,12.946,-0.020,0.294,27.156
2.180,9.062,-0.036,0.294,27.155
2.200,5.036,-0.052,0.294,27.183
2.220,0.940,-0.072,0.294,27.244
2.240,-3.190,-0.087,0.294,27.335
2.260,-7.263,-0.108,0.294,27.452
2.280,-11.200,-0.118,0.294,27.599
2.300,-14.991,-0.126,0.294,27.760
2.320,-18.571,-0.137,0.294,27.935
2.340,-21.899,-0.140,0.294,28.071
2.360,-24.829,-0.148,0.294,27.960
2.380,-27.390,-0.147,0.294,27.860
2.400,-29.563,-0.148,0.294,27.785
2.420,-31.269,-0.144,0.294,27.731
2.440,-32.487,-0.144,0.294,27.707
2.460,-33.226,-0.139,0.294,27.706
2.480,-33.437,-0.132,0.294,27.729
2.500,-33.179,-0.119,0.294,27.777
2.520,-32.417,-0.114,0.294,27.850
2.540,-31.181,-0.099,0.294,27.943
2.560,-29.417,-0.084,0.294,28.049
2.580,-27.226,-0.079,0.294,28.161
2.600,-24.647,-0.053,0.294,28.270
2.620,-21.647,-0.042,0.294,28.376
2.640,-18.354,-0.016,0.294,28.467
2.660,-14.769,-0.008,0.294,28.458
2.680,-10.960,0.013,0.294,28.451
2.700,-6.987,0.026,0.294,28.470
2.720,-2.892,0.047,0.294,28.513
2.740,1.233,0.056,0.294,28.587
2.760,5.388,0.075,0.294,28.680
2.780,9.407,0.082,0.294,28.798
2.800,13.310,0.100,0.294,28.929
2.820,17.007,0.105,0.294,29.071
2.840,20.417,0.121,0.294,28.130
2.860,23.587,0.119,0.294,28.022
2.880,26.358,0.132,0.294,27.933
2.900,28.720,0.134,0.294,27.853
2.920,30.653,0.131,0.294,27.794
2.940,32.159,0.131,0.294,27.765
2.960,33.155,0.125,0.294,27.759
2.980,33.659,0.121,0.294,27.778
3.000,33.659,0.109,0.294,27.818
3.020,33.167,0.104,0.294,27.891
3.040,32.171,0.089,0.294,27.976
3.060,30.694,0.081,0.294,28.082
3.080,28.784,0.057,0.294,28.188
3.100,26.417,0.053,0.294,28.307
3.120,23.651,0.033,0.294,28.413
3.140,20.534,0.027,0.294,28.513
3.160,17.095,-0.007,0.294,28.590
3.180,13.380,-0.020,0.294,28.490
3.200,9.489,-0.035,0.294,28.416
3.220,5.470,-0.053,0.294,28.367
3.240,1.380,-0.066,0.294,28.343
3.260,-2.733,-0.090,0.294,28.347
3.280,-6.835,-0.102,0.294,28.373
3.300,-10.825,-0.112,0.289,28.421
3.320,-14.622,-0.124,0.289,28.479
3.340,-18.237,-0.132,0.288,28.545
3.360,-21.565,-0.137,0.288,28.105
3.380,-24.577,-0.148,0.288,27.999
3.400,-27.190,-0.143,0.288,27.897
3.420,-29.399,-0.149,0.288,27.823
3.440,-31.163,-0.140,0.288,27.761
3.460,-32.435,-0.148,0.288,27.736
3.480,-33.220,-0.131,0.288,27.722
3.500,-33.466,-0.133,0.288,27.749
3.520,-33.308,-0.120,0.288,27.789
3.540,-32.616,-0.109,0.288,27.856
3.560,-31.392,-0.099,0.288,27.936
3.580,-29.698,-0.082,0.288,28.035
3.600,-27.560,-0.070,0.288,28.134
3.620,-25.011,-0.053,0.288,28.236
3.640,-22.069,-0.034,0.288,28.329
3.660,-18.771,-0.019,0.288,28.409
3.680,-15.237,0.001,0.288,27.250
3.700,-11.446,0.010,0.288,27.162
3.720,-7.491,0.033,0.288,27.102
3.740,-3.396,0.051,0.288,27.073
3.760,0.747,0.063,0.288,27.075
3.780,4.896,0.077,0.288,27.108
3.800,8.950,0.090,0.288,27.162
3.820,12.864,0.102,0.288,27.242
3.840,16.591,0.117,0.288,27.334
3.860,20.060,0.117,0.288,27.440
3.880,23.229,0.126,0.288,27.823
3.900,26.048,0.126,0.288,27.718
3.920,28.468,0.140,0.289,27.635
3.940,30.460,0.137,0.289,27.563
3.960,32.007,0.137,0.289,27.516
3.980,33.073,0.133,0.289,27.491
4.000,33.630,0.129,0.289,27.496
4.020,33.694,0.118,0.289,27.526
4.040,33.267,0.108,0.289,27.582
4.060,32.312,0.095,0.289,27.661
4.080,30.905,0.084,0.289,27.755
4.100,29.019,0.069,0.289,27.859
4.120,26.716,0.059,0.289,27.969
4.140,23.979,0.038,0.289,28.074
4.160,20.921,0.029,0.289,28.173
4.180,17.505,-0.000,0.289,28.255
4.200,13.813,-0.016,0.289,27.176
4.220,9.958,-0.029,0.289,27.172
4.240,5.956,-0.045,0.289,27.197
4.260,1.854,-0.065,0.289,27.252
4.280,-2.259,-0.081,0.289,27.339
4.300,-6.343,-0.099,0.289,27.450
4.320,-10.351,-0.110,0.289,27.586
4.340,-14.171,-0.122,0.289,27.735
4.360,-17.786,-0.133,0.289,27.901
4.380,-21.179,-0.136,0.289,27.825
4.400,-24.196,-0.146,0.289,27.719
4.420,-26.868,-0.142,0.289,27.627
4.440,-29.118,-0.149,0.289,27.551
4.460,-30.929,-0.142,0.289,27.495
4.480,-32.276,-0.146,0.289,27.470
4.500,-33.108,-0.136,0.289,27.467
4.520,-33.425,-0.136,0.289,27.497
4.540,-33.302,-0.119,0.289,27.543
4.560,-32.681,-0.115,0.289,27.620
4.580,-31.521,-0.100,0.289,27.711
4.600,-29.868,-0.090,0.289,27.818
4.620,-27.771,-0.074,0.289,27.930
4.640,-25.257,-0.061,0.289,28.042
4.660,-22.386,-0.038,0.289,28.144
4.680,-19.134,-0.024,0.289,28.238
4.700,-15.647,-0.009,0.289,28.149
4.720,-11.851,0.007,0.289,28.110
4.740,-7.901,0.025,0.289,28.095
4.760,-3.847,0.045,0.289,28.104
4.780,0.284,0.054,0.289,28.140
4.800,4.444,0.069,0.289,28.198
4.820,8.505,0.083,0.289,28.276
4.840,12.437,0.095,0.289,28.374
4.860,16.175,0.109,0.289,28.481
4.880,19.685,0.115,0.289,28.593
4.900,22.884,0.121,0.289,27.787
4.920,25.761,0.129,0.289,27.687
4.940,28.216,0.129,0.289,27.595
4.960,30.255,0.133,0.289,27.530
4.980,31.843,0.130,0.289,27.484
5.000,32.968,0.129,0.289,27.466
5.020,33.595,0.127,0.289,27.469
5.040,33.712,0.113,0.289,27.494
5.060,33.337,0.113,0.289,27.548
5.080,32.446,0.096,0.289,27.618
5.100,31.099,0.089,0.289,27.706
5.120,29.253,0.068,0.289,27.801
5.140,27.015,0.059,0.289,27.906
5.160,24.325,0.030,0.289,28.000
5.180,21.284,0.027,0.289,28.096
5.200,17.927,-0.002,0.289,28.171
5.220,14.253,-0.014,0.289,27.567
5.240,10.427,-0.041,0.289,27.479
