pixel,grigio
0,0.8279
1,0.9757
2,1.1596
3,1.2379
4,1.0164
5,0.9577
6,0.8451
7,0.8670
8,0.8185
9,0.7848
10,0.7097
11,1.0078
12,0.8529
13,1.0133
14,1.0563
15,1.3568
16,1.0023
17,1.0188
18,0.7801
19,1.1385
20,1.1972
21,1.5039
22,1.1009
23,1.3513
24,1.2340
25,1.8474
26,1.7754
27,2.1698
28,1.9710
29,2.0376
30,1.6917
31,2.1800
32,2.2034
33,2.3889
34,1.9061
35,2.3552
36,2.1635
37,2.7441
38,2.5415
39,2.7027
40,2.5188
41,2.6620
42,2.3036
43,2.6541
44,2.5430
45,2.6800
46,2.2371
47,2.8005
48,2.5391
49,3.1189
50,2.8482
51,3.1103
52,2.4546
53,2.6487
54,2.1808
55,2.8826
56,2.7731
57,3.2778
58,2.8185
59,3.3545
60,2.9859
61,3.3498
62,2.8521
63,3.5172
64,3.3208
65,4.0649
66,3.9413
67,4.2433
68,3.6252
69,4.0923
70,3.7332
71,3.9601
72,3.7825
73,4.5579
74,4.8412
75,5.1604
76,4.6189
77,5.1894
78,4.8161
79,5.4797
80,5.3482
81,5.8975
82,5.5994
83,5.8208
84,5.3787
85,5.6651
86,5.5110
87,5.7793
88,5.8427
89,5.9421
90,5.9617
91,6.1080
92,5.6737
93,6.0892
94,5.7520
95,6.0994
96,5.7160
97,6.0892
98,5.7293
99,6.0485
100,5.6526
101,6.1064
102,5.7934
103,5.9218
104,5.5869
105,5.8959
106,5.4859
107,5.7316
108,5.2817
109,5.5172
110,5.4014
111,5.4053
112,5.2919
113,5.3169
114,4.8427
115,5.3028
116,4.8122
117,5.1894
118,4.9570
119,5.4178
120,5.2488
121,5.5039
122,4.8052
123,4.9358
124,4.4257
125,5.0728
126,4.8678
127,4.8036
128,4.1455
129,4.6894
130,4.1604
131,4.3670
132,3.7387
133,4.2175
134,3.5579
135,3.7715
136,3.1698
137,3.5728
138,3.2551
139,3.4914
140,2.6213
141,3.0243
142,2.7480
143,3.2058
144,2.5829
145,2.9601
146,2.2825
147,2.4601
148,2.0344
149,2.2347
150,1.7613
151,1.7480
152,1.3521
153,1.6111
154,1.3850
155,1.5743
156,1.3341
157,1.4241
158,1.1839
159,1.2285
160,1.0454
161,1.3912
162,1.3427
163,1.3232
164,1.0117
165,1.2254
166,0.9812
167,0.9883
168,0.9014
169,1.0454
170,0.8482
171,0.7402
172,0.7379
173,0.7934
174,0.7825
175,0.8646
176,0.9311
177,1.0203
178,0.8482
179,0.8106
180,0.7856
181,0.9687
182,0.8443
183,0.8717
184,0.7746
185,1.0282
186,0.9804
187,1.0587
188,0.8013
189,1.0955
190,1.1886
191,1.5501
192,1.3779
193,1.3756
194,1.1401
195,1.5266
196,1.4961
197,1.8357
198,1.7613
199,2.1440
