Serie,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,-50,1555200,14.526,4,53,22590940.000,22590940.000
2,-40,1555200,15.928,4,54,24771860.000,24771860.000
3,-30,1555200,17.049,4,52,26514372.000,26514372.000
4,-20,1555200,17.848,4,52,27757832.000,27757832.000
5,-10,1555200,18.150,4,53,28227400.000,28227400.000
6,-6,1555200,18.053,4,54,28076673.000,28076673.000
7,-4,1555200,18.145,4,54,28219711.000,28219711.000
8,-2,1555200,18.149,4,53,28225770.000,28225770.000
9,0,1555200,18.221,4,54,28337151.000,28337151.000
10,+2,1555200,18.080,4,55,28117291.000,28117291.000
11,+4,1555200,18.090,4,53,28134176.000,28134176.000
12,+6,1555200,18.063,4,55,28091824.000,28091824.000
13,+10,1555200,17.970,4,54,27947015.000,27947015.000
14,+20,1555200,17.360,4,51,26998573.000,26998573.000
15,+30,1555200,16.378,4,50,25471319.000,25471319.000
16,+40,1555200,15.070,4,49,23436156.000,23436156.000
17,+50,1555200,13.576,4,44,21113935.000,21113935.000
