pixel,intensita
650,76.3028
651,76.4538
652,76.7473
653,77.3365
654,77.6424
655,77.9171
656,78.0720
657,78.0900
658,78.5352
659,79.1205
660,79.2089
661,78.9210
662,79.0571
663,79.1745
664,79.3725
665,79.4617
666,79.3975
667,79.3333
668,79.5164
669,79.4515
670,79.7872
671,79.9765
672,80.1228
673,80.1049
674,80.1941
675,80.3216
676,80.2895
677,80.3005
678,80.5665
679,80.5188
680,80.7449
681,80.7903
682,80.8607
683,81.0329
684,80.7895
685,80.6761
686,80.6612
687,80.6768
688,80.7856
689,80.8451
690,80.8717
691,80.9382
692,80.9695
693,80.9084
694,80.9139
695,81.0211
696,81.1361
697,81.1166
698,80.9617
699,81.1111
700,80.9343
701,81.0618
702,81.1972
703,81.0070
704,80.8842
705,80.6377
706,80.6839
707,81.0798
708,81.3224
709,81.1393
710,81.0947
711,81.0274
712,80.9108
713,80.8599
714,81.0250
715,81.2394
716,81.1526
717,81.2081
718,81.0806
719,80.8928
720,80.6761
721,80.7207
722,80.5086
723,80.3075
724,80.6009
725,80.7011
726,80.8443
727,80.4984
728,80.2535
729,79.9844
730,79.9789
731,79.8803
732,79.7567
733,79.7222
734,79.6909
735,79.3138
736,79.3271
737,79.1385
738,79.1706
739,78.9820
740,78.7613
741,78.7191
742,78.3537
743,78.0376
744,77.8584
745,77.6847
746,77.4194
747,77.2856
748,76.9906
749,76.5446
750,76.0908
