pixel,intensita
1175,5.8286
1176,5.5994
1177,6.1127
1178,5.7144
1179,5.7340
1180,5.1408
1181,5.3592
1182,5.3537
1183,5.0908
1184,4.1440
1185,4.2848
1186,3.8599
1187,4.3059
1188,3.8991
1189,3.9562
1190,3.3529
1191,3.7433
1192,3.4171
1193,3.4914
1194,2.8818
1195,3.1236
1196,2.8944
1197,3.2183
1198,2.7003
1199,2.9851
1200,2.7324
1201,2.7911
1202,2.2379
1203,2.1166
1204,1.7668
1205,2.2285
1206,2.0657
1207,2.1424
1208,1.8005
1209,1.9757
1210,1.7183
1211,1.6009
1212,1.0336
1213,1.1635
1214,1.0117
1215,1.4202
1216,1.4304
1217,1.4969
1218,0.9609
1219,1.0469
1220,0.8310
1221,1.1017
1222,0.9671
1223,1.2105
1224,0.9797
1225,1.2629
1226,1.2942
1227,1.5673
1228,1.2590
1229,1.4984
1230,1.4405
1231,1.4609
1232,1.1972
1233,1.5164
1234,1.4131
1235,1.4100
1236,1.3584
1237,1.5845
1238,1.2895
1239,1.3490
1240,1.2496
1241,1.4781
1242,1.3638
1243,1.8920
1244,1.5743
1245,1.7707
1246,1.4836
1247,1.8865
1248,1.9632
1249,2.1502
1250,1.7778
1251,2.1909
1252,2.0978
1253,2.6260
1254,2.6690
1255,2.9405
1256,2.6228
1257,3.0438
1258,2.6909
1259,2.8552
1260,2.8294
1261,3.2551
1262,3.1854
1263,3.4617
1264,3.3349
1265,3.7105
1266,3.3153
1267,3.8059
1268,3.5282
1269,4.1792
1270,4.0790
1271,4.4280
1272,3.9147
1273,4.5743
1274,4.1870
1275,4.5391
