pixel,intensita
125,5.0728
126,4.8678
127,4.8036
128,4.1455
129,4.6894
130,4.1604
131,4.3670
132,3.7387
133,4.2175
134,3.5579
135,3.7715
136,3.1698
137,3.5728
138,3.2551
139,3.4914
140,2.6213
141,3.0243
142,2.7480
143,3.2058
144,2.5829
145,2.9601
146,2.2825
147,2.4601
148,2.0344
149,2.2347
150,1.7613
151,1.7480
152,1.3521
153,1.6111
154,1.3850
155,1.5743
156,1.3341
157,1.4241
158,1.1839
159,1.2285
160,1.0454
161,1.3912
162,1.3427
163,1.3232
164,1.0117
165,1.2254
166,0.9812
167,0.9883
168,0.9014
169,1.0454
170,0.8482
171,0.7402
172,0.7379
173,0.7934
174,0.7825
175,0.8646
176,0.9311
177,1.0203
178,0.8482
179,0.8106
180,0.7856
181,0.9687
182,0.8443
183,0.8717
184,0.7746
185,1.0282
186,0.9804
187,1.0587
188,0.8013
189,1.0955
190,1.1886
191,1.5501
192,1.3779
193,1.3756
194,1.1401
195,1.5266
196,1.4961
197,1.8357
198,1.7613
199,2.1440
200,1.9742
201,2.4006
202,2.2222
203,2.7574
204,2.6064
205,2.8474
206,2.5376
207,3.0376
208,3.1291
209,3.7973
210,3.5876
211,4.0156
212,3.9022
213,4.3036
214,4.0931
215,4.9390
216,4.6424
217,5.1095
218,4.8764
219,5.2848
220,5.1236
221,5.6987
222,5.3545
223,5.9194
224,5.8599
225,6.4257
