Test Chi Quadro massimo_____________________________________________
   x       y       y*      sy      Chi     
1  650.00  76.30   76.94   3.82    0.03    
2  651.00  76.45   77.11   3.82    0.03    
3  652.00  76.75   77.28   3.84    0.02    
4  653.00  77.34   77.45   3.87    0.00    
5  654.00  77.64   77.61   3.88    0.00    
6  655.00  77.92   77.77   3.90    0.00    
7  656.00  78.07   77.92   3.90    0.00    
8  657.00  78.09   78.07   3.90    0.00    
9  658.00  78.54   78.22   3.93    0.01    
10 659.00  79.12   78.36   3.96    0.04    
11 660.00  79.21   78.51   3.96    0.03    
12 661.00  78.92   78.64   3.95    0.00    
13 662.00  79.06   78.78   3.95    0.00    
14 663.00  79.17   78.91   3.96    0.00    
15 664.00  79.37   79.04   3.97    0.01    
16 665.00  79.46   79.16   3.97    0.01    
17 666.00  79.40   79.28   3.97    0.00    
18 667.00  79.33   79.40   3.97    0.00    
19 668.00  79.52   79.51   3.98    0.00    
20 669.00  79.45   79.62   3.97    0.00    
21 670.00  79.79   79.73   3.99    0.00    
22 671.00  79.98   79.83   4.00    0.00    
23 672.00  80.12   79.93   4.01    0.00    
24 673.00  80.10   80.02   4.01    0.00    
25 674.00  80.19   80.12   4.01    0.00    
26 675.00  80.32   80.21   4.02    0.00    
27 676.00  80.29   80.29   4.01    0.00    
28 677.00  80.30   80.37   4.02    0.00    
29 678.00  80.57   80.45   4.03    0.00    
30 679.00  80.52   80.53   4.03    0.00    
31 680.00  80.74   80.60   4.04    0.00    
32 681.00  80.79   80.67   4.04    0.00    
33 682.00  80.86   80.73   4.04    0.00    
34 683.00  81.03   80.79   4.05    0.00    
35 684.00  80.79   80.85   4.04    0.00    
36 685.00  80.68   80.91   4.03    0.00    
37 686.00  80.66   80.96   4.03    0.01    
38 687.00  80.68   81.00   4.03    0.01    
39 688.00  80.79   81.05   4.04    0.00    
40 689.00  80.85   81.09   4.04    0.00    
41 690.00  80.87   81.13   4.04    0.00    
42 691.00  80.94   81.16   4.05    0.00    
43 692.00  80.97   81.19   4.05    0.00    
44 693.00  80.91   81.22   4.05    0.01    
45 694.00  80.91   81.24   4.05    0.01    
46 695.00  81.02   81.26   4.05    0.00    
47 696.00  81.14   81.28   4.06    0.00    
48 697.00  81.12   81.29   4.06    0.00    
49 698.00  80.96   81.30   4.05    0.01    
50 699.00  81.11   81.30   4.06    0.00    
51 700.00  80.93   81.31   4.05    0.01    
52 701.00  81.06   81.30   4.05    0.00    
53 702.00  81.20   81.30   4.06    0.00    
54 703.00  81.01   81.29   4.05    0.00    
55 704.00  80.88   81.28   4.04    0.01    
56 705.00  80.64   81.27   4.03    0.02    
57 706.00  80.68   81.25   4.03    0.02    
58 707.00  81.08   81.23   4.05    0.00    
59 708.00  81.32   81.20   4.07    0.00    
60 709.00  81.14   81.17   4.06    0.00    
61 710.00  81.09   81.14   4.05    0.00    
62 711.00  81.03   81.10   4.05    0.00    
63 712.00  80.91   81.06   4.05    0.00    
64 713.00  80.86   81.02   4.04    0.00    
65 714.00  81.03   80.98   4.05    0.00    
66 715.00  81.24   80.93   4.06    0.01    
67 716.00  81.15   80.87   4.06    0.00    
68 717.00  81.21   80.82   4.06    0.01    
69 718.00  81.08   80.76   4.05    0.01    
70 719.00  80.89   80.69   4.04    0.00    
71 720.00  80.68   80.63   4.03    0.00    
72 721.00  80.72   80.56   4.04    0.00    
73 722.00  80.51   80.48   4.03    0.00    
74 723.00  80.31   80.40   4.02    0.00    
75 724.00  80.60   80.32   4.03    0.00    
76 725.00  80.70   80.24   4.04    0.01    
77 726.00  80.84   80.15   4.04    0.03    
78 727.00  80.50   80.06   4.02    0.01    
79 728.00  80.25   79.97   4.01    0.01    
80 729.00  79.98   79.87   4.00    0.00    
81 730.00  79.98   79.77   4.00    0.00    
82 731.00  79.88   79.66   3.99    0.00    
83 732.00  79.76   79.55   3.99    0.00    
84 733.00  79.72   79.44   3.99    0.00    
85 734.00  79.69   79.33   3.98    0.01    
86 735.00  79.31   79.21   3.97    0.00    
87 736.00  79.33   79.08   3.97    0.00    
88 737.00  79.14   78.96   3.96    0.00    
89 738.00  79.17   78.83   3.96    0.01    
90 739.00  78.98   78.70   3.95    0.01    
91 740.00  78.76   78.56   3.94    0.00    
92 741.00  78.72   78.42   3.94    0.01    
93 742.00  78.35   78.28   3.92    0.00    
94 743.00  78.04   78.13   3.90    0.00    
95 744.00  77.86   77.98   3.89    0.00    
96 745.00  77.68   77.83   3.88    0.00    
97 746.00  77.42   77.67   3.87    0.00    
98 747.00  77.29   77.51   3.86    0.00    
99 748.00  76.99   77.35   3.85    0.01    
100749.00  76.54   77.18   3.83    0.03    
101750.00  76.09   77.01   3.80    0.06    
Chi Quadro = 0.59
Gradi Libertà = 98
Chi Quadro Ridotto = 0.01

Test Chi Quadro minimo1dx_____________________________________________
   x       y       y*      sy      Chi     
1  850.00  20.21   20.12   1.01    0.01    
2  851.00  19.74   19.71   0.99    0.00    
3  852.00  19.67   19.31   0.98    0.13    
4  853.00  19.06   18.93   0.95    0.02    
5  854.00  18.92   18.56   0.95    0.15    
6  855.00  18.58   18.21   0.93    0.16    
7  856.00  18.24   17.88   0.91    0.16    
8  857.00  17.62   17.55   0.88    0.01    
9  858.00  17.44   17.25   0.87    0.05    
10 859.00  17.15   16.96   0.86    0.05    
11 860.00  16.86   16.68   0.84    0.05    
12 861.00  16.06   16.42   0.80    0.20    
13 862.00  15.67   16.18   0.78    0.42    
14 863.00  15.56   15.95   0.78    0.25    
15 864.00  15.55   15.74   0.78    0.06    
16 865.00  15.22   15.54   0.76    0.18    
17 866.00  15.32   15.36   0.77    0.00    
18 867.00  15.03   15.19   0.75    0.05    
19 868.00  14.93   15.04   0.75    0.02    
20 869.00  14.65   14.90   0.73    0.12    
21 870.00  14.65   14.78   0.73    0.03    
22 871.00  14.44   14.68   0.72    0.11    
23 872.00  14.57   14.59   0.73    0.00    
24 873.00  14.25   14.51   0.71    0.13    
25 874.00  14.23   14.45   0.71    0.09    
26 875.00  13.95   14.41   0.70    0.43    
27 876.00  14.25   14.38   0.71    0.03    
28 877.00  14.39   14.37   0.72    0.00    
29 878.00  14.62   14.37   0.73    0.12    
30 879.00  14.73   14.39   0.74    0.22    
31 880.00  14.60   14.42   0.73    0.06    
32 881.00  14.60   14.47   0.73    0.03    
33 882.00  14.77   14.53   0.74    0.11    
34 883.00  15.03   14.61   0.75    0.31    
35 884.00  15.15   14.70   0.76    0.35    
36 885.00  15.14   14.81   0.76    0.19    
37 886.00  15.16   14.94   0.76    0.08    
38 887.00  15.21   15.08   0.76    0.03    
39 888.00  15.41   15.24   0.77    0.05    
40 889.00  15.43   15.41   0.77    0.00    
41 890.00  15.69   15.60   0.78    0.01    
42 891.00  15.87   15.80   0.79    0.01    
43 892.00  16.28   16.02   0.81    0.11    
44 893.00  16.53   16.25   0.83    0.12    
45 894.00  16.78   16.50   0.84    0.11    
46 895.00  16.49   16.76   0.82    0.11    
47 896.00  16.64   17.04   0.83    0.23    
48 897.00  17.05   17.34   0.85    0.11    
49 898.00  17.65   17.65   0.88    0.00    
50 899.00  17.61   17.97   0.88    0.17    
51 900.00  17.67   18.31   0.88    0.53    
Chi Quadro = 5.94
Gradi Libertà = 48
Chi Quadro Ridotto = 0.12

Test Chi Quadro minimo1sx_____________________________________________
   x       y       y*      sy      Chi     
