Distance_(pixels),Gray_Value
0.0000E0,2.6667E0
1.0000E0,4.3419E0
2.0000E0,5.3632E0
3.0000E0,1.0311E1
4.0000E0,7.3205E0
5.0000E0,3.6507E0
6.0000E0,3.6667E0
7.0000E0,4.3040E-1
8.0000E0,4.3163E0
9.0000E0,4.6379E0
1.0000E1,3.6453E0
1.1000E1,9.7653E-1
1.2000E1,1.5360E-1
1.3000E1,6.3893E-1
1.4000E1,3.6219E0
1.5000E1,6.2853E0
1.6000E1,6.3504E0
1.7000E1,4.3877E0
1.8000E1,2.3717E0
1.9000E1,2.7072E0
2.0000E1,4.5387E0
2.1000E1,3.6891E0
2.2000E1,3.8309E0
2.3000E1,6.8139E0
2.4000E1,6.8715E0
2.5000E1,6.3067E0
2.6000E1,3.6389E0
2.7000E1,3.3045E0
2.8000E1,2.7861E0
2.9000E1,3.9381E0
3.0000E1,3.3653E0
3.1000E1,3.3664E0
3.2000E1,5.6667E0
3.3000E1,5.5963E0
3.4000E1,5.6667E0
3.5000E1,6.0000E0
3.6000E1,5.6021E0
3.7000E1,8.6272E0
3.8000E1,9.2523E0
3.9000E1,7.0411E0
4.0000E1,5.4960E0
4.1000E1,6.0000E0
4.2000E1,6.1989E0
4.3000E1,8.4251E0
4.4000E1,8.3803E0
4.5000E1,8.7147E0
4.6000E1,5.3824E0
4.7000E1,2.7520E0
4.8000E1,5.7691E0
4.9000E1,6.2091E0
5.0000E1,5.5600E0
5.1000E1,3.3333E0
5.2000E1,3.8891E0
5.3000E1,2.3333E0
5.4000E1,4.2757E0
5.5000E1,6.1173E0
5.6000E1,5.5723E0
5.7000E1,4.1824E0
5.8000E1,4.0379E0
5.9000E1,3.2075E0
6.0000E1,3.4613E0
6.1000E1,6.0000E0
6.2000E1,6.4021E0
6.3000E1,5.9381E0
6.4000E1,3.5984E0
6.5000E1,6.5280E0
6.6000E1,5.6149E0
6.7000E1,6.5952E0
6.8000E1,5.6667E0
6.9000E1,5.8139E0
7.0000E1,5.1493E0
7.1000E1,7.3787E0
7.2000E1,8.2565E0
7.3000E1,8.8005E0
7.4000E1,5.5088E0
7.5000E1,3.3867E0
7.6000E1,5.9008E0
7.7000E1,5.9952E0
7.8000E1,7.2507E0
7.9000E1,7.1685E0
8.0000E1,7.1627E0
8.1000E1,7.7408E0
8.2000E1,8.6336E0
8.3000E1,7.7136E0
8.4000E1,6.6667E0
8.5000E1,6.2427E0
8.6000E1,5.4587E0
8.7000E1,8.7216E0
8.8000E1,9.3008E0
8.9000E1,1.0764E1
9.0000E1,7.3787E0
9.1000E1,6.2491E0
9.2000E1,5.4907E0
9.3000E1,5.5675E0
9.4000E1,7.6667E0
9.5000E1,9.0000E0
9.6000E1,1.1359E1
9.7000E1,1.1149E1
9.8000E1,9.2288E0
9.9000E1,8.8779E0
1.0000E2,8.6667E0
1.0100E2,8.0304E0
1.0200E2,8.1296E0
1.0300E2,8.0075E0
1.0400E2,6.3323E0
1.0500E2,3.3387E0
1.0600E2,7.1072E0
1.0700E2,7.7899E0
1.0800E2,6.2181E0
1.0900E2,6.8293E0
1.1000E2,9.4507E0
1.1100E2,5.1184E0
1.1200E2,2.8805E0
1.1300E2,2.1205E0
1.1400E2,3.6667E0
1.1500E2,6.2453E0
1.1600E2,6.7424E0
1.1700E2,5.5829E0
1.1800E2,8.1189E0
1.1900E2,8.6667E0
1.2000E2,9.6933E0
1.2100E2,8.5915E0
1.2200E2,7.4795E0
1.2300E2,6.0709E0
1.2400E2,7.4549E0
1.2500E2,6.0667E0
1.2600E2,8.2688E0
1.2700E2,1.0177E1
1.2800E2,1.0454E1
1.2900E2,1.0428E1
1.3000E2,9.0827E0
1.3100E2,9.1397E0
1.3200E2,9.7557E0
1.3300E2,8.2411E0
1.3400E2,1.1000E1
1.3500E2,1.0280E1
1.3600E2,8.9136E0
1.3700E2,7.3973E0
1.3800E2,6.2555E0
1.3900E2,6.7035E0
1.4000E2,8.6667E0
1.4100E2,1.2000E1
1.4200E2,1.0091E1
1.4300E2,9.3051E0
1.4400E2,9.4869E0
1.4500E2,9.7147E0
1.4600E2,9.6229E0
1.4700E2,9.9803E0
1.4800E2,9.8069E0
1.4900E2,1.0174E1
1.5000E2,9.0000E0
1.5100E2,1.1678E1
1.5200E2,1.1333E1
1.5300E2,1.2000E1
1.5400E2,9.4976E0
1.5500E2,9.0000E0
1.5600E2,1.0167E1
1.5700E2,1.0659E1
1.5800E2,9.4869E0
1.5900E2,9.5029E0
1.6000E2,7.1307E0
1.6100E2,6.9595E0
1.6200E2,7.2843E0
1.6300E2,8.8117E0
1.6400E2,1.0175E1
1.6500E2,1.1176E1
1.6600E2,7.4896E0
1.6700E2,9.8219E0
1.6800E2,1.0617E1
1.6900E2,1.4486E1
1.7000E2,9.9120E0
1.7100E2,1.0057E1
1.7200E2,1.1899E1
1.7300E2,1.3113E1
1.7400E2,1.2000E1
1.7500E2,1.2480E1
1.7600E2,1.2521E1
1.7700E2,1.2378E1
1.7800E2,1.2093E1
1.7900E2,1.1715E1
1.8000E2,1.6728E1
1.8100E2,1.6386E1
1.8200E2,1.4861E1
1.8300E2,1.3610E1
1.8400E2,1.4274E1
1.8500E2,1.5877E1
1.8600E2,1.6397E1
1.8700E2,1.4866E1
1.8800E2,1.5331E1
1.8900E2,1.6054E1
1.9000E2,1.6451E1
1.9100E2,1.7630E1
1.9200E2,1.5562E1
1.9300E2,1.6029E1
1.9400E2,1.4839E1
1.9500E2,1.5501E1
1.9600E2,1.5712E1
1.9700E2,1.6949E1
1.9800E2,1.7211E1
1.9900E2,1.5970E1
2.0000E2,1.2333E1
2.0100E2,1.6524E1
2.0200E2,1.5118E1
2.0300E2,1.7650E1
2.0400E2,1.9088E1
2.0500E2,1.9323E1
2.0600E2,1.9886E1
2.0700E2,1.9550E1
2.0800E2,1.7222E1
2.0900E2,1.5333E1
2.1000E2,1.5557E1
2.1100E2,1.6450E1
2.1200E2,1.5893E1
2.1300E2,1.6091E1
2.1400E2,1.6192E1
2.1500E2,1.8000E1
2.1600E2,1.7490E1
2.1700E2,1.8380E1
2.1800E2,1.8403E1
2.1900E2,1.7766E1
2.2000E2,1.7888E1
2.2100E2,1.7862E1
2.2200E2,1.8237E1
2.2300E2,1.9189E1
2.2400E2,2.0145E1
2.2500E2,2.1867E1
2.2600E2,2.4333E1
2.2700E2,2.2091E1
2.2800E2,2.0577E1
2.2900E2,2.1089E1
2.3000E2,2.0949E1
2.3100E2,2.1942E1
2.3200E2,2.2192E1
2.3300E2,2.3757E1
2.3400E2,2.2585E1
2.3500E2,2.2749E1
2.3600E2,2.3415E1
2.3700E2,2.4172E1
2.3800E2,2.5746E1
2.3900E2,2.5255E1
2.4000E2,2.4309E1
2.4100E2,2.3590E1
2.4200E2,2.4258E1
2.4300E2,2.8296E1
2.4400E2,2.8530E1
2.4500E2,2.9333E1
2.4600E2,2.5284E1
2.4700E2,2.5178E1
2.4800E2,2.5000E1
2.4900E2,2.4333E1
2.5000E2,2.4867E1
2.5100E2,2.5328E1
2.5200E2,2.8258E1
2.5300E2,2.7730E1
2.5400E2,2.3979E1
2.5500E2,2.5483E1
2.5600E2,2.3454E1
2.5700E2,2.4586E1
2.5800E2,2.3841E1
2.5900E2,2.5276E1
2.6000E2,2.4445E1
2.6100E2,2.4165E1
2.6200E2,2.2044E1
2.6300E2,2.0370E1
2.6400E2,2.2184E1
2.6500E2,2.5536E1
2.6600E2,2.4617E1
2.6700E2,2.6042E1
2.6800E2,2.9288E1
2.6900E2,2.9907E1
2.7000E2,2.3152E1
2.7100E2,2.2245E1
2.7200E2,2.3537E1
2.7300E2,2.5958E1
2.7400E2,2.6543E1
2.7500E2,2.8533E1
2.7600E2,2.9528E1
2.7700E2,3.1447E1
2.7800E2,2.7037E1
2.7900E2,2.8524E1
2.8000E2,2.9368E1
2.8100E2,2.9434E1
2.8200E2,2.6797E1
2.8300E2,2.9635E1
2.8400E2,3.2181E1
2.8500E2,3.3029E1
2.8600E2,3.2689E1
2.8700E2,3.3585E1
2.8800E2,3.3797E1
2.8900E2,3.3742E1
2.9000E2,3.1811E1
2.9100E2,3.1804E1
2.9200E2,3.3667E1
2.9300E2,3.5771E1
2.9400E2,3.5667E1
2.9500E2,3.5685E1
2.9600E2,3.5649E1
2.9700E2,3.9033E1
2.9800E2,3.7938E1
2.9900E2,3.9043E1
3.0000E2,3.5667E1
3.0100E2,3.9297E1
3.0200E2,3.8378E1
3.0300E2,3.8959E1
3.0400E2,3.9585E1
3.0500E2,3.9277E1
3.0600E2,3.6021E1
3.0700E2,3.6667E1
3.0800E2,3.7010E1
3.0900E2,3.7345E1
3.1000E2,3.9659E1
3.1100E2,3.7332E1
3.1200E2,3.6332E1
3.1300E2,3.6997E1
3.1400E2,3.7000E1
3.1500E2,3.9651E1
3.1600E2,3.9330E1
3.1700E2,3.6014E1
3.1800E2,3.6339E1
3.1900E2,3.5993E1
3.2000E2,3.9008E1
3.2100E2,3.9027E1
3.2200E2,3.7000E1
3.2300E2,3.4300E1
3.2400E2,3.6297E1
3.2500E2,3.6667E1
3.2600E2,3.7261E1
3.2700E2,3.7241E1
3.2800E2,3.6983E1
3.2900E2,3.6596E1
3.3000E2,3.4037E1
3.3100E2,3.4039E1
3.3200E2,3.4687E1
3.3300E2,3.5290E1
3.3400E2,3.5713E1
3.3500E2,3.5907E1
3.3600E2,3.6326E1
3.3700E2,3.6948E1
3.3800E2,3.7000E1
3.3900E2,3.7028E1
3.4000E2,3.9755E1
3.4100E2,4.3757E1
3.4200E2,4.3113E1
3.4300E2,4.4000E1
3.4400E2,4.2832E1
3.4500E2,4.3563E1
3.4600E2,4.0774E1
3.4700E2,4.4409E1
3.4800E2,4.3076E1
3.4900E2,4.0411E1
3.5000E2,4.0333E1
3.5100E2,4.1210E1
3.5200E2,4.1621E1
3.5300E2,4.0494E1
3.5400E2,4.1490E1
3.5500E2,4.1696E1
3.5600E2,4.0473E1
3.5700E2,4.0237E1
3.5800E2,4.0958E1
3.5900E2,4.0950E1
3.6000E2,4.2616E1
3.6100E2,4.3178E1
3.6200E2,4.2667E1
3.6300E2,4.6805E1
3.6400E2,4.5286E1
3.6500E2,4.4331E1
3.6600E2,4.2000E1
3.6700E2,4.3217E1
3.6800E2,4.2333E1
3.6900E2,4.3153E1
3.7000E2,4.1939E1
3.7100E2,4.1979E1
3.7200E2,4.2143E1
3.7300E2,4.3290E1
3.7400E2,4.0858E1
3.7500E2,4.1000E1
3.7600E2,4.0474E1
3.7700E2,4.0011E1
3.7800E2,3.9473E1
3.7900E2,3.9383E1
3.8000E2,3.8072E1
3.8100E2,3.7041E1
3.8200E2,3.7482E1
3.8300E2,4.2140E1
3.8400E2,4.1076E1
3.8500E2,4.0768E1
3.8600E2,3.8784E1
3.8700E2,3.7795E1
3.8800E2,3.7000E1
3.8900E2,3.7898E1
3.9000E2,3.7243E1
3.9100E2,3.9749E1
