Test Chi Quadro Gaussiana_____________________________________________
   x       y       y*      sy      Chi     
1  0.00    3.63    3.39    0.29    0.71    
2  1.00    3.81    3.42    0.29    1.89    
3  2.00    3.63    3.44    0.29    0.43    
4  3.00    4.00    3.47    0.29    3.29    
5  4.00    4.82    3.50    0.29    20.92   
6  5.00    4.27    3.53    0.29    6.60    
7  6.00    4.04    3.56    0.29    2.86    
8  7.00    2.73    3.58    0.29    8.77    
9  8.00    3.36    3.61    0.29    0.77    
10 9.00    3.27    3.64    0.29    1.66    
11 10.00   2.81    3.67    0.29    8.93    
12 11.00   2.82    3.70    0.29    9.38    
13 12.00   2.73    3.73    0.29    11.99   
14 13.00   2.93    3.76    0.29    8.29    
15 14.00   3.19    3.79    0.29    4.34    
16 15.00   3.50    3.82    0.29    1.18    
17 16.00   3.37    3.85    0.29    2.73    
18 17.00   3.46    3.88    0.29    2.06    
19 18.00   3.95    3.91    0.29    0.02    
20 19.00   3.11    3.94    0.29    8.25    
21 20.00   4.33    3.97    0.29    1.57    
22 21.00   3.78    4.00    0.29    0.59    
23 22.00   4.20    4.03    0.29    0.34    
24 23.00   4.16    4.06    0.29    0.12    
25 24.00   4.76    4.10    0.29    5.30    
26 25.00   4.87    4.13    0.29    6.54    
27 26.00   4.38    4.16    0.29    0.60    
28 27.00   3.80    4.19    0.29    1.84    
29 28.00   4.09    4.22    0.29    0.23    
30 29.00   3.95    4.26    0.29    1.09    
31 30.00   4.32    4.29    0.29    0.01    
32 31.00   4.05    4.32    0.29    0.90    
33 32.00   4.97    4.35    0.29    4.57    
34 33.00   4.35    4.39    0.29    0.02    
35 34.00   4.95    4.42    0.29    3.37    
36 35.00   5.07    4.45    0.29    4.57    
37 36.00   5.30    4.49    0.29    7.94    
38 37.00   5.93    4.52    0.29    23.73   
39 38.00   5.91    4.56    0.29    22.09   
40 39.00   4.79    4.59    0.29    0.46    
41 40.00   4.77    4.63    0.29    0.23    
42 41.00   4.48    4.66    0.29    0.40    
43 42.00   4.59    4.70    0.29    0.15    
44 43.00   5.42    4.73    0.29    5.77    
45 44.00   4.69    4.77    0.29    0.06    
46 45.00   3.78    4.80    0.29    12.49   
47 46.00   3.90    4.84    0.29    10.45   
48 47.00   4.13    4.87    0.29    6.67    
49 48.00   5.23    4.91    0.29    1.25    
50 49.00   5.77    4.95    0.29    8.12    
51 50.00   5.96    4.98    0.29    11.54   
52 51.00   4.57    5.02    0.29    2.49    
53 52.00   4.14    5.06    0.29    10.17   
54 53.00   3.60    5.09    0.29    26.74   
55 54.00   4.36    5.13    0.29    7.20    
56 55.00   4.64    5.17    0.29    3.39    
57 56.00   4.86    5.21    0.29    1.42    
58 57.00   4.13    5.25    0.29    15.01   
59 58.00   4.07    5.28    0.29    17.68   
60 59.00   4.82    5.32    0.29    3.05    
61 60.00   4.43    5.36    0.29    10.47   
62 61.00   5.03    5.40    0.29    1.61    
63 62.00   5.68    5.44    0.29    0.71    
64 63.00   5.17    5.48    0.29    1.13    
65 64.00   5.33    5.52    0.29    0.45    
66 65.00   4.08    5.56    0.29    26.33   
67 66.00   4.18    5.60    0.29    24.10   
68 67.00   5.09    5.64    0.29    3.63    
69 68.00   5.77    5.68    0.29    0.09    
70 69.00   4.70    5.72    0.29    12.60   
71 70.00   4.46    5.76    0.29    20.22   
72 71.00   4.74    5.80    0.29    13.58   
73 72.00   5.98    5.84    0.29    0.21    
74 73.00   5.39    5.89    0.29    2.90    
75 74.00   5.68    5.93    0.29    0.74    
76 75.00   4.80    5.97    0.29    16.31   
77 76.00   5.54    6.01    0.29    2.69    
78 77.00   6.31    6.05    0.29    0.78    
79 78.00   6.40    6.10    0.29    1.10    
80 79.00   6.72    6.14    0.29    4.11    
81 80.00   6.23    6.18    0.29    0.03    
82 81.00   6.45    6.23    0.29    0.59    
83 82.00   6.43    6.27    0.29    0.32    
84 83.00   6.38    6.31    0.29    0.06    
85 84.00   6.75    6.36    0.29    1.85    
86 85.00   6.26    6.40    0.29    0.24    
87 86.00   5.85    6.45    0.29    4.21    
88 87.00   6.17    6.49    0.29    1.24    
89 88.00   7.31    6.54    0.29    7.18    
90 89.00   7.54    6.58    0.29    11.12   
91 90.00   6.48    6.63    0.29    0.25    
