 ,Label,IntDen,RawIntDen
1,Result of Snapshot_polarizzazione_+2_0001.jpg,18465150.000,18465150.000
2,Result of Snapshot_polarizzazione_+4_0001.jpg,18468954.000,18468954.000
3,Result of Snapshot_polarizzazione_+6_0001.jpg,18419504.000,18419504.000
4,Result of Snapshot_polarizzazione_+10_0001.jpg,18267126.000,18267126.000
5,Result of Snapshot_polarizzazione_+20_0001.jpg,17299991.000,17299991.000
6,Result of Snapshot_polarizzazione_+30_0001.jpg,15757036.000,15757036.000
7,Result of Snapshot_polarizzazione_+40_0001.jpg,13699981.000,13699981.000
8,Result of Snapshot_polarizzazione_+50_0001.jpg,11337794.000,11337794.000
9,Result of Snapshot_polarizzazione_0_0001.jpg,18668682.000,18668682.000
10,Result of Snapshot_polarizzazione_-2_0001.jpg,18558605.000,18558605.000
11,Result of Snapshot_polarizzazione_-4_0001.jpg,18554509.000,18554509.000
12,Result of Snapshot_polarizzazione_-6_0001.jpg,18429681.000,18429681.000
13,Result of Snapshot_polarizzazione_-10_0001.jpg,18558834.000,18558834.000
14,Result of Snapshot_polarizzazione_-20_0001.jpg,18046043.000,18046043.000
15,Result of Snapshot_polarizzazione_-30_0001.jpg,16783695.000,16783695.000
16,Result of Snapshot_polarizzazione_-40_0001.jpg,15025857.000,15025857.000
17,Result of Snapshot_polarizzazione_-50_0001.jpg,12824460.000,12824460.000
