 ,Label,IntDen,RawIntDen
1,Result of Snapshot_malus_0_0001.jpg,16870527.000,16870527.000
2,Result of Snapshot_malus_15_0001.jpg,16879484.000,16879484.000
3,Result of Snapshot_malus_-15_0001.jpg,15666514.000,15666514.000
4,Result of Snapshot_malus_30_0001.jpg,15748293.000,15748293.000
5,Result of Snapshot_malus_-30_0001.jpg,13193350.000,13193350.000
6,Result of Snapshot_malus_45_0001.jpg,13653861.000,13653861.000
7,Result of Snapshot_malus_60_0001.jpg,10725857.000,10725857.000
8,Result of Snapshot_malus_75_0001.jpg,7156797.000,7156797.000
9,Result of Snapshot_malus_90_0001.jpg,3500357.000,3500357.000
10,Result of Snapshot_malus_105_0001.jpg,3069785.000,3069785.000
11,Result of Snapshot_malus_120_0001.jpg,6429735.000,6429735.000
12,Result of Snapshot_malus_135_0001.jpg,9987604.000,9987604.000
13,Result of Snapshot_malus_150_0001.jpg,13192447.000,13192447.000
