d              sd             t              st             v              sv             eta            s eta          x              sx             

0.0015         1e-05          8.69275        0.0515182      0.00575192     3.60544e-05    1.40869        0.0148118      0.025          0.000102062    
0.0015         1e-05          8.85825        0.108902       0.00564446     7.03422e-05    1.43551        0.0183141      0.05           0.000102062    
0.0015         1e-05          8.85275        0.150952       0.00564796     9.69933e-05    1.43462        0.0217949      0.075          0.000102062    
0.0015         1e-05          8.94125        0.107621       0.00559206     6.82698e-05    1.44896        0.0181423      0.1            0.000102062    
0.0015         1e-05          8.83625        0.167328       0.00565851     0.000107774    1.43195        0.0232994      0.125          0.000102062    
0.0015         1e-05          8.95525        0.208904       0.00558332     0.000130743    1.45123        0.0269896      0.15           0.000102062    
0.0015         1e-05          8.9325         0.18968        0.00559754     0.00011941     1.44755        0.0252028      0.175          0.000102062    
0.0015         1e-05          9.03225        0.238697       0.00553572     0.000146729    1.46371        0.0297096      0.2            0.000102062    
0.0015         1e-05          9.088          0.246396       0.00550176     0.000149587    1.47275        0.0303206      0.225          0.000102062    
0.0015         1e-05          9.06175        0.349505       0.0055177      0.000213111    1.46849        0.0408883      0.25           0.000102062    


0.002          1e-05          4.7775         0.0249566      0.0104657      5.86964e-05    1.37638        0.0115662      0.025          0.000102062    
0.002          1e-05          4.93725        0.0629136      0.0101271      0.000130691    1.4224         0.0163971      0.05           0.000102062    
0.002          1e-05          4.92625        0.0642547      0.0101497      0.000133997    1.41923        0.0166318      0.075          0.000102062    
0.002          1e-05          5.04075        0.155597       0.00991916     0.000306852    1.45222        0.0325471      0.1            0.000102062    
0.002          1e-05          4.974          0.0729049      0.0100523      0.00014876     1.43299        0.0179255      0.125          0.000102062    
0.002          1e-05          4.98425        0.0787231      0.0100316      0.000159761    1.43594        0.0188667      0.15           0.000102062    
0.002          1e-05          4.4005         0.978092       0.0113623      0.0025256      1.26777        0.222508       0.175          0.000102062    
0.002          1e-05          6.06975        0.4393         0.00823757     0.000596434    1.74867        0.0731073      0.2            0.000102062    
0.002          1e-05          5.06625        0.345951       0.00986923     0.000674225    1.45956        0.0690607      0.225          0.000102062    
0.002          1e-05          4.99           0.160092       0.01002        0.000322119    1.4376         0.0337014      0.25           0.000102062    


0.00318        1e-05          1.9            0.0317648      0.0263158      0.000443222    1.38384        0.0180429      0.025          0.000102062    
0.00318        1e-05          1.984          0.0258521      0.0252016      0.00033239     1.44502        0.0146913      0.05           0.000102062    
0.00318        1e-05          1.95275        0.0771889      0.0256049      0.00101347     1.42226        0.0401065      0.075          0.000102062    
0.00318        1e-05          2.01875        0.0580302      0.0247678      0.000713758    1.47033        0.0295356      0.1            0.000102062    
0.00318        1e-05          1.93675        0.121423       0.0258164      0.00161939     1.4106         0.0630602      0.125          0.000102062    
0.00318        1e-05          1.999          0.0529194      0.0250125      0.000664119    1.45594        0.0273287      0.15           0.000102062    
0.00318        1e-05          2.15525        0.104463       0.0231992      0.00112544     1.56974        0.0489417      0.175          0.000102062    
0.00318        1e-05          2.04725        0.138244       0.024423       0.00164996     1.49108        0.0678669      0.2            0.000102062    
0.00318        1e-05          2.044          0.135781       0.0244618      0.00162574     1.48872        0.0667747      0.225          0.000102062    
0.00318        1e-05          2.048          0.163277       0.0244141      0.00194705     1.49163        0.0800135      0.25           0.000102062    


0.00476        1e-05          0.8635         0.0635938      0.115808       0.00852966     0.704568       0.0737891      0.025          0.000102062    
0.00476        1e-05          1.78425        0.0567491      0.056046       0.00178349     1.45585        0.0321343      0.075          0.000102062    
0.00476        1e-05          1.81225        0.0606877      0.05518        0.0018487      1.4787         0.0337999      0.125          0.000102062    
0.00476        1e-05          1.72075        0.0820556      0.0581142      0.00277187     1.40404        0.0479058      0.175          0.000102062    
0.00476        1e-05          1.80575        0.0924419      0.0553787      0.00283557     1.47339        0.0513979      0.225          0.000102062    


0.00635        1e-05          0.59825        0.0430363      0.167154       0.0120258      0.868714       0.0720293      0.025          0.000102062    
0.00635        1e-05          0.988          0.0536326      0.101215       0.00549531     1.43467        0.0544062      0.075          0.000102062    
0.00635        1e-05          1.0675         0.0851438      0.0936768      0.00747227     1.55011        0.0798432      0.125          0.000102062    
0.00635        1e-05          1.021          0.0613552      0.0979432      0.00588657     1.48259        0.0602036      0.175          0.000102062    
0.00635        1e-05          1.01875        0.0731494      0.0981595      0.00704887     1.47932        0.0718955      0.225          0.000102062    



Miglior stima di eta = 1.42193 +/- 0.0257949
Deviazione standard campionaria = 0.163141
