x (m)  sx             sx/x           t (s)          st             st/t           

0.05   0.000102062    0.00204124     8.69275        0.0364289      0.00419072     
0.1    0.000102062    0.00102062     17.551         0.0770054      0.00438752     
0.15   0.000102062    0.000680414    26.4037        0.106739       0.00404257     
0.2    0.000102062    0.00051031     35.345         0.0760997      0.00215305     
0.25   0.000102062    0.000408248    44.1813        0.118319       0.00267804     
0.3    0.000102062    0.000340207    53.1365        0.147717       0.00277996     
0.35   0.000102062    0.000291606    62.069         0.134124       0.00216088     
0.4    0.000102062    0.000255155    71.1012        0.168784       0.00237386     
0.45   0.000102062    0.000226805    80.1892        0.174228       0.00217272     
0.5    0.000102062    0.000204124    89.251         0.247137       0.00276901     


0.05   0.000102062    0.00204124     4.7775         0.017647       0.00369377     
0.1    0.000102062    0.00102062     9.71475        0.0444867      0.00457929     
0.15   0.000102062    0.000680414    14.641         0.0454349      0.00310327     
0.2    0.000102062    0.00051031     19.6818        0.110024       0.00559014     
0.25   0.000102062    0.000408248    24.6557        0.0515516      0.00209085     
0.3    0.000102062    0.000340207    29.64          0.0556657      0.00187806     
0.35   0.000102062    0.000291606    34.0405        0.691616       0.0203174      
0.4    0.000102062    0.000255155    40.1103        0.310632       0.00774446     
0.45   0.000102062    0.000226805    45.1765        0.244624       0.00541485     
0.5    0.000102062    0.000204124    50.1665        0.113202       0.00225653     


0.05   0.000102062    0.00204124     1.9            0.0224611      0.0118216      
0.1    0.000102062    0.00102062     3.884          0.0182802      0.00470655     
0.15   0.000102062    0.000680414    5.83675        0.0545808      0.00935123     
0.2    0.000102062    0.00051031     7.8555         0.0410335      0.00522354     
0.25   0.000102062    0.000408248    9.79225        0.0858588      0.00876803     
0.3    0.000102062    0.000340207    11.7912        0.0374196      0.00317351     
0.35   0.000102062    0.000291606    13.9465        0.0738664      0.00529641     
0.4    0.000102062    0.000255155    15.9937        0.0977534      0.00611198     
0.45   0.000102062    0.000226805    18.0378        0.0960116      0.00532282     
0.5    0.000102062    0.000204124    20.0857        0.115454       0.00574808     


0.05   0.000102062    0.00204124     0.8635         0.0449676      0.0520759      
0.15   0.000102062    0.000680414    2.64775        0.0401277      0.0151554      
0.25   0.000102062    0.000408248    4.46           0.0429127      0.00962168     
0.35   0.000102062    0.000291606    6.18075        0.0580221      0.00938755     
0.45   0.000102062    0.000226805    7.9865         0.0653663      0.0081846      


0.05   0.000102062    0.00204124     0.59825        0.0304313      0.0508672      
0.15   0.000102062    0.000680414    1.58625        0.037924       0.023908       
0.25   0.000102062    0.000408248    2.65375        0.0602057      0.022687       
0.35   0.000102062    0.000291606    3.67475        0.0433847      0.0118062      
0.45   0.000102062    0.000226805    4.6935         0.0517244      0.0110204      


