x (m)  sx             sx/x           t (s)          st             st/t           

0.05   0.000102062    0.00204124     44.605         0.537012       0.0120393      
0.1    0.000102062    0.00102062     89.7452        1.09443        0.0121949      
0.15   0.000102062    0.000680414    135.092        1.85417        0.0137253      
0.2    0.000102062    0.00051031     180.245        2.02383        0.0112282      
0.25   0.000102062    0.000408248    225.42         2.46955        0.0109553      
0.3    0.000102062    0.000340207    270.596        2.9652         0.010958       
0.35   0.000102062    0.000291606    315.658        3.42507        0.0108506      
0.4    0.000102062    0.000255155    361.133        4.13651        0.0114543      
0.45   0.000102062    0.000226805    405.949        4.33499        0.0106787      
0.5    0.000102062    0.000204124    451.496        4.58075        0.0101457      


0.05   0.000102062    0.00204124     23.8148        0.124128       0.00521223     
0.1    0.000102062    0.00102062     48.0877        0.276342       0.00574662     
0.15   0.000102062    0.000680414    72.3675        0.425608       0.00588121     
0.2    0.000102062    0.00051031     96.6518        0.566769       0.00586404     
0.25   0.000102062    0.000408248    120.94         0.677478       0.00560176     
0.3    0.000102062    0.000340207    145.121        0.75995        0.00523667     
0.35   0.000102062    0.000291606    169.516        0.986012       0.00581662     
0.4    0.000102062    0.000255155    193.916        1.05161        0.00542304     
0.45   0.000102062    0.000226805    218.466        1.21133        0.00554471     
0.5    0.000102062    0.000204124    242.936        1.45615        0.00599399     


0.05   0.000102062    0.00204124     8.7305         0.220813       0.0252921      
0.1    0.000102062    0.00102062     17.9043        0.199936       0.0111669      
0.15   0.000102062    0.000680414    27.0587        0.158435       0.00585521     
0.2    0.000102062    0.00051031     36.3648        0.159895       0.00439699     
0.25   0.000102062    0.000408248    43.186         2.48049        0.0574373      
0.3    0.000102062    0.000340207    55.2598        0.29911        0.00541281     
0.35   0.000102062    0.000291606    64.1575        0.14769        0.002302       
0.4    0.000102062    0.000255155    73.5592        0.173228       0.00235494     
0.45   0.000102062    0.000226805    82.835         0.166101       0.0020052      
0.5    0.000102062    0.000204124    92.0428        0.192299       0.00208924     


0.05   0.000102062    0.00204124     3.387          0.0833617      0.0246122      
0.1    0.000102062    0.00102062     6.90325        0.0885554      0.0128281      
0.15   0.000102062    0.000680414    10.4398        0.0544723      0.00521778     
0.2    0.000102062    0.00051031     13.9117        0.0355326      0.00255414     
0.25   0.000102062    0.000408248    17.4655        0.099725       0.00570983     
0.3    0.000102062    0.000340207    21.1112        0.019872       0.000941298    
0.35   0.000102062    0.000291606    24.6587        0.0348171      0.00141196     
0.4    0.000102062    0.000255155    28.1635        0.0825717      0.00293187     
0.45   0.000102062    0.000226805    31.7825        0.0397796      0.00125162     
0.5    0.000102062    0.000204124    35.356         0.0745363      0.00210817     


0.1    0.000102062    0.00102062     1.7405         0.088252       0.050705       
0.2    0.000102062    0.00051031     4.25825        0.0548245      0.0128749      
0.3    0.000102062    0.000340207    6.688          0.142325       0.0212807      
0.4    0.000102062    0.000255155    9.297          0.131059       0.0140969      
0.5    0.000102062    0.000204124    11.9952        0.183023       0.015258       


