Test Chi Quadro Andamento del Voltaggio_____________________________________________
   x       y       y*      sy      Chi     
1  0.00    5.00    4.67    3.50    0.01    
2  0.00    4.68    4.65    3.40    0.00    
3  0.00    4.80    4.64    3.44    0.00    
4  0.00    4.76    4.62    3.43    0.00    
5  0.00    4.72    4.61    3.42    0.00    
6  0.00    4.68    4.59    3.40    0.00    
7  0.00    4.64    4.57    3.39    0.00    
8  0.00    4.60    4.54    3.38    0.00    
9  0.00    4.56    4.52    3.37    0.00    
10 0.00    4.52    4.50    3.36    0.00    
11 0.00    4.52    4.47    3.36    0.00    
12 0.00    4.44    4.44    3.33    0.00    
13 0.00    4.40    4.41    3.32    0.00    
14 0.00    4.36    4.38    3.31    0.00    
15 0.00    4.32    4.35    3.30    0.00    
16 0.00    4.28    4.31    3.28    0.00    
17 0.00    4.24    4.28    3.27    0.00    
18 0.00    4.20    4.24    3.26    0.00    
19 0.00    4.16    4.20    3.25    0.00    
20 0.00    4.12    4.16    3.24    0.00    
21 0.00    4.04    4.12    3.21    0.00    
22 0.00    4.00    4.08    3.20    0.00    
23 0.00    3.96    4.04    3.19    0.00    
24 0.00    3.88    4.00    3.16    0.00    
25 0.00    3.84    3.95    3.15    0.00    
26 0.00    3.80    3.90    3.14    0.00    
27 0.00    3.72    3.85    3.12    0.00    
28 0.00    3.68    3.81    3.10    0.00    
29 0.00    3.60    3.76    3.08    0.00    
30 0.00    3.56    3.70    3.07    0.00    
31 0.00    3.48    3.65    3.04    0.00    
32 0.00    3.44    3.60    3.03    0.00    
33 0.00    3.36    3.54    3.01    0.00    
34 0.00    3.28    3.49    2.98    0.00    
35 0.00    3.24    3.43    2.97    0.00    
36 0.00    3.16    3.38    2.95    0.01    
37 0.00    3.12    3.32    2.94    0.00    
38 0.00    3.04    3.26    2.91    0.01    
39 0.00    2.96    3.20    2.89    0.01    
40 0.00    2.92    3.14    2.88    0.01    
41 0.00    2.84    3.08    2.85    0.01    
42 0.00    2.76    3.01    2.83    0.01    
43 0.00    2.72    2.95    2.82    0.01    
44 0.00    2.64    2.89    2.79    0.01    
45 0.00    2.56    2.82    2.77    0.01    
46 0.00    2.48    2.76    2.74    0.01    
47 0.00    2.40    2.69    2.72    0.01    
48 0.00    2.36    2.62    2.71    0.01    
49 0.00    2.28    2.56    2.68    0.01    
50 0.00    2.20    2.49    2.66    0.01    
51 0.00    2.12    2.42    2.64    0.01    
52 0.00    2.04    2.35    2.61    0.01    
53 0.00    2.00    2.28    2.60    0.01    
54 0.00    1.92    2.22    2.58    0.01    
55 0.00    1.84    2.15    2.55    0.01    
56 0.00    1.76    2.07    2.53    0.02    
57 0.00    1.68    2.00    2.50    0.02    
58 0.00    1.60    1.93    2.48    0.02    
59 0.00    1.56    1.86    2.47    0.01    
60 0.00    1.48    1.79    2.44    0.02    
61 0.00    1.40    1.72    2.42    0.02    
62 0.00    1.32    1.65    2.40    0.02    
63 0.00    1.24    1.57    2.37    0.02    
64 0.00    1.16    1.50    2.35    0.02    
65 0.00    1.08    1.43    2.32    0.02    
66 0.00    1.04    1.36    2.31    0.02    
67 0.00    0.96    1.28    2.29    0.02    
68 0.00    0.88    1.21    2.26    0.02    
69 0.00    0.80    1.14    2.24    0.02    
70 0.00    0.72    1.06    2.22    0.02    
71 0.00    0.64    0.99    2.19    0.03    
72 0.00    0.60    0.92    2.18    0.02    
73 0.00    0.52    0.85    2.16    0.02    
74 0.00    0.44    0.77    2.13    0.02    
75 0.00    0.36    0.70    2.11    0.03    
76 0.00    0.32    0.63    2.10    0.02    
77 0.00    0.24    0.56    2.07    0.02    
78 0.00    0.16    0.48    2.05    0.03    
79 0.00    0.08    0.41    2.02    0.03    
80 0.00    0.00    0.34    2.00    0.03    
81 0.00    -0.04   0.27    1.99    0.02    
82 0.00    -0.12   0.20    1.96    0.03    
83 0.00    -0.20   0.13    1.94    0.03    
84 0.00    -0.28   0.06    1.92    0.03    
85 0.00    -0.32   -0.01   1.90    0.03    
86 0.00    -0.40   -0.08   1.88    0.03    
87 0.00    -0.48   -0.15   1.86    0.03    
88 0.00    -0.52   -0.22   1.84    0.03    
89 0.00    -0.60   -0.29   1.82    0.03    
90 0.00    -0.64   -0.36   1.81    0.02    
91 0.00    -0.72   -0.42   1.78    0.03    
92 0.00    -0.80   -0.49   1.76    0.03    
93 0.00    -0.84   -0.56   1.75    0.03    
94 0.00    -0.92   -0.62   1.72    0.03    
95 0.00    -0.96   -0.69   1.71    0.03    
96 0.00    -1.04   -0.75   1.69    0.03    
97 0.00    -1.08   -0.81   1.68    0.03    
98 0.00    -1.16   -0.88   1.65    0.03    
99 0.00    -1.20   -0.94   1.64    0.03    
1000.00    -1.28   -1.00   1.62    0.03    
1010.00    -1.32   -1.06   1.60    0.03    
1020.00    -1.40   -1.12   1.58    0.03    
1030.00    -1.44   -1.18   1.57    0.03    
1040.00    -1.48   -1.24   1.56    0.02    
1050.00    -1.56   -1.30   1.53    0.03    
1060.00    -1.60   -1.36   1.52    0.03    
1070.00    -1.64   -1.41   1.51    0.02    
1080.00    -1.68   -1.47   1.50    0.02    
1090.00    -1.76   -1.52   1.47    0.03    
