Test residui Andamento del Voltaggio_____________________________________________
   x       y       y*      res     s_res   
1  0.00    5.00    4.67    0.33    3.50    
2  0.00    4.68    4.65    0.03    3.40    
3  0.00    4.80    4.64    0.16    3.44    
4  0.00    4.76    4.62    0.14    3.43    
5  0.00    4.72    4.61    0.11    3.42    
6  0.00    4.68    4.59    0.09    3.40    
7  0.00    4.64    4.57    0.07    3.39    
8  0.00    4.60    4.54    0.06    3.38    
9  0.00    4.56    4.52    0.04    3.37    
10 0.00    4.52    4.50    0.02    3.36    
11 0.00    4.52    4.47    0.05    3.36    
12 0.00    4.44    4.44    -0.00   3.33    
13 0.00    4.40    4.41    -0.01   3.32    
14 0.00    4.36    4.38    -0.02   3.31    
15 0.00    4.32    4.35    -0.03   3.30    
16 0.00    4.28    4.31    -0.03   3.28    
17 0.00    4.24    4.28    -0.04   3.27    
18 0.00    4.20    4.24    -0.04   3.26    
19 0.00    4.16    4.20    -0.04   3.25    
20 0.00    4.12    4.16    -0.04   3.24    
21 0.00    4.04    4.12    -0.08   3.21    
22 0.00    4.00    4.08    -0.08   3.20    
23 0.00    3.96    4.04    -0.08   3.19    
24 0.00    3.88    4.00    -0.12   3.16    
25 0.00    3.84    3.95    -0.11   3.15    
26 0.00    3.80    3.90    -0.10   3.14    
27 0.00    3.72    3.85    -0.13   3.12    
28 0.00    3.68    3.81    -0.13   3.10    
29 0.00    3.60    3.76    -0.16   3.08    
30 0.00    3.56    3.70    -0.14   3.07    
31 0.00    3.48    3.65    -0.17   3.04    
32 0.00    3.44    3.60    -0.16   3.03    
33 0.00    3.36    3.54    -0.18   3.01    
34 0.00    3.28    3.49    -0.21   2.98    
35 0.00    3.24    3.43    -0.19   2.97    
36 0.00    3.16    3.38    -0.22   2.95    
37 0.00    3.12    3.32    -0.20   2.94    
38 0.00    3.04    3.26    -0.22   2.91    
39 0.00    2.96    3.20    -0.24   2.89    
40 0.00    2.92    3.14    -0.22   2.88    
41 0.00    2.84    3.08    -0.24   2.85    
42 0.00    2.76    3.01    -0.25   2.83    
43 0.00    2.72    2.95    -0.23   2.82    
44 0.00    2.64    2.89    -0.25   2.79    
45 0.00    2.56    2.82    -0.26   2.77    
46 0.00    2.48    2.76    -0.28   2.74    
47 0.00    2.40    2.69    -0.29   2.72    
48 0.00    2.36    2.62    -0.26   2.71    
49 0.00    2.28    2.56    -0.28   2.68    
50 0.00    2.20    2.49    -0.29   2.66    
51 0.00    2.12    2.42    -0.30   2.64    
52 0.00    2.04    2.35    -0.31   2.61    
53 0.00    2.00    2.28    -0.28   2.60    
54 0.00    1.92    2.22    -0.30   2.58    
55 0.00    1.84    2.15    -0.31   2.55    
56 0.00    1.76    2.07    -0.31   2.53    
57 0.00    1.68    2.00    -0.32   2.50    
58 0.00    1.60    1.93    -0.33   2.48    
59 0.00    1.56    1.86    -0.30   2.47    
60 0.00    1.48    1.79    -0.31   2.44    
61 0.00    1.40    1.72    -0.32   2.42    
62 0.00    1.32    1.65    -0.33   2.40    
63 0.00    1.24    1.57    -0.33   2.37    
64 0.00    1.16    1.50    -0.34   2.35    
65 0.00    1.08    1.43    -0.35   2.32    
66 0.00    1.04    1.36    -0.32   2.31    
67 0.00    0.96    1.28    -0.32   2.29    
68 0.00    0.88    1.21    -0.33   2.26    
69 0.00    0.80    1.14    -0.34   2.24    
70 0.00    0.72    1.06    -0.34   2.22    
71 0.00    0.64    0.99    -0.35   2.19    
72 0.00    0.60    0.92    -0.32   2.18    
73 0.00    0.52    0.85    -0.33   2.16    
74 0.00    0.44    0.77    -0.33   2.13    
75 0.00    0.36    0.70    -0.34   2.11    
76 0.00    0.32    0.63    -0.31   2.10    
77 0.00    0.24    0.56    -0.32   2.07    
78 0.00    0.16    0.48    -0.32   2.05    
79 0.00    0.08    0.41    -0.33   2.02    
80 0.00    0.00    0.34    -0.34   2.00    
81 0.00    -0.04   0.27    -0.31   1.99    
82 0.00    -0.12   0.20    -0.32   1.96    
83 0.00    -0.20   0.13    -0.33   1.94    
84 0.00    -0.28   0.06    -0.34   1.92    
85 0.00    -0.32   -0.01   -0.31   1.90    
86 0.00    -0.40   -0.08   -0.32   1.88    
87 0.00    -0.48   -0.15   -0.33   1.86    
88 0.00    -0.52   -0.22   -0.30   1.84    
89 0.00    -0.60   -0.29   -0.31   1.82    
90 0.00    -0.64   -0.36   -0.28   1.81    
91 0.00    -0.72   -0.42   -0.30   1.78    
92 0.00    -0.80   -0.49   -0.31   1.76    
93 0.00    -0.84   -0.56   -0.28   1.75    
94 0.00    -0.92   -0.62   -0.30   1.72    
95 0.00    -0.96   -0.69   -0.27   1.71    
96 0.00    -1.04   -0.75   -0.29   1.69    
97 0.00    -1.08   -0.81   -0.27   1.68    
98 0.00    -1.16   -0.88   -0.28   1.65    
99 0.00    -1.20   -0.94   -0.26   1.64    
1000.00    -1.28   -1.00   -0.28   1.62    
1010.00    -1.32   -1.06   -0.26   1.60    
1020.00    -1.40   -1.12   -0.28   1.58    
1030.00    -1.44   -1.18   -0.26   1.57    
1040.00    -1.48   -1.24   -0.24   1.56    
1050.00    -1.56   -1.30   -0.26   1.53    
1060.00    -1.60   -1.36   -0.24   1.52    
1070.00    -1.64   -1.41   -0.23   1.51    
1080.00    -1.68   -1.47   -0.21   1.50    
1090.00    -1.76   -1.52   -0.24   1.47    
1100.00    -1.80   -1.58   -0.22   1.46    
1110.00    -1.84   -1.63   -0.21   1.45    
1120.00    -1.88   -1.68   -0.20   1.44    
1130.00    -1.92   -1.73   -0.19   1.42    
1140.00    -2.00   -1.78   -0.22   1.40    
1150.00    -2.04   -1.83   -0.21   1.39    
1160.00    -2.08   -1.88   -0.20   1.38    
1170.00    -2.12   -1.93   -0.19   1.36    
1180.00    -2.16   -1.97   -0.19   1.35    
1190.00    -2.20   -2.02   -0.18   1.34    
1200.00    -2.24   -2.06   -0.18   1.33    
1210.00    -2.28   -2.11   -0.17   1.32    
1220.00    -2.32   -2.15   -0.17   1.30    
1230.00    -2.36   -2.19   -0.17   1.29    
1240.00    -2.40   -2.23   -0.17   1.28    
1250.00    -2.40   -2.27   -0.13   1.28    
1260.00    -2.44   -2.31   -0.13   1.27    
1270.00    -2.48   -2.35   -0.13   1.26    
1280.00    -2.52   -2.38   -0.14   1.24    
1290.00    -2.56   -2.42   -0.14   1.23    
1300.00    -2.56   -2.45   -0.11   1.23    
1310.00    -2.60   -2.49   -0.11   1.22    
1320.00    -2.64   -2.52   -0.12   1.21    
1330.00    -2.64   -2.55   -0.09   1.21    
1340.00    -2.68   -2.58   -0.10   1.20    
1350.00    -2.72   -2.61   -0.11   1.18    
1360.00    -2.72   -2.63   -0.09   1.18    
1370.00    -2.76   -2.66   -0.10   1.17    
1380.00    -2.76   -2.69   -0.07   1.17    
1390.00    -2.80   -2.71   -0.09   1.16    
1400.00    -2.80   -2.73   -0.07   1.16    
1410.00    -2.84   -2.75   -0.09   1.15    
1420.00    -2.84   -2.78   -0.06   1.15    
1430.00    -2.88   -2.80   -0.08   1.14    
1440.00    -2.88   -2.81   -0.07   1.14    
1450.00    -2.88   -2.83   -0.05   1.14    
1460.00    -2.92   -2.85   -0.07   1.12    
1470.00    -2.92   -2.86   -0.06   1.12    
1480.00    -2.92   -2.88   -0.04   1.12    
1490.00    -2.92   -2.89   -0.03   1.12    
1500.00    -2.96   -2.90   -0.06   1.11    
1510.00    -2.96   -2.91   -0.05   1.11    
1520.00    -2.96   -2.92   -0.04   1.11    
1530.00    -2.96   -2.93   -0.03   1.11    
1540.00    -2.96   -2.94   -0.02   1.11    
1550.00    -2.96   -2.94   -0.02   1.11    
1560.00    -2.96   -2.95   -0.01   1.11    
1570.00    -2.96   -2.95   -0.01   1.11    
1580.00    -2.96   -2.95   -0.01   1.11    
1590.00    -2.96   -2.96   -0.00   1.11    
1600.00    -2.96   -2.96   -0.00   1.11    
1610.00    -2.96   -2.96   -0.00   1.11    
1620.00    -2.96   -2.96   -0.00   1.11    
1630.00    -2.96   -2.95   -0.01   1.11    
1640.00    -2.96   -2.95   -0.01   1.11    
1650.00    -2.92   -2.94   0.02    1.12    
1660.00    -2.92   -2.94   0.02    1.12    
1670.00    -2.92   -2.93   0.01    1.12    
1680.00    -2.92   -2.92   0.00    1.12    
1690.00    -2.92   -2.92   -0.00   1.12    
1700.00    -2.88   -2.91   0.03    1.14    
1710.00    -2.88   -2.89   0.01    1.14    
1720.00    -2.88   -2.88   0.00    1.14    
1730.00    -2.84   -2.87   0.03    1.15    
1740.00    -2.84   -2.86   0.02    1.15    
1750.00    -2.80   -2.84   0.04    1.16    
1760.00    -2.80   -2.83   0.03    1.16    
1770.00    -2.80   -2.81   0.01    1.16    
1780.00    -2.76   -2.79   0.03    1.17    
1790.00    -2.76   -2.77   0.01    1.17    
1800.00    -2.72   -2.75   0.03    1.18    
1810.00    -2.72   -2.73   0.01    1.18    
1820.00    -2.68   -2.71   0.03    1.20    
1830.00    -2.64   -2.69   0.05    1.21    
1840.00    -2.64   -2.67   0.03    1.21    
1850.00    -2.60   -2.64   0.04    1.22    
1860.00    -2.60   -2.62   0.02    1.22    
1870.00    -2.56   -2.59   0.03    1.23    
1880.00    -2.52   -2.57   0.05    1.24    
1890.00    -2.48   -2.54   0.06    1.26    
1900.00    -2.48   -2.51   0.03    1.26    
1910.00    -2.44   -2.48   0.04    1.27    
1920.00    -2.40   -2.45   0.05    1.28    
1930.00    -2.40   -2.42   0.02    1.28    
1940.00    -2.36   -2.39   0.03    1.29    
1950.00    -2.32   -2.36   0.04    1.30    
1960.00    -2.28   -2.33   0.05    1.32    
1970.00    -2.24   -2.30   0.06    1.33    
1980.00    -2.20   -2.26   0.06    1.34    
1990.00    -2.20   -2.23   0.03    1.34    
2000.00    -2.16   -2.20   0.04    1.35    
2010.00    -2.12   -2.16   0.04    1.36    
2020.00    -2.08   -2.12   0.04    1.38    
2030.00    -2.04   -2.09   0.05    1.39    
2040.00    -2.00   -2.05   0.05    1.40    
2050.00    -1.96   -2.01   0.05    1.41    
2060.00    -1.92   -1.97   0.05    1.42    
2070.00    -1.88   -1.94   0.06    1.44    
2080.00    -1.84   -1.90   0.06    1.45    
2090.00    -1.80   -1.86   0.06    1.46    
2100.00    -1.76   -1.82   0.06    1.47    
2110.00    -1.72   -1.78   0.06    1.48    
2120.00    -1.68   -1.74   0.06    1.50    
2130.00    -1.64   -1.69   0.05    1.51    
2140.00    -1.60   -1.65   0.05    1.52    
2150.00    -1.56   -1.61   0.05    1.53    
2160.00    -1.52   -1.57   0.05    1.54    
2170.00    -1.48   -1.53   0.05    1.56    
2180.00    -1.44   -1.48   0.04    1.57    
2190.00    -1.40   -1.44   0.04    1.58    
2200.00    -1.36   -1.40   0.04    1.59    
2210.00    -1.32   -1.35   0.03    1.60    
2220.00    -1.28   -1.31   0.03    1.62    
2230.00    -1.24   -1.26   0.02    1.63    
2240.00    -1.20   -1.22   0.02    1.64    
2250.00    -1.12   -1.17   0.05    1.66    
2260.00    -1.08   -1.13   0.05    1.68    
2270.00    -1.04   -1.08   0.04    1.69    
2280.00    -1.00   -1.04   0.04    1.70    
