Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     688.0     26.230       681.038       0.070        
281.5     640.0     25.298       676.739       2.109        
282.5     652.0     25.534       672.467       0.642        
283.5     623.0     24.960       668.222       3.283        
284.5     669.0     25.865       664.005       0.037        
285.5     672.0     25.923       659.815       0.221        
286.5     628.0     25.060       655.651       1.217        
287.5     689.0     26.249       651.514       2.040        
288.5     667.0     25.826       647.403       0.576        
289.5     676.0     26.000       643.318       1.580        
290.5     669.0     25.865       639.260       1.322        
291.5     594.0     24.372       635.227       2.861        
292.5     607.0     24.637       631.220       0.966        
293.5     590.0     24.290       627.239       2.350        
294.5     621.0     24.920       623.283       0.008        
295.5     656.0     25.612       619.352       2.047        
296.5     645.0     25.397       615.446       1.354        
297.5     632.0     25.140       611.565       0.661        
298.5     635.0     25.199       607.709       1.173        
299.5     572.0     23.917       603.878       1.777        
300.5     604.0     24.576       600.071       0.026        
301.5     621.0     24.920       596.288       0.983        
302.5     589.0     24.269       592.530       0.021        
303.5     591.0     24.310       588.795       0.008        
304.5     610.0     24.698       585.084       1.018        
305.5     577.0     24.021       581.397       0.034        
306.5     569.0     23.854       577.734       0.134        
307.5     553.0     23.516       574.094       0.805        
308.5     562.0     23.707       570.477       0.128        
309.5     566.0     23.791       566.883       0.001        
310.5     526.0     22.935       563.312       2.647        
311.5     544.0     23.324       559.764       0.457        
312.5     539.0     23.216       556.238       0.551        
313.5     546.0     23.367       552.735       0.083        
314.5     534.0     23.108       549.254       0.436        
315.5     525.0     22.913       545.796       0.824        
316.5     543.0     23.302       542.359       0.001        
317.5     557.0     23.601       538.945       0.585        
318.5     529.0     23.000       535.552       0.081        
319.5     502.0     22.405       532.181       1.815        
320.5     498.0     22.316       528.831       1.909        
321.5     508.0     22.539       525.503       0.603        
322.5     516.0     22.716       522.196       0.074        
323.5     484.0     22.000       518.910       2.518        
324.5     477.0     21.840       515.645       3.131        
325.5     522.0     22.847       512.401       0.177        
326.5     520.0     22.804       509.178       0.225        
327.5     483.0     21.977       505.975       1.093        
328.5     512.0     22.627       502.793       0.166        
329.5     511.0     22.605       499.630       0.253        
330.5     443.0     21.048       496.488       6.458        
331.5     493.0     22.204       493.367       0.000        
332.5     495.0     22.249       490.265       0.045        
333.5     475.0     21.794       487.182       0.312        
334.5     481.0     21.932       484.120       0.020        
335.5     500.0     22.361       481.077       0.716        
336.5     434.0     20.833       478.053       4.472        
337.5     472.0     21.726       475.049       0.020        
338.5     482.0     21.954       472.064       0.205        
339.5     479.0     21.886       469.098       0.205        
340.5     470.0     21.679       466.151       0.032        
341.5     475.0     21.794       463.222       0.292        
342.5     434.0     20.833       460.312       1.595        
343.5     437.0     20.905       457.421       0.954        
344.5     467.0     21.610       454.549       0.332        
345.5     449.0     21.190       451.694       0.016        
346.5     442.0     21.024       448.858       0.106        
347.5     442.0     21.024       446.040       0.037        
348.5     464.0     21.541       443.240       0.929        
349.5     458.0     21.401       440.458       0.672        
350.5     487.0     22.068       437.693       4.992        
351.5     443.0     21.048       434.946       0.146        
352.5     455.0     21.331       432.217       1.141        
353.5     443.0     21.048       429.505       0.411        
354.5     451.0     21.237       426.811       1.297        
355.5     487.0     22.068       424.133       8.115        
356.5     471.0     21.703       421.473       5.208        
357.5     444.0     21.071       418.830       1.427        
358.5     455.0     21.331       416.203       3.308        
359.5     444.0     21.071       413.593       2.082        
360.5     448.0     21.166       411.000       3.056        
361.5     447.0     21.142       408.424       3.329        
362.5     469.0     21.656       405.863       8.499        
363.5     422.0     20.543       403.320       0.827        
364.5     437.0     20.905       400.792       3.000        
365.5     414.0     20.347       398.281       0.597        
366.5     385.0     19.621       395.785       0.302        
367.5     407.0     20.174       393.306       0.461        
368.5     374.0     19.339       390.842       0.758        
369.5     418.0     20.445       388.394       2.097        
370.5     367.0     19.157       385.962       0.980        
371.5     439.0     20.952       383.545       7.005        
372.5     407.0     20.174       381.144       1.643        
373.5     334.0     18.276       378.757       5.998        
374.5     390.0     19.748       376.387       0.475        
375.5     352.0     18.762       374.031       1.379        
376.5     350.0     18.708       371.690       1.344        
377.5     361.0     19.000       369.364       0.194        
378.5     381.0     19.519       367.053       0.511        
379.5     350.0     18.708       364.757       0.622        
380.5     296.0     17.205       362.476       14.929       
381.5     337.0     18.358       360.209       1.598        
382.5     355.0     18.841       357.956       0.025        
