Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     27.0      5.179        1.652         23.955       
281.5     20.0      4.461        1.652         16.915       
282.5     17.0      4.115        1.652         13.915       
283.5     14.0      3.735        1.652         10.929       
284.5     19.0      4.349        1.652         15.914       
285.5     14.0      3.735        1.652         10.929       
286.5     13.0      3.600        1.652         9.938        
287.5     15.0      3.866        1.652         11.922       
288.5     24.0      4.885        1.652         20.933       
289.5     11.0      3.312        1.652         7.966        
290.5     15.0      3.866        1.652         11.922       
291.5     17.0      4.115        1.652         13.915       
292.5     24.0      4.885        1.652         20.933       
293.5     12.0      3.459        1.652         8.950        
294.5     13.0      3.600        1.652         9.938        
295.5     14.0      3.735        1.652         10.929       
296.5     18.0      4.233        1.652         14.913       
297.5     16.0      3.992        1.652         12.917       
298.5     8.0       2.826        1.652         5.047        
299.5     9.0       2.997        1.652         6.013        
300.5     20.0      4.461        1.652         16.915       
301.5     20.0      4.461        1.652         16.915       
302.5     18.0      4.233        1.652         14.913       
303.5     20.0      4.461        1.652         16.915       
304.5     12.0      3.459        1.652         8.950        
305.5     17.0      4.115        1.652         13.915       
306.5     15.0      3.866        1.652         11.922       
307.5     11.0      3.312        1.652         7.966        
308.5     14.0      3.735        1.652         10.929       
309.5     15.0      3.866        1.652         11.922       
310.5     18.0      4.233        1.652         14.913       
311.5     17.0      4.115        1.652         13.915       
312.5     21.0      4.571        1.652         17.918       
313.5     18.0      4.233        1.652         14.913       
314.5     9.0       2.997        1.652         6.013        
315.5     9.0       2.997        1.652         6.013        
316.5     15.0      3.866        1.652         11.922       
317.5     13.0      3.600        1.652         9.938        
318.5     16.0      3.992        1.652         12.917       
319.5     11.0      3.312        1.652         7.966        
320.5     14.0      3.735        1.652         10.929       
321.5     21.0      4.571        1.652         17.918       
322.5     17.0      4.115        1.652         13.915       
323.5     13.0      3.600        1.652         9.938        
324.5     9.0       2.997        1.652         6.013        
325.5     13.0      3.600        1.652         9.938        
326.5     8.0       2.826        1.652         5.047        
327.5     17.0      4.115        1.652         13.915       
328.5     15.0      3.866        1.652         11.922       
329.5     15.0      3.866        1.652         11.922       
330.5     9.0       2.997        1.652         6.013        
331.5     10.0      3.158        1.652         6.986        
332.5     9.0       2.997        1.652         6.013        
333.5     12.0      3.459        1.652         8.950        
334.5     21.0      4.571        1.652         17.918       
335.5     20.0      4.461        1.652         16.915       
336.5     16.0      3.992        1.652         12.917       
337.5     9.0       2.997        1.652         6.013        
338.5     11.0      3.312        1.652         7.966        
339.5     10.0      3.158        1.652         6.986        
340.5     14.0      3.735        1.652         10.929       
341.5     17.0      4.115        1.652         13.915       
342.5     13.0      3.600        1.652         9.938        
343.5     19.0      4.349        1.652         15.914       
344.5     9.0       2.997        1.652         6.013        
345.5     10.0      3.158        1.652         6.986        
346.5     11.0      3.312        1.652         7.966        
347.5     11.0      3.312        1.652         7.966        
348.5     7.0       2.643        1.652         4.093        
349.5     18.0      4.233        1.652         14.913       
350.5     10.0      3.158        1.652         6.986        <--
351.5     9.0       2.997        1.652         6.013        
352.5     12.0      3.459        1.652         8.950        
353.5     5.0       2.235        1.652         2.245        
354.5     8.0       2.826        1.652         5.047        
355.5     9.0       2.997        1.652         6.013        
356.5     14.0      3.735        1.652         10.929       
357.5     14.0      3.735        1.652         10.929       
358.5     12.0      3.459        1.652         8.950        
359.5     11.0      3.312        1.652         7.966        
360.5     10.0      3.158        1.652         6.986        
361.5     10.0      3.158        1.652         6.986        
362.5     17.0      4.115        1.652         13.915       
363.5     7.0       2.643        1.652         4.093        
364.5     10.0      3.158        1.652         6.986        
365.5     9.0       2.997        1.652         6.013        
366.5     9.0       2.997        1.652         6.013        
367.5     16.0      3.992        1.652         12.917       
368.5     8.0       2.826        1.652         5.047        
369.5     14.0      3.735        1.652         10.929       
370.5     10.0      3.158        1.652         6.986        <--
371.5     11.0      3.312        1.652         7.966        
372.5     16.0      3.992        1.652         12.917       
373.5     7.0       2.643        1.652         4.093        
374.5     5.0       2.235        1.652         2.245        
375.5     12.0      3.459        1.652         8.950        
376.5     9.0       2.997        1.652         6.013        
377.5     8.0       2.826        1.652         5.047        
378.5     15.0      3.866        1.652         11.922       
379.5     13.0      3.600        1.652         9.938        
380.5     7.0       2.643        1.652         4.093        
381.5     4.0       1.999        1.652         1.380        
382.5     5.0       2.235        1.652         2.245        
383.5     7.0       2.643        1.652         4.093        
384.5     13.0      3.600        1.652         9.938        
385.5     9.0       2.997        1.652         6.013        
386.5     7.0       2.643        1.652         4.093        
387.5     9.0       2.997        1.652         6.013        
388.5     8.0       2.826        1.652         5.047        
389.5     13.0      3.600        1.652         9.938        
390.5     14.0      3.735        1.652         10.929       
391.5     9.0       2.997        1.652         6.013        
392.5     7.0       2.643        1.652         4.093        
393.5     6.0       2.448        1.652         3.156        
394.5     4.0       1.999        1.652         1.380        
395.5     12.0      3.459        1.652         8.950        
396.5     8.0       2.826        1.652         5.047        
397.5     7.0       2.643        1.652         4.093        
398.5     5.0       2.235        1.652         2.245        
399.5     5.0       2.235        1.652         2.245        
400.5     3.0       1.731        1.652         0.606        
401.5     8.0       2.826        1.652         5.047        
402.5     8.0       2.826        1.652         5.047        
403.5     19.0      4.349        1.652         15.914       
404.5     4.0       1.999        1.652         1.380        
405.5     3.0       1.731        1.652         0.606        
406.5     12.0      3.459        1.652         8.950        
407.5     10.0      3.158        1.652         6.986        
408.5     5.0       2.235        1.652         2.245        
409.5     5.0       2.235        1.652         2.245        
410.5     10.0      3.158        1.652         6.986        
411.5     6.0       2.448        1.652         3.156        
412.5     13.0      3.600        1.652         9.938        
413.5     7.0       2.643        1.652         4.093        
414.5     9.0       2.997        1.652         6.013        
415.5     6.0       2.448        1.652         3.156        
416.5     4.0       1.999        1.652         1.380        
417.5     4.0       1.999        1.652         1.380        
418.5     4.0       1.999        1.652         1.380        
419.5     6.0       2.448        1.652         3.156        
420.5     7.0       2.643        1.652         4.093        
421.5     8.0       2.826        1.652         5.047        
422.5     5.0       2.235        1.652         2.245        
423.5     9.0       2.997        1.652         6.013        
424.5     9.0       2.997        1.652         6.013        
425.5     4.0       1.999        1.652         1.380        
426.5     3.0       1.731        1.652         0.606        
427.5     8.0       2.826        1.652         5.047        
428.5     3.0       1.731        1.652         0.606        
429.5     3.0       1.731        1.652         0.606        
430.5     5.0       2.235        1.652         2.245        
431.5     6.0       2.448        1.652         3.156        
432.5     4.0       1.999        1.652         1.380        
433.5     5.0       2.235        1.652         2.245        
434.5     13.0      3.600        1.652         9.938        
435.5     3.0       1.731        1.652         0.606        
436.5     9.0       2.997        1.652         6.013        
437.5     5.0       2.235        1.652         2.245        
438.5     8.0       2.826        1.652         5.047        
