Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     1750.0    41.833       1790.411      0.933        
281.5     1712.0    41.376       1779.450      2.657        
282.5     1829.0    42.767       1768.558      1.997        
283.5     1711.0    41.364       1757.732      1.276        
284.5     1650.0    40.620       1746.974      5.699        
285.5     1678.0    40.963       1736.282      2.024        
286.5     1773.0    42.107       1725.656      1.264        
287.5     1797.0    42.391       1715.096      3.733        
288.5     1770.0    42.071       1704.602      2.416        
289.5     1706.0    41.304       1694.172      0.082        
290.5     1706.0    41.304       1683.807      0.289        
291.5     1612.0    40.150       1673.506      2.347        
292.5     1653.0    40.657       1663.269      0.064        
293.5     1594.0    39.925       1653.095      2.191        
294.5     1664.0    40.792       1642.984      0.265        
295.5     1607.0    40.087       1632.935      0.419        
296.5     1560.0    39.497       1622.949      2.540        
297.5     1575.0    39.686       1613.024      0.918        
298.5     1648.0    40.596       1603.161      1.220        
299.5     1599.0    39.987       1593.359      0.020        
300.5     1563.0    39.535       1583.618      0.272        
301.5     1509.0    38.846       1573.937      2.794        
302.5     1593.0    39.912       1564.315      0.517        
303.5     1614.0    40.175       1554.753      2.175        
304.5     1540.0    39.243       1545.251      0.018        
305.5     1506.0    38.807       1535.807      0.590        
306.5     1468.0    38.314       1526.422      2.325        
307.5     1523.0    39.026       1517.094      0.023        
308.5     1428.0    37.789       1507.825      4.462        
309.5     1490.0    38.601       1498.613      0.050        
310.5     1568.0    39.598       1489.457      3.934        
311.5     1472.0    38.367       1480.359      0.047        
312.5     1417.0    37.643       1471.316      2.082        
313.5     1423.0    37.723       1462.330      1.087        
314.5     1430.0    37.815       1453.399      0.383        
315.5     1362.0    36.905       1444.524      5.000        
316.5     1366.0    36.959       1435.703      3.557        
317.5     1398.0    37.390       1426.937      0.599        
318.5     1395.0    37.350       1418.225      0.387        
319.5     1426.0    37.762       1409.567      0.189        
320.5     1420.0    37.683       1400.963      0.255        
321.5     1393.0    37.323       1392.412      0.000        
322.5     1359.0    36.865       1383.914      0.457        
323.5     1368.0    36.986       1375.468      0.041        
324.5     1302.0    36.083       1367.075      3.252        
325.5     1297.0    36.014       1358.733      2.938        
326.5     1205.0    34.713       1350.444      17.555       
327.5     1300.0    36.056       1342.205      1.370        
328.5     1253.0    35.398       1334.018      5.239        
329.5     1336.0    36.551       1325.881      0.077        
330.5     1303.0    36.097       1317.794      0.168        
331.5     1247.0    35.313       1309.758      3.158        
332.5     1251.0    35.369       1301.771      2.060        
333.5     1346.0    36.688       1293.833      2.022        
334.5     1250.0    35.355       1285.945      1.034        
335.5     1226.0    35.014       1278.106      2.215        
336.5     1280.0    35.777       1270.315      0.073        
337.5     1225.0    35.000       1262.572      1.152        
338.5     1246.0    35.299       1254.877      0.063        
339.5     1227.0    35.029       1247.230      0.334        
340.5     1207.0    34.742       1239.630      0.882        
341.5     1262.0    35.525       1232.077      0.710        
342.5     1265.0    35.567       1224.571      1.292        
