Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     2476.0    31.293       2543.243      4.617        
281.5     2471.0    31.310       2528.121      3.328        
282.5     2542.0    31.055       2513.090      0.867        
283.5     2576.0    30.918       2498.149      6.340        
284.5     2512.0    31.168       2483.298      0.848        
285.5     2500.0    31.211       2468.537      1.016        
286.5     2452.0    31.371       2453.864      0.004        
287.5     2424.0    31.456       2439.279      0.236        
288.5     2398.0    31.529       2424.781      0.722        
289.5     2426.0    31.450       2410.371      0.247        
290.5     2418.0    31.473       2396.048      0.486        
291.5     2333.0    31.689       2381.810      2.373        
292.5     2320.0    31.717       2367.658      2.258        
293.5     2372.0    31.597       2353.591      0.339        
294.5     2336.0    31.682       2339.609      0.013        
295.5     2303.0    31.751       2325.710      0.512        
296.5     2339.0    31.675       2311.895      0.732        
297.5     2244.0    31.853       2298.163      2.891        
298.5     2286.0    31.783       2284.514      0.002        
299.5     2202.0    31.909       2270.946      4.669        
300.5     2282.0    31.790       2257.460      0.596        
301.5     2166.0    31.947       2244.055      5.970        
302.5     2214.0    31.895       2230.731      0.275        
303.5     2173.0    31.940       2217.486      1.940        
304.5     2170.0    31.943       2204.321      1.154        
305.5     2162.0    31.950       2191.236      0.837        
306.5     2152.0    31.959       2178.228      0.674        
307.5     2133.0    31.972       2165.299      1.021        
308.5     2125.0    31.977       2152.448      0.737        
309.5     2120.0    31.980       2139.674      0.378        
310.5     2090.0    31.993       2126.977      1.336        
311.5     2118.0    31.981       2114.356      0.013        
312.5     2112.0    31.984       2101.810      0.101        
313.5     2002.0    31.992       2089.340      7.453        
314.5     2059.0    32.000       2076.945      0.314        
315.5     1939.0    31.955       2064.625      15.455       
316.5     1933.0    31.950       2052.378      13.961       
317.5     1943.0    31.958       2040.205      9.252        
318.5     1970.0    31.977       2028.106      3.302        
319.5     1992.0    31.988       2016.078      0.567        
320.5     2023.0    31.998       2004.124      0.348        
321.5     1983.0    31.984       1992.241      0.083        
322.5     1869.0    31.878       1980.429      12.219       
323.5     1916.0    31.933       1968.688      2.722        
324.5     1894.0    31.909       1957.018      3.900        
325.5     1907.0    31.924       1945.418      1.448        
