Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
280.5     4709.0    68.622       5866.880      284.707      
281.5     4936.0    70.257       5845.573      167.610      
282.5     5094.0    71.372       5824.346      104.712      
283.5     5083.0    71.295       5803.197      102.043      
284.5     5258.0    72.512       5782.126      52.246       
285.5     5346.0    73.116       5761.133      32.236       
286.5     5488.0    74.081       5740.218      11.591       
287.5     5590.0    74.766       5719.380      2.994        
288.5     5773.0    75.980       5698.620      0.958        
289.5     5837.0    76.400       5677.936      4.335        
290.5     5894.0    76.772       5657.329      9.503        
291.5     6051.0    77.788       5636.799      28.353       
292.5     6131.0    78.301       5616.344      43.202       
293.5     6209.0    78.797       5595.965      60.527       
294.5     6302.0    79.385       5575.662      83.714       
295.5     6278.0    79.234       5555.433      83.164       
296.5     6468.0    80.424       5535.280      134.503      
297.5     6212.0    78.816       5515.202      78.160       
298.5     6098.0    78.090       5495.197      59.589       
299.5     6075.0    77.942       5475.267      59.207       
300.5     6015.0    77.556       5455.411      52.060       
301.5     5916.0    76.916       5435.628      39.006       
302.5     5834.0    76.381       5415.918      29.961       
303.5     5774.0    75.987       5396.282      24.709       
304.5     5702.0    75.512       5376.718      18.556       
305.5     5453.0    73.844       5357.226      1.682        
306.5     5181.0    71.979       5337.807      4.746        
307.5     5123.0    71.575       5318.460      7.457        
308.5     5018.0    70.838       5299.184      15.756       
309.5     4875.0    69.821       5279.980      33.643       
310.5     4743.0    68.869       5260.846      56.539       
311.5     4648.0    68.176       5241.784      75.856       
312.5     4342.0    65.894       5222.792      178.672      
313.5     4326.0    65.772       5203.871      178.145      
314.5     4172.0    64.591       5185.020      245.975      
315.5     4078.0    63.859       5166.238      290.403      
316.5     4031.0    63.490       5147.526      309.261      
317.5     3841.0    61.976       5128.884      431.826      
318.5     3927.0    62.666       5110.310      356.563      
319.5     3619.0    60.158       5091.805      599.380      
320.5     3569.0    59.741       5073.369      634.106      
321.5     3602.0    60.017       5055.001      586.122      
322.5     3483.0    59.017       5036.701      693.077      
323.5     3550.0    59.582       5018.468      607.437      
324.5     3521.0    59.338       5000.304      621.511      
325.5     3316.0    57.585       4982.206      837.227      
326.5     3283.0    57.297       4964.176      860.905      
327.5     3355.0    57.922       4946.212      754.682      
328.5     3303.0    57.472       4928.315      799.773      
329.5     3282.0    57.289       4910.484      808.032      
330.5     3181.0    56.400       4892.720      921.089      
331.5     3177.0    56.365       4875.020      907.546      
332.5     3043.0    55.163       4857.387      1081.827     
333.5     3117.0    55.830       4839.819      952.231      
334.5     3190.0    56.480       4822.316      835.252      
335.5     3136.0    56.000       4804.877      888.122      
336.5     3058.0    55.299       4787.504      978.150      
337.5     3011.0    54.873       4770.194      1027.820     
338.5     3044.0    55.172       4752.949      959.431      
339.5     2971.0    54.507       4735.768      1048.268     
