****************************************************************************************************
SERIE 1
****************************************************************************************************

Verifica ipotesi linearità_________________________________
Covarianza = -20.18644
Indice Pearson = -0.93199 +/- 0.04760
Gradi di Liberta' = 58
	t = 19.58150486067428
	p-value (due code) = 3.0628062013048727e-27

Parametri___________________________________________________
y = a + bx
a = 26.03115 +/- 0.00574
b = -0.00029 +/- 0.00001

Test Chi Quadro_____________________________________________
x         y         sy           y*            Chi-quadro   
60.00000  26.00000  0.02041      26.01350      0.43722      
75.00000  26.00000  0.02041      26.00908      0.19809      
90.00000  26.00000  0.02041      26.00467      0.05240      
105.00000 26.00000  0.02041      26.00026      0.00016      
120.00000 26.00000  0.02041      25.99585      0.04138      
135.00000 26.00000  0.02041      25.99144      0.17604      
150.00000 26.00000  0.02041      25.98702      0.40415      
165.00000 26.00000  0.02041      25.98261      0.72571      
180.00000 26.00000  0.02041      25.97820      1.14073      
195.00000 26.00000  0.02041      25.97379      1.64919      
210.00000 26.00000  0.02041      25.96937      2.25110      
225.00000 26.00000  0.02041      25.96496      2.94646      
240.00000 26.00000  0.02041      25.96055      3.73527      
255.00000 26.00000  0.02041      25.95614      4.61753      
270.00000 26.00000  0.02041      25.95172      5.59325      
285.00000 26.00000  0.02041      25.94731      6.66241      
300.00000 25.90000  0.02041      25.94290      4.41696      
315.00000 25.90000  0.02041      25.93849      3.55510      
330.00000 25.90000  0.02041      25.93408      2.78669      
345.00000 25.90000  0.02041      25.92966      2.11173      
360.00000 25.90000  0.02041      25.92525      1.53021      
375.00000 25.90000  0.02041      25.92084      1.04215      
390.00000 25.90000  0.02041      25.91643      0.64754      
405.00000 25.90000  0.02041      25.91201      0.34638      
420.00000 25.90000  0.02041      25.90760      0.13867      
435.00000 25.90000  0.02041      25.90319      0.02441      
450.00000 25.90000  0.02041      25.89878      0.00359      
465.00000 25.90000  0.02041      25.89436      0.07623      
480.00000 25.90000  0.02041      25.88995      0.24232      
495.00000 25.90000  0.02041      25.88554      0.50185      
510.00000 25.90000  0.02041      25.88113      0.85484      
525.00000 25.90000  0.02041      25.87671      1.30128      
540.00000 25.90000  0.02041      25.87230      1.84116      
555.00000 25.90000  0.02041      25.86789      2.47450      
570.00000 25.80000  0.02041      25.86348      9.67064      
585.00000 25.80000  0.02041      25.85907      8.37295      
600.00000 25.80000  0.02041      25.85465      7.16872      
615.00000 25.80000  0.02041      25.85024      6.05793      
630.00000 25.80000  0.02041      25.84583      5.04060      
645.00000 25.80000  0.02041      25.84142      4.11671      
660.00000 25.80000  0.02041      25.83700      3.28627      
675.00000 25.80000  0.02041      25.83259      2.54929      
690.00000 25.80000  0.02041      25.82818      1.90575      
705.00000 25.80000  0.02041      25.82377      1.35566      
720.00000 25.80000  0.02041      25.81935      0.89903      
735.00000 25.80000  0.02041      25.81494      0.53584      
750.00000 25.80000  0.02041      25.81053      0.26610      
765.00000 25.80000  0.02041      25.80612      0.08982      
780.00000 25.80000  0.02041      25.80171      0.00698      
795.00000 25.80000  0.02041      25.79729      0.01759      
810.00000 25.80000  0.02041      25.79288      0.12165      
825.00000 25.80000  0.02041      25.78847      0.31916      
840.00000 25.80000  0.02041      25.78406      0.61013      
855.00000 25.80000  0.02041      25.77964      0.99454      
870.00000 25.80000  0.02041      25.77523      1.47240      
885.00000 25.80000  0.02041      25.77082      2.04371      
900.00000 25.80000  0.02041      25.76641      2.70847      
915.00000 25.80000  0.02041      25.76199      3.46668      
930.00000 25.80000  0.02041      25.75758      4.31834      
945.00000 25.80000  0.02041      25.75317      5.26345      

Gradi di liberta = 58
Chi-quadro = 127.18510697415792
p-value = 4.332024677512354e-07

Verifica ipotesi funzione costante_________________________
Gradi di Liberta' = 58
t = 28.996812712829378
p-value = 3.275758752993405e-36

x         y         sy           y_media_p     Chi-quadro   
60.00000  26.00000  0.02041      25.88333      32.66667     
75.00000  26.00000  0.02041      25.88333      32.66667     
90.00000  26.00000  0.02041      25.88333      32.66667     
105.00000 26.00000  0.02041      25.88333      32.66667     
120.00000 26.00000  0.02041      25.88333      32.66667     
135.00000 26.00000  0.02041      25.88333      32.66667     
150.00000 26.00000  0.02041      25.88333      32.66667     
165.00000 26.00000  0.02041      25.88333      32.66667     
180.00000 26.00000  0.02041      25.88333      32.66667     
195.00000 26.00000  0.02041      25.88333      32.66667     
210.00000 26.00000  0.02041      25.88333      32.66667     
225.00000 26.00000  0.02041      25.88333      32.66667     
240.00000 26.00000  0.02041      25.88333      32.66667     
255.00000 26.00000  0.02041      25.88333      32.66667     
270.00000 26.00000  0.02041      25.88333      32.66667     
285.00000 26.00000  0.02041      25.88333      32.66667     
300.00000 25.90000  0.02041      25.88333      0.66667      
315.00000 25.90000  0.02041      25.88333      0.66667      
330.00000 25.90000  0.02041      25.88333      0.66667      
345.00000 25.90000  0.02041      25.88333      0.66667      
360.00000 25.90000  0.02041      25.88333      0.66667      
375.00000 25.90000  0.02041      25.88333      0.66667      
390.00000 25.90000  0.02041      25.88333      0.66667      
405.00000 25.90000  0.02041      25.88333      0.66667      
420.00000 25.90000  0.02041      25.88333      0.66667      
435.00000 25.90000  0.02041      25.88333      0.66667      
450.00000 25.90000  0.02041      25.88333      0.66667      
465.00000 25.90000  0.02041      25.88333      0.66667      
480.00000 25.90000  0.02041      25.88333      0.66667      
495.00000 25.90000  0.02041      25.88333      0.66667      
510.00000 25.90000  0.02041      25.88333      0.66667      
525.00000 25.90000  0.02041      25.88333      0.66667      
540.00000 25.90000  0.02041      25.88333      0.66667      
555.00000 25.90000  0.02041      25.88333      0.66667      
570.00000 25.80000  0.02041      25.88333      16.66667     
585.00000 25.80000  0.02041      25.88333      16.66667     
600.00000 25.80000  0.02041      25.88333      16.66667     
615.00000 25.80000  0.02041      25.88333      16.66667     
630.00000 25.80000  0.02041      25.88333      16.66667     
645.00000 25.80000  0.02041      25.88333      16.66667     
660.00000 25.80000  0.02041      25.88333      16.66667     
675.00000 25.80000  0.02041      25.88333      16.66667     
690.00000 25.80000  0.02041      25.88333      16.66667     
705.00000 25.80000  0.02041      25.88333      16.66667     
720.00000 25.80000  0.02041      25.88333      16.66667     
735.00000 25.80000  0.02041      25.88333      16.66667     
750.00000 25.80000  0.02041      25.88333      16.66667     
765.00000 25.80000  0.02041      25.88333      16.66667     
780.00000 25.80000  0.02041      25.88333      16.66667     
795.00000 25.80000  0.02041      25.88333      16.66667     
810.00000 25.80000  0.02041      25.88333      16.66667     
825.00000 25.80000  0.02041      25.88333      16.66667     
840.00000 25.80000  0.02041      25.88333      16.66667     
855.00000 25.80000  0.02041      25.88333      16.66667     
870.00000 25.80000  0.02041      25.88333      16.66667     
885.00000 25.80000  0.02041      25.88333      16.66667     
900.00000 25.80000  0.02041      25.88333      16.66667     
915.00000 25.80000  0.02041      25.88333      16.66667     
930.00000 25.80000  0.02041      25.88333      16.66667     
945.00000 25.80000  0.02041      25.88333      16.66667     

Gradi di liberta = 58
Chi-quadro = 967.999999999991
p-value = 3.302344486365036e-165

Media pesata = 25.88333333333333 +/- 0.0026352313834736496

