tempo1;temperatura1;;
0;21.0;;
15;21.3;;
30;21.9;;
45;25.7;;
60;26.0;;
75;26.0;;
90;26.0;;
105;26.0;;
120;26.0;;
135;26.0;;
150;26.0;;
165;26.0;;
180;26.0;;
195;26.0;;
210;26.0;;
225;26.0;;
240;26.0;;
255;26.0;;
270;26.0;;
285;26.0;;
300;25.9;;
315;25.9;;
330;25.9;;
345;25.9;;
360;25.9;;
375;25.9;;
390;25.9;;
405;25.9;;
420;25.9;;
435;25.9;;
450;25.9;;
465;25.9;;
480;25.9;;
495;25.9;;
510;25.9;;
525;25.9;;
540;25.9;;
555;25.9;;
570;25.8;;
585;25.8;;
600;25.8;;
615;25.8;;
630;25.8;;
645;25.8;;
660;25.8;;
675;25.8;;
690;25.8;;
705;25.8;;
720;25.8;;
735;25.8;;
750;25.8;;
765;25.8;;
780;25.8;;
795;25.8;;
810;25.8;;
825;25.8;;
840;25.8;;
855;25.8;;
870;25.8;;
885;25.8;;
900;25.8;;
915;25.8;;
930;25.8;;
945;25.8;;
