Test residui Bode_____________________________________________
   x       y       y*      res     s_res   
1  6.91    -0.02   -0.19   0.17    0.06    
2  7.60    -0.06   -0.34   0.28    0.06    
3  8.01    -0.13   -0.43   0.30    0.06    
4  8.29    -0.22   -0.49   0.28    0.06    
5  8.52    -0.31   -0.54   0.23    0.06    
6  8.70    -0.41   -0.58   0.18    0.07    
7  8.85    -0.49   -0.62   0.13    0.07    
8  8.99    -0.58   -0.65   0.07    0.07    
9  9.21    -0.74   -0.70   -0.04   0.07    
10 9.39    -0.88   -0.74   -0.15   0.08    
11 9.90    -1.32   -0.85   -0.48   0.09    
12 10.13   -1.53   -0.90   -0.63   0.10    
13 10.31   -1.69   -0.94   -0.75   0.11    
14 10.46   -1.85   -0.97   -0.88   0.12    
15 6.68    -0.01   -0.14   0.13    0.06    
16 6.40    -0.01   -0.08   0.07    0.06    
17 5.99    0.00    0.01    -0.01   0.06    
18 5.30    -0.01   0.16    -0.17   0.06    
19 5.01    0.00    0.22    -0.22   0.06    
20 4.61    0.00    0.31    -0.31   0.06    

Somma residui = 5.48
