Test residui Bode_____________________________________________
   x       y       y*      res     s_res   
1  3.00    -0.18   -0.16   -0.02   0.53    
2  3.30    -0.51   -0.56   0.05    0.53    
3  3.48    -1.11   -1.15   0.04    0.54    
4  3.60    -1.89   -1.87   -0.03   0.55    
5  3.70    -2.73   -2.64   -0.09   0.56    
6  3.78    -3.54   -3.43   -0.12   0.57    
7  3.85    -4.22   -4.21   -0.02   0.59    
8  3.90    -5.01   -4.96   -0.05   0.60    
9  4.00    -6.41   -6.36   -0.04   0.63    
10 4.08    -7.68   -7.63   -0.05   0.66    
11 4.30    -11.49  -11.55  0.06    0.80    
12 4.40    -13.26  -13.38  0.13    0.89    
13 4.48    -14.67  -14.90  0.24    0.98    
14 4.54    -16.05  -16.20  0.16    1.08    
15 2.90    -0.09   -0.11   0.02    0.53    
16 2.78    -0.09   -0.07   -0.02   0.53    
17 2.60    0.00    -0.04   0.04    0.53    
18 2.30    -0.04   -0.03   -0.02   0.53    
19 2.18    0.00    -0.02   0.02    0.53    
20 2.00    0.00    -0.02   0.02    0.53    

Somma residui = 1.24
