Test Chi Quadro Ampiezza Linearizzata_____________________________________________
   x       y       y*      sy      Chi     
1  1000000.001.04    1.07    0.13    0.03    
2  4000000.001.12    1.14    0.14    0.02    
3  9000000.001.29    1.27    0.16    0.02    
4  16000000.001.55    1.45    0.20    0.24    
5  25000000.001.88    1.68    0.24    0.64    
6  36000000.002.26    1.96    0.30    1.00    
7  49000000.002.64    2.30    0.36    0.95    
8  64000000.003.17    2.68    0.44    1.25    
9  100000000.004.37    3.61    0.64    1.45    
10 144000000.005.86    4.73    0.90    1.58    
11 400000000.0014.10   11.30   2.59    1.16    
12 625000000.0021.16   17.07   4.33    0.89    
13 900000000.0029.29   24.13   6.58    0.61    
14 640000.001.02    1.06    0.12    0.08    
15 360000.001.02    1.05    0.12    0.05    
16 160000.001.00    1.04    0.12    0.13    
17 40000.001.01    1.04    0.12    0.06    
18 22500.001.00    1.04    0.12    0.11    
19 10000.001.00    1.04    0.12    0.11    
Chi Quadro = 10.38
Gradi Libertà = 17
Chi Quadro Ridotto = 0.61

