Test residui Ampiezza Linearizzata_____________________________________________
   x       y       y*      res     s_res   
1  1000000.001.04    1.07    -0.02   0.13    
2  4000000.001.12    1.14    -0.02   0.14    
3  9000000.001.29    1.27    0.02    0.16    
4  16000000.001.55    1.45    0.10    0.20    
5  25000000.001.88    1.68    0.19    0.24    
6  36000000.002.26    1.96    0.30    0.30    
7  49000000.002.64    2.30    0.35    0.36    
8  64000000.003.17    2.68    0.49    0.44    
9  100000000.004.37    3.61    0.77    0.64    
10 144000000.005.86    4.73    1.13    0.90    
11 400000000.0014.10   11.30   2.80    2.59    
12 625000000.0021.16   17.07   4.09    4.33    
13 900000000.0029.29   24.13   5.16    6.58    
14 640000.001.02    1.06    -0.04   0.12    
15 360000.001.02    1.05    -0.03   0.12    
16 160000.001.00    1.04    -0.04   0.12    
17 40000.001.01    1.04    -0.03   0.12    
18 22500.001.00    1.04    -0.04   0.12    
19 10000.001.00    1.04    -0.04   0.12    

Somma residui = 15.64
