f(kHz),Vout(V),phi(°),Vin(V),sVin(V),Vin_MC(V),sVin_MC_gauss(V),sVin_MC_unif(V)
32.0,0.22,0.0,7.696584248527648,0.0145452290724035,7.696518937612799,0.0032087811507025,0.0018513468031757
37.0,0.26,0.0,7.638902053701466,0.0251135206794405,7.638696600635713,0.0069097992816006,0.0039831993757678
42.0,0.32,0.0,7.549452230855465,0.0431792731935299,7.548831576451135,0.0147897656688636,0.0085074349652779
47.0,0.38,0.0,7.404842926995825,0.0746155480942469,7.40299017680996,0.0320897329553213,0.018341185091083
52.0,0.48,-81.6,7.158390313120163,0.1309568710760463,7.152958155655253,0.0715041053068072,0.0405913135129619
57.0,0.6,-75.8,6.712321916284991,0.2350768144696455,6.696032738406918,0.1654799072930781,0.0929335377721601
62.0,0.744,-67.0,5.864109072680518,0.4273096437933205,5.821791657348703,0.3816977716463001,0.2140484115978739
62.5,0.76,-65.0,5.745005447003449,0.4531719302722264,5.698729635090683,0.4128541195958523,0.2319473350900696
63.0,0.776,-64.5,5.618201453215895,0.4803421567020271,5.568815100658981,0.4454427888917859,0.2506269183596013
63.5,0.8,-63.0,5.483374315973358,0.5088043898864221,5.430946963731628,0.4798184981669073,0.2710985383654607
64.0,0.808,-60.0,5.340249114666585,0.5385209511500294,5.285374817791457,0.5144441589327314,0.291799856749025
64.5,0.832,-58.3,5.1886192718838124,0.5694283918324428,5.131029853270889,0.549759767305499,0.3137325563076135
65.0,0.84,-58.0,5.028371732918429,0.6014333688917413,4.97023803728389,0.5844715932183658,0.3358189812718081
65.5,0.856,-56.0,4.859517610270437,0.6344086248307288,4.801159122455412,0.6184187748510155,0.3585753935686135
66.0,0.864,-52.4,4.682229166354356,0.6681893446965951,4.626455146530168,0.6508254540279765,0.380606884207894
66.5,0.88,-50.3,4.496884131395283,0.7025702317332024,4.444781262557117,0.6799837447582842,0.402670122103035
67.0,0.896,-48.2,4.304118507724879,0.7373037031198628,4.259312193673077,0.7037203435436532,0.4228346224012594
67.5,0.912,-45.6,4.104889184342771,0.7720996455796885,4.071804396929785,0.7212526789283757,0.4405459063278094
68.0,0.92,-43.3,3.900547809226416,0.8066271725096656,3.8834652429406176,0.7305771767730652,0.4548953167731251
68.5,0.928,-39.9,3.6929272360575567,0.8405187742091142,3.696664117151731,0.7315241028799976,0.463582813337245
69.0,0.948,-36.3,3.484440967855328,0.8733771380171976,3.515379426238896,0.7212098118536927,0.4659897621701199
69.5,0.952,-32.0,3.278193253793,0.9047847299037838,3.343360024326016,0.6991776314569187,0.4594864026655041
70.0,0.96,-27.9,3.0780907185194395,0.934315978869152,3.182884121781403,0.6660853647289078,0.4425912709133582
