Test Chi Quadro Sfasamento_____________________________________________
   x       y       y*      sy      Chi     
1  62000.00-1.17   -1.15   0.03    0.43    
2  62500.00-1.13   -1.13   0.03    0.05    
3  63000.00-1.13   -1.10   0.03    0.35    
4  63500.00-1.10   -1.08   0.03    0.26    
5  64000.00-1.05   -1.06   0.03    0.07    
6  64500.00-1.02   -1.03   0.03    0.10    
7  65000.00-1.01   -1.00   0.03    0.15    
8  65500.00-0.98   -0.97   0.03    0.10    
9  66000.00-0.91   -0.93   0.03    0.21    
10 66500.00-0.88   -0.89   0.03    0.15    
11 67000.00-0.84   -0.85   0.03    0.05    
12 67500.00-0.80   -0.80   0.03    0.03    
13 68000.00-0.76   -0.75   0.03    0.02    
14 68500.00-0.70   -0.69   0.03    0.00    
15 69000.00-0.63   -0.63   0.03    0.00    
16 69500.00-0.56   -0.57   0.03    0.04    
17 70000.00-0.49   -0.49   0.03    0.04    
18 70500.00-0.41   -0.42   0.03    0.07    
19 71000.00-0.33   -0.33   0.03    0.02    
20 71500.00-0.22   -0.25   0.03    0.42    
21 72000.00-0.14   -0.16   0.03    0.32    
22 72100.00-0.14   -0.14   0.03    0.00    
23 72200.00-0.12   -0.12   0.03    0.00    
24 72300.00-0.08   -0.10   0.03    0.29    
25 72400.00-0.07   -0.08   0.03    0.07    
26 72500.00-0.11   -0.06   0.03    1.60    
27 72600.00-0.09   -0.05   0.03    1.68    
28 72700.00-0.06   -0.03   0.03    1.15    
29 72800.00-0.05   -0.01   0.03    1.70    
30 72900.00-0.03   0.01    0.03    1.17    
31 73000.000.05    0.03    0.03    0.24    
32 73100.000.07    0.05    0.03    0.59    
33 73200.000.08    0.06    0.03    0.24    
34 73300.000.11    0.08    0.03    0.59    
35 73400.000.12    0.10    0.03    0.30    
36 73500.000.15    0.12    0.03    0.69    
37 74000.000.23    0.21    0.03    0.49    
38 74500.000.32    0.29    0.03    0.53    
39 75000.000.40    0.37    0.03    0.89    
40 75500.000.41    0.45    0.03    1.31    
41 76000.000.48    0.52    0.03    1.26    
42 76500.000.53    0.58    0.03    2.10    
43 77000.000.59    0.64    0.03    2.01    
44 77500.000.70    0.69    0.03    0.06    
45 78000.000.75    0.74    0.03    0.03    
46 78500.000.80    0.78    0.03    0.15    
47 79000.000.82    0.82    0.03    0.07    
48 79500.000.86    0.86    0.03    0.01    
49 80000.000.89    0.90    0.03    0.00    
50 80500.000.93    0.93    0.03    0.03    
51 81000.000.98    0.95    0.03    0.42    
52 81500.001.00    0.98    0.03    0.30    
53 82000.001.03    1.00    0.03    0.51    
54 82500.001.03    1.03    0.03    0.00    
55 83000.001.05    1.05    0.03    0.03    
56 83500.001.06    1.07    0.03    0.05    
57 84000.001.10    1.08    0.03    0.23    
Chi Quadro = 23.71
Gradi Libertà = 53
Chi Quadro Ridotto = 0.45

