Test Chi Quadro Ampiezza_____________________________________________
   x       y       y*      sy      Chi     
1  32000.000.22    0.00    0.06    15.11   
2  37000.000.26    0.00    0.06    20.23   
3  42000.000.32    0.00    0.06    28.83   
4  47000.000.38    0.00    0.06    38.30   
5  52000.000.48    0.00    0.06    55.55   
6  57000.000.60    0.00    0.07    77.85   
7  62000.000.74    0.00    0.07    105.83  
8  62500.000.76    0.00    0.07    108.98  
9  63000.000.78    0.00    0.07    112.14  
10 63500.000.80    0.00    0.07    116.87  
11 64000.000.81    0.00    0.07    118.45  
12 64500.000.83    0.00    0.07    123.19  
13 65000.000.84    0.00    0.08    124.77  
14 65500.000.86    0.00    0.08    127.93  
15 66000.000.86    0.00    0.08    129.51  
16 66500.000.88    0.00    0.08    132.67  
17 67000.000.90    0.00    0.08    135.83  
18 67500.000.91    0.00    0.08    138.98  
19 68000.000.92    0.00    0.08    140.56  
20 68500.000.93    0.00    0.08    142.13  
21 69000.000.95    0.00    0.08    146.06  
22 69500.000.95    0.00    0.08    146.85  
23 70000.000.96    0.00    0.08    148.42  
24 70500.000.96    0.00    0.08    148.42  
25 71000.000.98    0.00    0.08    151.56  
26 71500.000.98    0.00    0.08    151.56  
27 72000.000.98    0.00    0.08    151.56  
28 72100.000.98    0.00    0.08    151.56  
29 72200.000.98    0.00    0.08    151.56  
30 72300.000.98    0.00    0.08    151.56  
31 72400.000.98    0.00    0.08    151.56  
32 72500.000.98    0.00    0.08    151.56  
33 72600.000.98    0.00    0.08    151.56  
34 72700.000.98    0.00    0.08    151.56  
35 72800.000.98    0.00    0.08    151.56  
36 72900.000.98    0.00    0.08    151.56  
37 73000.000.98    0.00    0.08    151.56  
38 73100.000.98    0.00    0.08    151.56  
39 73200.000.98    0.00    0.08    151.56  
40 73300.000.98    0.00    0.08    151.56  
41 73400.000.98    0.00    0.08    151.56  
42 73500.000.98    0.00    0.08    151.56  
43 74000.000.98    0.00    0.08    151.56  
44 74500.000.98    0.00    0.08    151.56  
45 75000.000.98    0.00    0.08    151.56  
46 75500.000.98    0.00    0.08    151.56  
47 76000.000.96    0.00    0.08    148.42  
48 76500.000.96    0.00    0.08    148.42  
49 77000.000.96    0.00    0.08    148.42  
50 77500.000.94    0.00    0.08    145.28  
51 78000.000.94    0.00    0.08    143.71  
52 78500.000.93    0.00    0.08    142.13  
53 79000.000.91    0.00    0.08    138.98  
54 79500.000.91    0.00    0.08    138.98  
55 80000.000.90    0.00    0.08    135.83  
56 80500.000.90    0.00    0.08    135.83  
57 81000.000.88    0.00    0.08    132.67  
58 81500.000.86    0.00    0.08    129.51  
59 82000.000.86    0.00    0.08    129.51  
60 82500.000.85    0.00    0.08    126.35  
61 83000.000.84    0.00    0.08    124.77  
62 83500.000.83    0.00    0.07    123.19  
63 84000.000.82    0.00    0.07    121.61  
64 89000.000.70    0.00    0.07    97.20   
65 94000.000.62    0.00    0.07    81.68   
66 99000.000.56    0.00    0.07    70.28   
67 104000.000.50    0.00    0.07    59.17   
68 109000.000.46    0.00    0.06    51.98   
69 114000.000.42    0.00    0.06    45.01   
70 119000.000.38    0.00    0.06    38.30   
71 124000.000.34    0.00    0.06    31.90   
Chi Quadro = 8706.89
Gradi Libertà = 69
Chi Quadro Ridotto = 126.19

