Test residui Ampiezza_____________________________________________
   x       y       y*      res     s_res   
1  32000.000.22    0.74    -0.52   0.36    
2  37000.000.26    0.74    -0.48   0.38    
3  42000.000.32    0.74    -0.42   0.41    
4  47000.000.38    0.74    -0.36   0.44    
5  52000.000.48    0.74    -0.26   0.49    
6  57000.000.60    0.74    -0.14   0.55    
7  62000.000.74    0.73    0.01    0.62    
8  62500.000.76    0.73    0.03    0.63    
9  63000.000.78    0.73    0.04    0.64    
10 63500.000.80    0.73    0.07    0.65    
11 64000.000.81    0.73    0.08    0.65    
12 64500.000.83    0.73    0.10    0.67    
13 65000.000.84    0.73    0.11    0.67    
14 65500.000.86    0.73    0.12    0.68    
15 66000.000.86    0.73    0.13    0.68    
16 66500.000.88    0.73    0.15    0.69    
17 67000.000.90    0.73    0.17    0.70    
18 67500.000.91    0.73    0.18    0.71    
19 68000.000.92    0.73    0.19    0.71    
20 68500.000.93    0.73    0.20    0.71    
21 69000.000.95    0.73    0.22    0.72    
22 69500.000.95    0.73    0.22    0.73    
23 70000.000.96    0.73    0.23    0.73    
24 70500.000.96    0.73    0.23    0.73    
25 71000.000.98    0.73    0.25    0.74    
26 71500.000.98    0.73    0.25    0.74    
27 72000.000.98    0.73    0.25    0.74    
28 72100.000.98    0.73    0.25    0.74    
29 72200.000.98    0.73    0.25    0.74    
30 72300.000.98    0.73    0.25    0.74    
31 72400.000.98    0.73    0.25    0.74    
32 72500.000.98    0.73    0.25    0.74    
33 72600.000.98    0.73    0.25    0.74    
34 72700.000.98    0.73    0.25    0.74    
35 72800.000.98    0.73    0.25    0.74    
36 72900.000.98    0.73    0.25    0.74    
37 73000.000.98    0.73    0.25    0.74    
38 73100.000.98    0.73    0.25    0.74    
39 73200.000.98    0.73    0.25    0.74    
40 73300.000.98    0.73    0.25    0.74    
41 73400.000.98    0.73    0.25    0.74    
42 73500.000.98    0.73    0.25    0.74    
43 74000.000.98    0.73    0.25    0.74    
44 74500.000.98    0.73    0.25    0.74    
45 75000.000.98    0.73    0.25    0.74    
46 75500.000.98    0.73    0.25    0.74    
47 76000.000.96    0.73    0.23    0.73    
48 76500.000.96    0.73    0.23    0.73    
49 77000.000.96    0.73    0.23    0.73    
50 77500.000.94    0.73    0.22    0.72    
51 78000.000.94    0.73    0.21    0.72    
52 78500.000.93    0.72    0.20    0.71    
53 79000.000.91    0.72    0.19    0.71    
54 79500.000.91    0.72    0.19    0.71    
55 80000.000.90    0.72    0.17    0.70    
56 80500.000.90    0.72    0.17    0.70    
57 81000.000.88    0.72    0.16    0.69    
58 81500.000.86    0.72    0.14    0.68    
59 82000.000.86    0.72    0.14    0.68    
60 82500.000.85    0.72    0.13    0.67    
61 83000.000.84    0.72    0.12    0.67    
62 83500.000.83    0.72    0.11    0.67    
63 84000.000.82    0.72    0.10    0.66    
64 89000.000.70    0.72    -0.02   0.60    
65 94000.000.62    0.72    -0.10   0.56    
66 99000.000.56    0.71    -0.15   0.53    
67 104000.000.50    0.71    -0.21   0.50    
68 109000.000.46    0.71    -0.25   0.48    
69 114000.000.42    0.70    -0.28   0.46    
70 119000.000.38    0.70    -0.32   0.44    
71 124000.000.34    0.70    -0.36   0.42    

Somma residui = 14.74
