f(kHz),V(V),phi(°)
62.0,0.744,-67.0
62.5,0.760,-65.0
63.0,0.776,-64.5
63.5,0.800,-63.0
64.0,0.808,-60.0
64.5,0.832,-58.3
65.0,0.840,-58.0
65.5,0.856,-56.0
66.0,0.864,-52.4
66.5,0.880,-50.3
67.0,0.896,-48.2
67.5,0.912,-45.6
68.0,0.920,-43.3
68.5,0.928,-39.9
69.0,0.948,-36.3
69.5,0.952,-32.0
70.0,0.960,-27.9
70.5,0.960,-23.3
71.0,0.976,-18.8
71.5,0.976,-12.8
72.0,0.976,-7.8

72.1,0.976,-7.8
72.2,0.976,-6.7
72.3,0.976,-4.7
72.4,0.976,-4.2
72.5,0.976,-6.2
72.6,0.976,-5.2
72.7,0.976,-3.7
72.8,0.976,-3.1
72.9,0.976,-1.6
73.0,0.976,2.6
73.1,0.976,4.2
73.2,0.976,4.7
73.3,0.976,6.3
73.4,0.976,6.9
73.5,0.976,8.5

74.0,0.976,13.3
74.5,0.976,18.2
75.0,0.976,23.2
75.5,0.976,23.3
76.0,0.960,27.3
76.5,0.960,30.3
77.0,0.960,33.7
77.5,0.944,40.1
78.0,0.936,42.7
78.5,0.928,45.7
79.0,0.912,46.7
79.5,0.912,49.5
80.0,0.896,51.2
80.5,0.896,53.4
81.0,0.880,56.0
81.5,0.864,57.3
82.0,0.864,59.0
82.5,0.848,58.8
83.0,0.840,60.4
83.5,0.832,60.7
84.0,0.824,63.1
