Test Chi Quadro Sfasamento_____________________________________________
   x       y       y*      sy      Chi     
1  52000.00-81.60  -0.70   2.00    1636.07 
2  57000.00-75.80  -0.66   2.00    1411.57 
3  62000.00-67.00  -0.62   2.00    1101.64 
4  62500.00-65.00  -0.61   2.00    1036.38 
5  63000.00-64.50  -0.61   2.00    1020.46 
6  63500.00-63.00  -0.61   2.00    973.23  
7  64000.00-60.00  -0.60   2.00    882.00  
8  64500.00-58.30  -0.60   2.00    832.34  
9  65000.00-58.00  -0.60   2.00    823.81  
10 65500.00-56.00  -0.59   2.00    767.50  
11 66000.00-52.40  -0.59   2.00    671.10  
12 66500.00-50.30  -0.59   2.00    617.88  
13 67000.00-48.20  -0.58   2.00    566.87  
14 67500.00-45.60  -0.58   2.00    506.73  
15 68000.00-43.30  -0.58   2.00    456.35  
16 68500.00-39.90  -0.57   2.00    386.68  
17 69000.00-36.30  -0.57   2.00    319.18  
18 69500.00-32.00  -0.57   2.00    247.04  
19 70000.00-27.90  -0.56   2.00    186.84  
20 70500.00-23.30  -0.56   2.00    129.29  
21 71000.00-18.80  -0.56   2.00    83.21   
22 71500.00-12.80  -0.55   2.00    37.50   
23 72000.00-7.80   -0.55   2.00    13.14   
24 72100.00-7.80   -0.55   2.00    13.14   
25 72200.00-6.70   -0.55   2.00    9.46    
26 72300.00-4.70   -0.55   2.00    4.31    
27 72400.00-4.20   -0.55   2.00    3.34    
28 72500.00-6.20   -0.55   2.00    7.99    
29 72600.00-5.20   -0.55   2.00    5.42    
30 72700.00-3.70   -0.55   2.00    2.49    
31 72800.00-3.10   -0.54   2.00    1.63    
32 72900.00-1.60   -0.54   2.00    0.28    
33 73000.002.60    -0.54   2.00    2.47    
34 73100.004.20    -0.54   2.00    5.62    
35 73200.004.70    -0.54   2.00    6.87    
36 73300.006.30    -0.54   2.00    11.70   
37 73400.006.90    -0.54   2.00    13.84   
38 73500.008.50    -0.54   2.00    20.43   
39 74000.0013.30   -0.54   2.00    47.87   
40 74500.0018.20   -0.53   2.00    87.74   
41 75000.0023.20   -0.53   2.00    140.79  
42 75500.0023.30   -0.53   2.00    141.95  
43 76000.0027.30   -0.53   2.00    193.57  
44 76500.0030.30   -0.52   2.00    237.51  
45 77000.0033.70   -0.52   2.00    292.75  
46 77500.0040.10   -0.52   2.00    412.44  
47 78000.0042.70   -0.51   2.00    466.87  
48 78500.0045.70   -0.51   2.00    533.88  
49 79000.0046.70   -0.51   2.00    557.17  
50 79500.0049.50   -0.51   2.00    625.16  
51 80000.0051.20   -0.50   2.00    668.32  
52 80500.0053.40   -0.50   2.00    726.33  
53 81000.0056.00   -0.50   2.00    798.02  
54 81500.0057.30   -0.50   2.00    835.09  
55 82000.0059.00   -0.49   2.00    884.86  
56 82500.0058.80   -0.49   2.00    878.85  
57 83000.0060.40   -0.49   2.00    926.84  
58 83500.0060.70   -0.49   2.00    935.92  
59 84000.0063.10   -0.48   2.00    1010.71 
60 89000.0071.40   -0.46   2.00    1290.96 
61 94000.0071.20   -0.44   2.00    1283.02 
62 99000.0073.70   -0.42   2.00    1373.40 
63 104000.0075.20   -0.40   2.00    1428.88 
Chi Quadro = 31594.72
Gradi Libertà = 61
Chi Quadro Ridotto = 517.95

