Test residui Sfasamento_____________________________________________
   x       y       y*      res     s_res   
1  52000.00-81.60  -0.70   -80.90  2.00    
2  57000.00-75.80  -0.66   -75.14  2.00    
3  62000.00-67.00  -0.62   -66.38  2.00    
4  62500.00-65.00  -0.61   -64.39  2.00    
5  63000.00-64.50  -0.61   -63.89  2.00    
6  63500.00-63.00  -0.61   -62.39  2.00    
7  64000.00-60.00  -0.60   -59.40  2.00    
8  64500.00-58.30  -0.60   -57.70  2.00    
9  65000.00-58.00  -0.60   -57.40  2.00    
10 65500.00-56.00  -0.59   -55.41  2.00    
11 66000.00-52.40  -0.59   -51.81  2.00    
12 66500.00-50.30  -0.59   -49.71  2.00    
13 67000.00-48.20  -0.58   -47.62  2.00    
14 67500.00-45.60  -0.58   -45.02  2.00    
15 68000.00-43.30  -0.58   -42.72  2.00    
16 68500.00-39.90  -0.57   -39.33  2.00    
17 69000.00-36.30  -0.57   -35.73  2.00    
18 69500.00-32.00  -0.57   -31.43  2.00    
19 70000.00-27.90  -0.56   -27.34  2.00    
20 70500.00-23.30  -0.56   -22.74  2.00    
21 71000.00-18.80  -0.56   -18.24  2.00    
22 71500.00-12.80  -0.55   -12.25  2.00    
23 72000.00-7.80   -0.55   -7.25   2.00    
24 72100.00-7.80   -0.55   -7.25   2.00    
25 72200.00-6.70   -0.55   -6.15   2.00    
26 72300.00-4.70   -0.55   -4.15   2.00    
27 72400.00-4.20   -0.55   -3.65   2.00    
28 72500.00-6.20   -0.55   -5.65   2.00    
29 72600.00-5.20   -0.55   -4.65   2.00    
30 72700.00-3.70   -0.55   -3.15   2.00    
31 72800.00-3.10   -0.54   -2.56   2.00    
32 72900.00-1.60   -0.54   -1.06   2.00    
33 73000.002.60    -0.54   3.14    2.00    
34 73100.004.20    -0.54   4.74    2.00    
35 73200.004.70    -0.54   5.24    2.00    
36 73300.006.30    -0.54   6.84    2.00    
37 73400.006.90    -0.54   7.44    2.00    
38 73500.008.50    -0.54   9.04    2.00    
39 74000.0013.30   -0.54   13.84   2.00    
40 74500.0018.20   -0.53   18.73   2.00    
41 75000.0023.20   -0.53   23.73   2.00    
42 75500.0023.30   -0.53   23.83   2.00    
43 76000.0027.30   -0.53   27.83   2.00    
44 76500.0030.30   -0.52   30.82   2.00    
45 77000.0033.70   -0.52   34.22   2.00    
46 77500.0040.10   -0.52   40.62   2.00    
47 78000.0042.70   -0.51   43.21   2.00    
48 78500.0045.70   -0.51   46.21   2.00    
49 79000.0046.70   -0.51   47.21   2.00    
50 79500.0049.50   -0.51   50.01   2.00    
51 80000.0051.20   -0.50   51.70   2.00    
52 80500.0053.40   -0.50   53.90   2.00    
53 81000.0056.00   -0.50   56.50   2.00    
54 81500.0057.30   -0.50   57.80   2.00    
55 82000.0059.00   -0.49   59.49   2.00    
56 82500.0058.80   -0.49   59.29   2.00    
57 83000.0060.40   -0.49   60.89   2.00    
58 83500.0060.70   -0.49   61.19   2.00    
59 84000.0063.10   -0.48   63.58   2.00    
60 89000.0071.40   -0.46   71.86   2.00    
61 94000.0071.20   -0.44   71.64   2.00    
62 99000.0073.70   -0.42   74.12   2.00    
63 104000.0075.20   -0.40   75.60   2.00    

Somma residui = 2366.75
