****************************************************************************************************
SERIE 15
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.35337
Indice Pearson = 0.99983 +/- 0.00053
Gradi di Liberta' = 1225
	t = 1885.1822423447982
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.27240 +/- 0.00804
b = 27.19823 +/- 0.01445

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.78003   19.98000  0.30000      19.94307      0.01515      
0.77942   19.97000  0.30000      19.92653      0.02099      
0.77821   19.95000  0.30000      19.89354      0.03542      
0.77821   19.93000  0.30000      19.89354      0.01477      
0.77760   19.93000  0.30000      19.87708      0.03112      
0.77700   19.91000  0.30000      19.86065      0.02706      
0.77640   19.90000  0.30000      19.84424      0.03455      
0.77580   19.89000  0.30000      19.82786      0.04291      
0.77580   19.88000  0.30000      19.82786      0.03021      
0.77580   19.88000  0.30000      19.82786      0.03021      
0.77580   19.88000  0.30000      19.82786      0.03021      
0.77519   19.87000  0.30000      19.81150      0.03802      
0.77519   19.86000  0.30000      19.81150      0.02613      
0.77459   19.85000  0.30000      19.79517      0.03340      
0.77399   19.84000  0.30000      19.77886      0.04153      
0.77399   19.84000  0.30000      19.77886      0.04153      
0.77399   19.82000  0.30000      19.77886      0.01880      
0.77340   19.82000  0.30000      19.76258      0.03663      
0.77340   19.82000  0.30000      19.76258      0.03663      
0.77340   19.80000  0.30000      19.76258      0.01556      
0.77280   19.80000  0.30000      19.74633      0.03201      
0.77280   19.79000  0.30000      19.74633      0.02119      
0.77220   19.78000  0.30000      19.73010      0.02767      
0.77220   19.78000  0.30000      19.73010      0.02767      
0.77220   19.77000  0.30000      19.73010      0.01769      
0.77101   19.76000  0.30000      19.69771      0.04311      
0.77042   19.74000  0.30000      19.68155      0.03795      
0.76923   19.71000  0.30000      19.64932      0.04092      
0.76805   19.68000  0.30000      19.61718      0.04385      
0.76746   19.66000  0.30000      19.60115      0.03848      
0.76687   19.63000  0.30000      19.58514      0.02236      
0.76628   19.62000  0.30000      19.56916      0.02872      
0.76570   19.60000  0.30000      19.55320      0.02434      
0.76511   19.58000  0.30000      19.53727      0.02029      
0.76453   19.57000  0.30000      19.52136      0.02629      
0.76453   19.56000  0.30000      19.52136      0.01659      
0.76453   19.56000  0.30000      19.52136      0.01659      
0.76394   19.56000  0.30000      19.50547      0.03304      
0.76394   19.55000  0.30000      19.50547      0.02203      
0.76336   19.52000  0.30000      19.48961      0.01026      
0.76161   19.48000  0.30000      19.44217      0.01590      
0.76046   19.45000  0.30000      19.41067      0.01719      
0.75988   19.44000  0.30000      19.39495      0.02255      
0.75930   19.42000  0.30000      19.37926      0.01844      
0.75815   19.42000  0.30000      19.34794      0.05769      
0.75815   19.40000  0.30000      19.34794      0.03011      
0.75758   19.39000  0.30000      19.33232      0.03696      
0.75700   19.37000  0.30000      19.31672      0.03154      
0.75643   19.37000  0.30000      19.30115      0.05267      
0.75643   19.36000  0.30000      19.30115      0.03848      
0.75586   19.35000  0.30000      19.28560      0.04608      
0.75529   19.33000  0.30000      19.27007      0.03990      
0.75472   19.32000  0.30000      19.25457      0.04757      
0.75472   19.31000  0.30000      19.25457      0.03414      
0.75415   19.29000  0.30000      19.23909      0.02880      
0.75301   19.27000  0.30000      19.20820      0.04244      
0.75188   19.24000  0.30000      19.17740      0.04354      
0.75131   19.22000  0.30000      19.16203      0.03733      
0.75019   19.18000  0.30000      19.13138      0.02627      
0.74906   19.15000  0.30000      19.10081      0.02689      
0.74794   19.12000  0.30000      19.07033      0.02741      
0.74738   19.11000  0.30000      19.05513      0.03345      
0.74683   19.09000  0.30000      19.03995      0.02784      
0.74683   19.09000  0.30000      19.03995      0.02784      
0.74683   19.08000  0.30000      19.03995      0.01782      
0.74683   19.08000  0.30000      19.03995      0.01782      
0.74683   19.08000  0.30000      19.03995      0.01782      
