****************************************************************************************************
SERIE 45
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.35836
Indice Pearson = 0.99998 +/- 0.00019
Gradi di Liberta' = 1158
	t = 5226.322438783857
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.26571 +/- 0.00303
b = 29.87539 +/- 0.00572

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.71073   19.99000  0.30000      19.96769      0.00553      
0.71073   19.98000  0.30000      19.96769      0.00168      
0.71023   19.97000  0.30000      19.95261      0.00336      
0.70972   19.96000  0.30000      19.93755      0.00560      
0.70972   19.95000  0.30000      19.93755      0.00172      
0.70972   19.94000  0.30000      19.93755      0.00007      
0.70922   19.94000  0.30000      19.92251      0.00340      
0.70922   19.94000  0.30000      19.92251      0.00340      
0.70922   19.93000  0.30000      19.92251      0.00062      
0.70872   19.93000  0.30000      19.90749      0.00563      
0.70872   19.93000  0.30000      19.90749      0.00563      
0.70822   19.92000  0.30000      19.89250      0.00840      
0.70822   19.91000  0.30000      19.89250      0.00340      
0.70771   19.91000  0.30000      19.87752      0.01172      
0.70771   19.90000  0.30000      19.87752      0.00561      
0.70721   19.89000  0.30000      19.86257      0.00836      
0.70721   19.89000  0.30000      19.86257      0.00836      
0.70671   19.88000  0.30000      19.84764      0.01163      
0.70621   19.87000  0.30000      19.83273      0.01543      
0.70621   19.86000  0.30000      19.83273      0.00826      
0.70572   19.85000  0.30000      19.81784      0.01149      
0.70572   19.84000  0.30000      19.81784      0.00546      
0.70572   19.84000  0.30000      19.81784      0.00546      
0.70522   19.83000  0.30000      19.80297      0.00812      
0.70472   19.82000  0.30000      19.78812      0.01129      
0.70423   19.80000  0.30000      19.77330      0.00792      
0.70373   19.79000  0.30000      19.75849      0.01103      
0.70323   19.77000  0.30000      19.74371      0.00768      
0.70274   19.76000  0.30000      19.72894      0.01072      
0.70225   19.75000  0.30000      19.71420      0.01424      
0.70175   19.73000  0.30000      19.69948      0.01035      
0.70126   19.72000  0.30000      19.68477      0.01379      
0.70077   19.70000  0.30000      19.67009      0.00994      
0.70028   19.68000  0.30000      19.65543      0.00671      
0.69979   19.66000  0.30000      19.64079      0.00410      
0.69930   19.65000  0.30000      19.62617      0.00631      
0.69881   19.64000  0.30000      19.61157      0.00898      
0.69881   19.63000  0.30000      19.61157      0.00377      
0.69832   19.62000  0.30000      19.59699      0.00588      
0.69832   19.61000  0.30000      19.59699      0.00188      
0.69784   19.60000  0.30000      19.58243      0.00343      
0.69784   19.60000  0.30000      19.58243      0.00343      
0.69735   19.59000  0.30000      19.56790      0.00543      
0.69735   19.58000  0.30000      19.56790      0.00163      
0.69686   19.57000  0.30000      19.55338      0.00307      
0.69638   19.56000  0.30000      19.53888      0.00496      
0.69638   19.54000  0.30000      19.53888      0.00001      
0.69589   19.53000  0.30000      19.52440      0.00035      
0.69541   19.51000  0.30000      19.50994      0.00000      
0.69493   19.51000  0.30000      19.49551      0.00233      
0.69493   19.50000  0.30000      19.49551      0.00022      
0.69444   19.49000  0.30000      19.48109      0.00088      
0.69444   19.49000  0.30000      19.48109      0.00088      
0.69396   19.48000  0.30000      19.46669      0.00197      
0.69348   19.47000  0.30000      19.45231      0.00348      
0.69348   19.46000  0.30000      19.45231      0.00066      
0.69300   19.45000  0.30000      19.43796      0.00161      
0.69252   19.45000  0.30000      19.42362      0.00773      
