****************************************************************************************************
SERIE 15
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.35354
Indice Pearson = 0.99921 +/- 0.00121
Gradi di Liberta' = 1073
	t = 825.0393170236547
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.88057 +/- 0.02004
b = 27.64218 +/- 0.03669

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.38580   9.01000   0.00289      8.78385       6137.42019   
0.38790   9.02000   0.00289      8.84176       3812.30232   
0.38835   9.02000   0.00289      8.85425       3296.65152   
0.38865   9.04000   0.00289      8.86260       3776.61354   
0.38911   9.05000   0.00289      8.87514       3669.21493   
0.38986   9.06000   0.00289      8.89610       3223.42411   
0.39047   9.11000   0.00289      8.91294       4660.10259   
0.39062   9.13000   0.00289      8.91715       5436.49742   
0.39078   9.11000   0.00289      8.92137       4269.67146   
0.39108   9.12000   0.00289      8.92982       4340.17866   
0.39124   9.12000   0.00289      8.93405       4149.28173   
0.39139   9.11000   0.00289      8.93828       3538.41244   
0.39154   9.14000   0.00289      8.94252       4679.85316   
0.39185   9.11000   0.00289      8.95100       3033.68299   
0.39200   9.12000   0.00289      8.95525       3257.22685   
0.39216   9.16000   0.00289      8.95950       4824.20693   
0.39246   9.13000   0.00289      8.96801       3149.08509   
0.39277   9.16000   0.00289      8.97653       4039.47788   
0.39293   9.14000   0.00289      8.98079       3041.61957   
0.39308   9.13000   0.00289      8.98506       2520.82448   
0.39324   9.17000   0.00289      8.98934       3916.76841   
0.39339   9.16000   0.00289      8.99361       3322.21927   
0.39370   9.18000   0.00289      9.00217       3794.66025   
0.39417   9.17000   0.00289      9.01504       2881.41522   
0.39448   9.16000   0.00289      9.02364       2231.32669   
0.39463   9.20000   0.00289      9.02794       3552.47805   
0.39463   9.21000   0.00289      9.02794       3977.41744   
0.39463   9.17000   0.00289      9.02794       2421.65985   
0.39463   9.19000   0.00289      9.02794       3151.53865   
0.39463   9.18000   0.00289      9.02794       2774.59925   
0.39510   9.20000   0.00289      9.04087       3038.61382   
0.39557   9.24000   0.00289      9.05383       4159.00574   
0.39557   9.18000   0.00289      9.05383       1910.19207   
0.39557   9.21000   0.00289      9.05383       2926.59891   
0.39557   9.23000   0.00289      9.05383       3724.20346   
0.39573   9.18000   0.00289      9.05816       1781.41538   
0.39683   9.22000   0.00289      9.08854       2073.65674   
0.39777   9.23000   0.00289      9.11472       1594.62480   
0.39841   9.27000   0.00289      9.13225       2277.12458   
0.39888   9.26000   0.00289      9.14542       1575.29321   
0.39936   9.25000   0.00289      9.15864       1001.70742   
0.39968   9.28000   0.00289      9.16746       1519.84866   
0.40000   9.31000   0.00289      9.17630       2145.15521   
0.40016   9.30000   0.00289      9.18072       1707.26145   
0.40048   9.32000   0.00289      9.18958       2041.06472   
0.40080   9.35000   0.00289      9.19846       2755.87719   
0.40096   9.32000   0.00289      9.20290       1645.54322   
0.40128   9.36000   0.00289      9.21179       2635.82637   
0.40161   9.37000   0.00289      9.22070       2674.75656   
0.40177   9.36000   0.00289      9.22516       2181.72234   
0.40177   9.37000   0.00289      9.22516       2517.33117   
0.40177   9.37000   0.00289      9.22516       2517.33117   
0.40193   9.38000   0.00289      9.22963       2713.45516   
0.40225   9.41000   0.00289      9.23856       3526.79819   
0.40241   9.36000   0.00289      9.24304       1641.57305   
0.40274   9.39000   0.00289      9.25200       2285.30497   
0.40290   9.38000   0.00289      9.25648       1830.72738   
0.40306   9.39000   0.00289      9.26097       1997.74023   
0.40306   9.42000   0.00289      9.26097       3034.73096   
0.40355   9.38000   0.00289      9.27446       1336.59064   
0.40355   9.37000   0.00289      9.27446       1095.29960   
0.40355   9.39000   0.00289      9.27446       1601.88168   
0.40355   9.34000   0.00289      9.27446       515.42648    
0.40355   9.39000   0.00289      9.27446       1601.88168   
0.40371   9.38000   0.00289      9.27897       1224.95611   
0.40371   9.43000   0.00289      9.27897       2737.36995   
0.40404   9.38000   0.00289      9.28798       1016.04825   
