****************************************************************************************************
SERIE 55
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.31496
Indice Pearson = 0.99825 +/- 0.00189
Gradi di Liberta' = 978
	t = 527.6782958406413
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -2.91345 +/- 0.03342
b = 33.02089 +/- 0.06672

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.69156   19.98000  0.00289      19.92257      395.74212    
0.69156   19.94000  0.00289      19.92257      36.44370     
0.69156   19.92000  0.00289      19.92257      0.79449      
0.69156   19.94000  0.00289      19.92257      36.44370     
0.69109   19.93000  0.00289      19.90679      64.63643     
0.69109   19.93000  0.00289      19.90679      64.63643     
0.69109   19.93000  0.00289      19.90679      64.63643     
0.69061   19.91000  0.00289      19.89103      43.17597     
0.69013   19.91000  0.00289      19.87529      144.54470    
0.69013   19.91000  0.00289      19.87529      144.54470    
0.69013   19.88000  0.00289      19.87529      2.65810      
0.68966   19.88000  0.00289      19.85958      50.05112     
0.68918   19.85000  0.00289      19.84388      4.49094      
0.68871   19.84000  0.00289      19.82821      16.68234     
0.68823   19.83000  0.00289      19.81256      36.50754     
0.68729   19.80000  0.00289      19.78132      41.87611     
0.68681   19.80000  0.00289      19.76573      140.91338    
0.68634   19.78000  0.00289      19.75017      106.80391    
0.68587   19.76000  0.00289      19.73462      77.28352     
0.68540   19.76000  0.00289      19.71910      200.74450    
0.68493   19.74000  0.00289      19.70360      159.01696    
0.68446   19.72000  0.00289      19.68812      121.98321    
0.68399   19.73000  0.00289      19.67266      394.57762    
0.68353   19.69000  0.00289      19.65722      128.94797    
0.68306   19.69000  0.00289      19.64180      278.76225    
0.68213   19.68000  0.00289      19.61103      570.80435    
0.68213   19.66000  0.00289      19.61103      287.75385    
0.68213   19.67000  0.00289      19.61103      417.27910    
0.68166   19.64000  0.00289      19.59568      235.74305    
0.68166   19.64000  0.00289      19.59568      235.74305    
0.68120   19.64000  0.00289      19.58034      427.06289    
0.68120   19.61000  0.00289      19.58034      105.53854    
0.68074   19.61000  0.00289      19.56503      242.65968    
0.68027   19.60000  0.00289      19.54974      303.12766    
0.67981   19.58000  0.00289      19.53447      248.76488    
0.67981   19.58000  0.00289      19.53447      248.76488    
0.67981   19.57000  0.00289      19.53447      151.49131    
0.67981   19.57000  0.00289      19.53447      151.49131    
0.67935   19.57000  0.00289      19.51922      309.44035    
0.67889   19.55000  0.00289      19.50399      254.02867    
0.67889   19.55000  0.00289      19.50399      254.02867    
0.67843   19.53000  0.00289      19.48878      203.87496    
0.67843   19.52000  0.00289      19.48878      116.95076    
0.67797   19.53000  0.00289      19.47359      381.80146    
0.67797   19.50000  0.00289      19.47359      83.67558     
0.67751   19.50000  0.00289      19.45843      207.40517    
0.67705   19.49000  0.00289      19.44328      261.93754    
0.67659   19.46000  0.00289      19.42815      121.70718    
0.67659   19.46000  0.00289      19.42815      121.70718    
0.67613   19.45000  0.00289      19.41305      163.86120    
0.67568   19.44000  0.00289      19.39796      212.06603    
0.67568   19.44000  0.00289      19.39796      212.06603    
0.67522   19.41000  0.00289      19.38290      88.15118     
0.67476   19.40000  0.00289      19.36785      124.02041    
0.67476   19.40000  0.00289      19.36785      124.02041    
0.67431   19.37000  0.00289      19.35283      35.38789     
0.67385   19.38000  0.00289      19.33782      213.46648    
0.67340   19.35000  0.00289      19.32284      88.52561     
0.67249   19.32000  0.00289      19.29293      87.92422     
