****************************************************************************************************
SERIE 25
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.39990
Indice Pearson = 0.99946 +/- 0.00099
Gradi di Liberta' = 1103
	t = 1008.9966345498153
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.83926 +/- 0.01701
b = 28.66868 +/- 0.03078

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.75988   19.98000  0.00289      19.94545      143.20766    
0.75988   19.98000  0.00289      19.94545      143.20766    
0.75988   19.97000  0.00289      19.94545      72.29826     
0.75930   19.96000  0.00289      19.92891      115.96629    
0.75930   19.93000  0.00289      19.92891      0.14172      
0.75873   19.90000  0.00289      19.91240      18.44284     
0.75873   19.92000  0.00289      19.91240      6.93633      
0.75873   19.91000  0.00289      19.91240      0.68958      
0.75815   19.90000  0.00289      19.89591      2.01114      
0.75815   19.90000  0.00289      19.89591      2.01114      
0.75758   19.89000  0.00289      19.87944      13.38129     
0.75758   19.89000  0.00289      19.87944      13.38129     
0.75758   19.89000  0.00289      19.87944      13.38129     
0.75700   19.87000  0.00289      19.86300      5.88163      
0.75700   19.87000  0.00289      19.86300      5.88163      
0.75643   19.86000  0.00289      19.84658      21.60257     
0.75643   19.85000  0.00289      19.84658      1.40127      
0.75586   19.85000  0.00289      19.83019      47.08577     
0.75586   19.84000  0.00289      19.83019      11.54508     
0.75529   19.84000  0.00289      19.81382      82.21740     
0.75529   19.84000  0.00289      19.81382      82.21740     
0.75472   19.82000  0.00289      19.79748      60.84306     
0.75472   19.82000  0.00289      19.79748      60.84306     
0.75472   19.82000  0.00289      19.79748      60.84306     
0.75415   19.81000  0.00289      19.78117      99.77160     
0.75415   19.82000  0.00289      19.78117      180.97447    
0.75358   19.80000  0.00289      19.76487      148.07074    
0.75358   19.79000  0.00289      19.76487      75.76537     
0.75245   19.79000  0.00289      19.73236      398.67191    
0.75188   19.76000  0.00289      19.71614      230.82674    
0.75131   19.76000  0.00289      19.69995      432.76724    
