Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,33.785,0.244,0.599,68.201
0.020,33.615,0.211,0.599,67.997
0.040,32.959,0.176,0.599,67.791
0.060,31.805,0.137,0.599,67.593
0.080,30.187,0.105,0.599,67.417
0.100,28.172,0.065,0.599,67.274
0.120,25.699,0.037,0.599,67.173
0.140,22.857,-0.004,0.599,67.119
0.160,19.705,-0.024,0.599,67.122
0.180,16.254,-0.069,0.599,67.171
0.200,12.557,-0.079,0.599,67.277
0.220,8.701,-0.114,0.599,67.422
0.240,4.705,-0.118,0.599,67.612
0.260,0.650,-0.151,0.599,67.820
0.280,-3.434,-0.152,0.599,68.054
0.300,-7.459,-0.164,0.599,68.283
0.320,-11.350,-0.165,0.599,68.504
0.340,-15.070,-0.161,0.599,68.697
0.360,-18.598,-0.161,0.599,68.858
0.380,-21.861,-0.145,0.599,68.973
0.400,-24.756,-0.138,0.599,69.034
0.420,-27.293,-0.116,0.599,69.041
0.440,-29.455,-0.104,0.599,68.991
0.460,-31.166,-0.071,0.599,68.889
0.480,-32.414,-0.049,0.599,68.737
0.500,-33.170,-0.014,0.599,68.548
0.520,-33.416,0.011,0.599,68.330
0.540,-33.229,0.049,0.599,68.097
0.560,-32.549,0.078,0.599,67.860
0.580,-31.412,0.117,0.599,67.633
0.600,-29.736,0.153,0.599,67.429
0.620,-27.674,0.183,0.599,67.258
0.640,-25.178,0.223,0.599,67.129
0.660,-22.295,0.250,0.599,67.049
0.680,-19.107,0.290,0.599,67.020
0.700,-15.615,0.311,0.599,67.045
0.720,-11.912,0.344,0.599,67.120
0.740,-8.021,0.362,0.599,67.241
0.760,-3.990,0.386,0.599,67.396
0.780,0.082,0.402,0.599,67.583
0.800,4.154,0.416,0.599,67.784
0.820,8.145,0.418,0.599,67.990
0.840,12.035,0.423,0.599,68.182
0.860,15.768,0.422,0.599,68.351
0.880,19.254,0.418,0.599,68.488
0.900,22.465,0.408,0.599,68.580
0.920,25.383,0.393,0.599,68.624
0.940,27.855,0.372,0.599,68.613
0.960,29.971,0.348,0.599,68.548
0.980,31.617,0.328,0.599,68.429
1.000,32.824,0.298,0.599,68.267
1.020,33.551,0.268,0.599,68.069
1.040,33.797,0.238,0.599,67.845
1.060,33.545,0.200,0.599,67.609
1.080,32.807,0.164,0.599,67.372
1.100,31.588,0.128,0.599,67.148
1.120,29.912,0.093,0.599,66.950
1.140,27.838,0.055,0.599,66.788
1.160,25.295,0.025,0.599,66.671
1.180,22.412,-0.011,0.599,66.603
1.200,19.213,-0.038,0.599,66.593
1.220,15.727,-0.069,0.599,66.634
1.240,12.000,-0.093,0.599,66.731
1.260,8.121,-0.119,0.599,66.870
1.280,4.125,-0.133,0.599,67.054
1.300,0.070,-0.154,0.599,67.262
1.320,-4.008,-0.162,0.599,67.491
1.340,-8.010,-0.169,0.599,67.722
1.360,-11.889,-0.174,0.601,67.943
1.380,-15.604,-0.171,0.601,68.140
1.400,-19.078,-0.166,0.601,68.308
1.420,-22.289,-0.152,0.601,68.429
1.440,-25.137,-0.142,0.601,68.500
1.460,-27.633,-0.125,0.601,68.518
1.480,-29.730,-0.102,0.601,68.483
1.500,-31.359,-0.075,0.601,68.397
1.520,-32.555,-0.046,0.601,68.265
1.540,-33.211,-0.018,0.601,68.098
1.560,-33.422,0.013,0.601,67.907
1.580,-33.176,0.045,0.601,67.703
1.600,-32.420,0.083,0.601,67.500
1.620,-31.166,0.118,0.601,67.310
1.640,-29.455,0.157,0.601,67.146
1.660,-27.316,0.186,0.601,67.018
1.680,-24.762,0.228,0.601,66.935
1.700,-21.844,0.255,0.601,66.903
1.720,-18.586,0.290,0.601,66.925
1.740,-15.064,0.316,0.601,66.999
1.760,-11.344,0.346,0.601,67.126
1.780,-7.406,0.370,0.601,67.298
1.800,-3.393,0.385,0.601,67.508
1.820,0.686,0.403,0.601,67.741
1.840,4.752,0.412,0.601,67.988
1.860,8.719,0.425,0.601,68.236
1.880,12.604,0.423,0.601,68.472
1.900,16.307,0.420,0.601,68.683
1.920,19.758,0.413,0.601,68.854
1.940,22.922,0.402,0.601,68.980
1.960,25.770,0.389,0.601,69.053
1.980,28.201,0.372,0.601,69.068
2.000,30.246,0.346,0.601,69.028
2.020,31.828,0.322,0.601,68.934
2.040,32.959,0.292,0.601,68.794
2.060,33.627,0.265,0.601,68.617
2.080,33.785,0.229,0.601,68.414
2.100,33.463,0.200,0.601,68.197
2.120,32.648,0.162,0.601,67.980
2.140,31.365,0.125,0.601,67.776
2.160,29.613,0.093,0.601,67.596
2.180,27.486,0.058,0.601,67.452
2.200,24.879,0.024,0.601,67.351
2.220,21.949,-0.012,0.601,67.300
2.240,18.703,-0.039,0.601,67.301
2.260,15.146,-0.070,0.601,67.352
2.280,11.414,-0.091,0.601,67.455
2.300,7.512,-0.118,0.601,67.599
2.320,3.492,-0.131,0.601,67.779
2.340,-0.562,-0.151,0.601,67.979
2.360,-4.629,-0.156,0.601,68.193
2.380,-8.637,-0.166,0.601,68.404
2.400,-12.516,-0.165,0.601,68.602
2.420,-16.178,-0.164,0.601,68.769
2.440,-19.600,-0.159,0.601,68.902
2.460,-22.770,-0.147,0.601,68.985
2.480,-25.559,-0.137,0.601,69.016
2.500,-28.014,-0.112,0.601,68.992
2.520,-30.029,-0.090,0.601,68.914
2.540,-31.611,-0.067,0.601,68.783
2.560,-32.719,-0.040,0.601,68.606
2.580,-33.287,-0.010,0.601,68.396
2.600,-33.451,0.025,0.601,68.162
2.620,-33.100,0.055,0.601,67.916
2.640,-32.279,0.091,0.601,67.672
2.660,-30.979,0.125,0.601,67.443
2.680,-29.174,0.164,0.601,67.241
2.700,-26.971,0.197,0.601,67.077
2.720,-24.357,0.236,0.601,66.958
2.740,-21.381,0.265,0.600,66.889
2.760,-18.100,0.301,0.600,66.877
2.780,-14.543,0.322,0.600,66.916
2.800,-10.770,0.352,0.600,67.006
2.820,-6.832,0.373,0.600,67.136
2.840,-2.789,0.396,0.600,67.309
2.860,1.301,0.406,0.600,67.504
2.880,5.355,0.420,0.600,67.713
2.900,9.322,0.424,0.600,67.921
2.920,13.195,0.425,0.600,68.114
2.940,16.846,0.423,0.600,68.284
2.960,20.250,0.417,0.600,68.415
2.980,23.373,0.404,0.600,68.505
3.000,26.156,0.388,0.600,68.541
3.020,28.541,0.368,0.600,68.527
3.040,30.504,0.348,0.600,68.456
3.060,32.039,0.324,0.600,68.339
3.080,33.088,0.288,0.600,68.178
3.100,33.674,0.263,0.600,67.985
3.120,33.779,0.228,0.600,67.771
3.140,33.381,0.199,0.600,67.548
3.160,32.484,0.155,0.600,67.329
3.180,31.143,0.121,0.600,67.126
3.200,29.320,0.085,0.600,66.953
3.220,27.123,0.047,0.600,66.818
3.240,24.463,0.016,0.600,66.731
3.260,21.475,-0.017,0.600,66.697
3.280,18.193,-0.045,0.600,66.715
3.300,14.625,-0.076,0.600,66.789
3.320,10.846,-0.102,0.600,66.914
3.340,6.920,-0.120,0.600,67.085
3.360,2.889,-0.139,0.600,67.290
3.380,-1.178,-0.157,0.600,67.522
3.400,-5.221,-0.163,0.600,67.764
3.420,-9.205,-0.170,0.600,68.005
3.440,-13.049,-0.170,0.600,68.231
3.460,-16.670,-0.165,0.600,68.431
3.480,-20.086,-0.160,0.600,68.591
3.500,-23.186,-0.148,0.600,68.705
3.520,-25.922,-0.137,0.600,68.765
3.540,-28.312,-0.114,0.600,68.771
3.560,-30.264,-0.096,0.600,68.722
3.580,-31.775,-0.065,0.600,68.624
3.600,-32.807,-0.039,0.600,68.481
3.620,-33.311,-0.008,0.600,68.306
3.640,-33.398,0.026,0.600,68.107
3.660,-32.959,0.057,0.600,67.898
3.680,-32.092,0.092,0.600,67.694
