Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,-17.534,0.050,0.458,44.352
0.020,-13.948,0.066,0.458,44.353
0.040,-10.110,0.097,0.458,44.392
0.060,-6.132,0.114,0.458,44.473
0.080,-2.048,0.139,0.458,44.589
0.100,2.024,0.157,0.458,44.738
0.120,6.103,0.177,0.458,44.908
0.140,10.063,0.189,0.458,45.099
0.160,13.901,0.201,0.458,45.292
0.180,17.528,0.213,0.458,45.480
0.200,20.892,0.217,0.458,45.655
0.220,23.974,0.218,0.458,45.806
0.240,26.669,0.214,0.458,45.920
0.260,28.978,0.215,0.458,45.991
0.280,30.853,0.203,0.458,46.022
0.300,32.288,0.193,0.458,46.004
0.320,33.231,0.179,0.458,45.944
0.340,33.683,0.163,0.458,45.842
0.360,33.653,0.141,0.458,45.707
0.380,33.144,0.122,0.458,45.542
0.400,32.112,0.099,0.458,45.362
0.420,30.624,0.073,0.458,45.174
0.440,28.708,0.041,0.458,44.992
0.460,26.358,0.025,0.458,44.821
0.480,23.587,-0.008,0.458,44.674
0.500,20.487,-0.030,0.458,44.556
0.520,17.118,-0.066,0.458,44.473
0.540,13.421,-0.086,0.458,44.429
0.560,9.589,-0.111,0.458,44.426
0.580,5.599,-0.136,0.458,44.460
0.600,1.538,-0.159,0.458,44.530
0.620,-2.540,-0.178,0.458,44.631
0.640,-6.612,-0.192,0.458,44.758
0.660,-10.579,-0.207,0.458,44.894
0.680,-14.376,-0.215,0.458,45.039
0.700,-17.944,-0.225,0.458,45.173
0.720,-21.278,-0.226,0.458,45.297
0.740,-24.272,-0.226,0.458,45.388
0.760,-26.886,-0.223,0.458,45.451
0.780,-29.165,-0.217,0.458,45.473
0.800,-30.970,-0.207,0.458,45.455
0.820,-32.276,-0.198,0.458,45.390
0.840,-33.144,-0.182,0.458,45.290
0.860,-33.466,-0.167,0.458,45.151
0.880,-33.372,-0.144,0.458,44.984
0.900,-32.774,-0.123,0.458,44.795
0.920,-31.649,-0.103,0.458,44.595
0.940,-30.056,-0.072,0.458,44.393
0.960,-28.017,-0.050,0.458,44.199
0.980,-25.579,-0.020,0.458,44.025
1.000,-22.755,0.007,0.458,43.878
1.020,-19.544,0.032,0.458,43.764
1.040,-16.081,0.064,0.458,43.690
1.060,-12.366,0.088,0.458,43.658
1.080,-8.487,0.113,0.458,43.670
1.100,-4.450,0.129,0.458,43.723
1.120,-0.360,0.155,0.458,43.812
1.140,3.741,0.172,0.458,43.935
1.160,7.772,0.186,0.458,44.084
1.180,11.692,0.200,0.458,44.247
1.200,15.466,0.213,0.458,44.414
1.220,18.964,0.221,0.458,44.580
1.240,22.228,0.225,0.459,44.731
1.260,25.163,0.224,0.459,44.859
1.280,27.694,0.221,0.459,44.953
1.300,29.833,0.214,0.459,45.012
1.320,31.509,0.204,0.459,45.028
1.340,32.739,0.192,0.459,45.005
1.360,33.483,0.171,0.459,44.941
1.380,33.729,0.160,0.459,44.843
1.400,33.501,0.138,0.459,44.720
1.420,32.763,0.119,0.459,44.577
1.440,31.556,0.088,0.459,44.426
1.460,29.856,0.070,0.459,44.274
1.480,27.771,0.036,0.459,44.137
1.500,25.239,0.021,0.459,44.017
1.520,22.321,-0.013,0.459,43.926
1.540,19.110,-0.033,0.459,43.871
1.560,15.565,-0.075,0.459,43.853
1.580,11.845,-0.090,0.459,43.882
1.600,7.942,-0.126,0.459,43.949
1.620,3.905,-0.141,0.459,44.061
1.640,-0.155,-0.165,0.459,44.204
1.660,-4.251,-0.180,0.459,44.381
1.680,-8.271,-0.198,0.459,44.574
1.700,-12.161,-0.208,0.459,44.783
1.720,-15.876,-0.216,0.459,44.991
1.740,-19.374,-0.225,0.459,45.190
1.760,-22.567,-0.229,0.459,45.525
1.780,-25.392,-0.229,0.459,45.525
1.800,-27.853,-0.220,0.459,45.641
1.820,-29.933,-0.219,0.459,45.709
1.840,-31.556,-0.206,0.459,45.738
1.860,-32.675,-0.197,0.459,45.720
1.880,-33.278,-0.177,0.459,45.662
1.900,-33.431,-0.161,0.459,45.566
1.920,-33.132,-0.140,0.459,45.441
1.940,-32.323,-0.117,0.459,45.296
1.960,-30.999,-0.095,0.459,45.140
1.980,-29.229,-0.065,0.459,44.985
2.000,-26.997,-0.048,0.459,44.838
2.020,-24.407,-0.007,0.459,44.712
2.040,-21.407,0.008,0.459,44.612
2.060,-18.108,0.045,0.459,44.545
2.080,-14.546,0.060,0.459,44.517
2.100,-10.743,0.096,0.459,44.523
2.120,-6.782,0.111,0.459,44.574
2.140,-2.710,0.140,0.459,44.656
2.160,1.380,0.150,0.459,44.776
2.180,5.452,0.179,0.459,44.914
2.200,9.437,0.183,0.459,45.074
2.220,13.315,0.205,0.459,45.235
2.240,16.972,0.207,0.459,45.400
2.260,20.388,0.221,0.459,45.544
2.280,23.511,0.214,0.459,45.674
2.300,26.282,0.216,0.459,45.763
2.320,28.638,0.211,0.459,45.816
2.340,30.583,0.208,0.459,45.822
2.360,32.089,0.192,0.459,45.786
2.380,33.103,0.179,0.459,45.703
2.400,33.642,0.163,0.459,45.582
2.420,33.688,0.146,0.459,45.427
2.440,33.255,0.125,0.459,45.246
2.460,32.312,0.099,0.459,45.048
2.480,30.905,0.075,0.459,44.842
2.500,29.042,0.051,0.459,44.638
2.520,26.763,0.025,0.459,44.450
2.540,24.038,-0.001,0.459,44.283
2.560,20.997,-0.029,0.459,44.146
2.580,17.663,-0.054,0.459,44.045
2.600,14.030,-0.092,0.459,43.981
2.620,10.216,-0.105,0.459,43.964
2.640,6.261,-0.140,0.459,43.980
2.660,2.206,-0.148,0.459,44.040
2.680,-1.901,-0.177,0.459,44.126
2.700,-5.956,-0.192,0.459,44.244
2.720,-9.964,-0.205,0.459,44.377
2.740,-13.767,-0.226,0.459,44.517
2.760,-17.376,-0.219,0.459,44.665
2.780,-20.757,-0.238,0.462,44.790
2.800,-23.804,-0.219,0.462,44.903
2.820,-26.511,-0.240,0.464,44.971
2.840,-28.796,-0.215,0.464,45.022
2.860,-30.694,-0.224,0.464,45.018
2.880,-32.101,-0.194,0.464,44.985
2.900,-33.038,-0.197,0.464,44.790
2.920,-33.448,-0.162,0.464,44.790
2.940,-33.407,-0.157,0.464,44.639
2.960,-32.886,-0.124,0.464,44.294
2.980,-31.849,-0.112,0.464,44.294
3.000,-30.354,-0.081,0.464,44.115
3.020,-28.392,-0.057,0.464,43.940
3.040,-26.001,-0.029,0.464,43.786
3.060,-23.206,-0.002,0.464,43.657
3.080,-20.065,0.024,0.464,43.562
3.100,-16.649,0.051,0.464,43.506
3.120,-12.999,0.076,0.464,43.492
3.140,-9.103,0.102,0.464,43.520
3.160,-5.101,0.128,0.464,43.592
3.180,-1.005,0.146,0.464,43.704
3.200,3.079,0.171,0.464,43.848
3.220,7.128,0.178,0.464,44.021
3.240,11.077,0.204,0.464,44.206
3.260,14.868,0.204,0.464,44.404
3.280,18.442,0.225,0.465,44.594
3.300,21.712,0.216,0.465,44.778
3.320,24.729,0.233,0.472,44.928
