Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,29.235,0.053,0.203,18.820
0.020,26.956,0.048,0.203,18.909
0.040,24.231,0.042,0.203,19.004
0.060,21.132,0.020,0.203,19.096
0.080,17.728,0.006,0.203,19.194
0.100,14.030,0.002,0.203,19.283
0.120,10.151,-0.002,0.203,19.357
0.140,6.097,-0.016,0.203,19.415
0.160,1.960,-0.037,0.203,19.456
0.180,-2.224,-0.049,0.203,19.477
0.200,-6.360,-0.057,0.203,19.481
0.220,-10.397,-0.065,0.203,19.464
0.240,-14.265,-0.072,0.203,19.436
0.260,-17.909,-0.083,0.203,19.389
0.280,-21.325,-0.084,0.203,19.338
0.300,-24.343,-0.095,0.203,19.302
0.320,-27.009,-0.101,0.203,19.258
0.340,-29.271,-0.103,0.203,19.223
0.360,-31.058,-0.103,0.203,19.193
0.380,-32.376,-0.103,0.203,19.178
0.400,-33.149,-0.097,0.203,19.182
0.420,-33.431,-0.097,0.203,19.208
0.440,-33.214,-0.091,0.203,19.237
0.460,-32.493,-0.090,0.203,19.282
0.480,-31.274,-0.081,0.203,19.347
0.500,-29.522,-0.070,0.203,19.427
0.520,-27.343,-0.069,0.203,19.523
0.540,-24.729,-0.050,0.203,19.620
0.560,-21.724,-0.048,0.203,19.721
0.580,-18.384,-0.033,0.203,19.803
0.600,-14.757,-0.024,0.203,19.878
0.620,-10.901,-0.007,0.203,19.941
0.640,-6.864,-0.001,0.203,19.989
0.660,-2.704,0.010,0.203,20.016
0.680,1.462,0.036,0.203,20.022
0.700,5.628,0.042,0.203,20.004
0.720,9.665,0.045,0.203,19.961
0.740,13.608,0.052,0.203,19.904
0.760,17.329,0.051,0.203,19.837
0.780,20.774,0.070,0.203,19.784
0.800,23.927,0.068,0.203,19.701
0.820,26.675,0.072,0.203,19.629
0.840,29.013,0.083,0.203,19.570
0.860,30.917,0.075,0.202,19.495
0.880,32.347,0.080,0.202,19.448
0.900,33.278,0.090,0.202,19.415
0.920,33.694,0.084,0.202,19.382
0.940,33.618,0.080,0.202,19.364
0.960,33.003,0.073,0.202,19.375
0.980,31.901,0.063,0.202,19.395
1.000,30.278,0.054,0.202,19.437
1.020,28.251,0.044,0.202,19.486
1.040,25.749,0.041,0.202,19.545
1.060,22.849,0.026,0.202,19.602
1.080,19.608,0.009,0.202,19.654
1.100,16.075,-0.005,0.202,19.706
1.120,12.267,0.003,0.202,19.744
1.140,8.306,-0.014,0.202,19.763
1.160,4.216,-0.037,0.202,19.767
1.180,0.056,-0.047,0.202,19.750
1.200,-4.110,-0.063,0.202,19.714
1.220,-8.229,-0.066,0.202,19.656
1.240,-12.196,-0.073,0.202,19.581
1.260,-15.981,-0.083,0.202,19.490
1.280,-19.526,-0.089,0.202,19.397
1.300,-22.737,-0.095,0.202,19.302
1.320,-25.608,-0.103,0.202,19.214
1.340,-28.093,-0.103,0.202,19.114
1.360,-30.167,-0.107,0.202,19.040
1.380,-31.737,-0.105,0.202,18.971
1.400,-32.786,-0.107,0.202,18.922
1.420,-33.331,-0.101,0.202,18.890
1.440,-33.407,-0.100,0.202,18.875
1.460,-32.968,-0.093,0.202,18.862
1.480,-32.001,-0.086,0.202,18.877
1.500,-30.519,-0.081,0.202,18.912
1.520,-28.585,-0.070,0.202,18.959
1.540,-26.177,-0.061,0.202,19.027
1.560,-23.417,-0.048,0.202,19.093
1.580,-20.218,-0.044,0.202,19.164
1.600,-16.731,-0.028,0.202,19.216
1.620,-13.011,-0.023,0.202,19.265
1.640,-9.056,-0.004,0.202,19.303
1.660,-4.972,-0.001,0.202,19.325
1.680,-0.812,0.022,0.202,19.330
1.700,3.378,0.034,0.202,19.313
1.720,7.491,0.043,0.202,19.276
1.740,11.505,0.050,0.202,19.220
