--- Pendolo di torsione ---
Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,-28.849,-0.043,0.154,15.113
0.020,-26.487,-0.042,0.154,15.158
0.040,-23.698,-0.031,0.154,15.182
0.060,-20.517,-0.030,0.154,15.230
0.080,-17.030,-0.020,0.154,15.267
0.100,-13.286,-0.024,0.154,15.309
0.120,-9.290,-0.008,0.154,15.338
0.140,-5.159,-0.000,0.154,15.363
0.160,-0.940,0.017,0.154,15.372
0.180,3.267,0.027,0.154,15.367
0.200,7.433,0.038,0.154,15.341
0.220,11.487,0.032,0.154,15.309
0.240,15.384,0.049,0.154,15.269
0.260,19.005,0.040,0.154,15.209
0.280,22.339,0.050,0.154,15.137
0.300,25.351,0.060,0.154,15.092
0.320,27.911,0.047,0.154,15.011
0.340,30.056,0.069,0.154,14.984
0.360,31.726,0.066,0.154,14.885
0.380,32.915,0.075,0.154,14.844
0.400,33.571,0.068,0.154,14.790
0.420,33.706,0.069,0.154,14.792
0.440,33.331,0.067,0.154,14.774
0.460,32.417,0.064,0.154,14.773
0.480,31.005,0.055,0.154,14.786
0.500,29.106,0.051,0.154,14.835
0.520,26.774,0.044,0.154,14.887
0.540,23.979,0.026,0.154,14.944
0.560,20.839,0.026,0.154,15.031
0.580,17.370,0.017,0.154,15.094
0.600,13.603,0.005,0.154,15.157
0.620,9.647,-0.012,0.154,15.212
0.640,5.552,-0.006,0.154,15.260
0.660,1.356,-0.012,0.154,15.289
0.680,-2.868,-0.023,0.154,15.304
0.700,-7.028,-0.045,0.154,15.309
0.720,-11.101,-0.036,0.154,15.288
0.740,-14.979,-0.050,0.154,15.263
0.760,-18.612,-0.052,0.154,15.211
0.780,-21.993,-0.070,0.154,15.164
0.800,-24.981,-0.075,0.154,15.100
0.820,-27.577,-0.070,0.154,15.030
0.840,-29.745,-0.061,0.154,14.995
0.860,-31.438,-0.067,0.154,14.975
0.880,-32.628,-0.063,0.154,14.957
0.900,-33.290,-0.066,0.154,14.973
0.920,-33.448,-0.065,0.154,15.000
0.940,-33.103,-0.059,0.154,15.000
0.960,-32.218,-0.055,0.154,15.023
0.980,-30.812,-0.052,0.154,15.065
1.000,-28.901,-0.045,0.154,15.121
1.020,-26.563,-0.041,0.154,15.188
1.040,-23.780,-0.030,0.154,15.262
1.060,-20.604,-0.027,0.154,15.344
1.080,-17.118,-0.014,0.154,15.423
1.100,-13.380,-0.024,0.154,15.504
1.120,-9.413,-0.007,0.154,15.574
1.140,-5.282,-0.005,0.154,15.630
1.160,-1.069,0.011,0.154,15.677
1.180,3.144,0.026,0.154,15.710
1.200,7.315,0.033,0.154,15.722
1.220,11.358,0.026,0.154,15.727
1.240,15.267,0.046,0.154,15.733
1.260,18.888,0.034,0.154,15.704
1.280,22.239,0.049,0.154,15.685
1.300,25.257,0.057,0.154,15.671
1.320,27.847,0.053,0.154,15.626
