d              sd             indice         v              sv             eta            s eta          

0.0015         1e-05          0              0.00555642     1.24873e-06    1.45826        0.013422       
0.0015         1e-05          1              0.00558563     1.25529e-06    1.45063        0.013422       
0.0015         1e-05          2              0.00560036     1.2586e-06     1.44681        0.013422       
0.0015         1e-05          3              0.00561347     1.26154e-06    1.44344        0.013422       


0.002          1e-05          4              0.00982007     2.21242e-06    1.46687        0.0101179      
0.002          1e-05          5              0.00988559     2.22171e-06    1.45715        0.0101179      
0.002          1e-05          6              0.00994681     2.23546e-06    1.44818        0.0101179      
0.002          1e-05          7              0.00995342     2.23695e-06    1.44722        0.0101179      


0.00318        1e-05          8              0.0244632      5.49849e-06    1.48864        0.00647518     
0.00318        1e-05          9              0.0245196      5.51111e-06    1.48521        0.00647518     
0.00318        1e-05          10             0.0248272      5.57998e-06    1.46681        0.00647518     
0.00318        1e-05          11             0.0250385      5.62723e-06    1.45443        0.00647518     


0.00476        1e-05          12             0.0537925      1.73656e-05    1.51684        0.00448111     
0.00476        1e-05          13             0.0561533      1.81241e-05    1.45307        0.00448111     
0.00476        1e-05          14             0.05766        1.86097e-05    1.4151         0.00448111     
0.00476        1e-05          15             0.0575018      1.85617e-05    1.41899        0.00448111     


0.00635        1e-05          16             0.0957018      3.08952e-05    1.51731        0.00351373     
0.00635        1e-05          17             0.0974483      3.14526e-05    1.49012        0.00351372     
0.00635        1e-05          18             0.097298       3.14054e-05    1.49242        0.00351372     
0.00635        1e-05          19             0.0985939      3.1833e-05     1.4728         0.00351373     


