****************************************************************************************************
SERIE 15
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.35337
Indice Pearson = 0.99983 +/- 0.00053
Gradi di Liberta' = 1225
	t = 1885.1822423447982
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.21484 +/- 0.00782
b = 27.08622 +/- 0.01499

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.78003   19.98000  0.00289      19.91326      534.52968    
0.77942   19.97000  0.00289      19.89679      643.14913    
0.77821   19.95000  0.00289      19.86393      888.91771    
0.77821   19.93000  0.00289      19.86393      523.79279    
0.77760   19.93000  0.00289      19.84754      815.93145    
0.77700   19.91000  0.00289      19.83118      745.58929    
0.77640   19.90000  0.00289      19.81484      870.35305    
0.77580   19.89000  0.00289      19.79852      1004.20728   
0.77580   19.88000  0.00289      19.79852      796.65786    
0.77580   19.88000  0.00289      19.79852      796.65786    
0.77580   19.88000  0.00289      19.79852      796.65786    
0.77519   19.87000  0.00289      19.78223      924.39404    
0.77519   19.86000  0.00289      19.78223      725.74999    
0.77459   19.85000  0.00289      19.76597      847.37618    
0.77399   19.84000  0.00289      19.74973      977.87446    
0.77399   19.84000  0.00289      19.74973      977.87446    
0.77399   19.82000  0.00289      19.74973      592.57099    
0.77340   19.82000  0.00289      19.73351      897.56799    
0.77340   19.82000  0.00289      19.73351      897.56799    
0.77340   19.80000  0.00289      19.73351      530.43783    
0.77280   19.80000  0.00289      19.71733      820.20451    
0.77280   19.79000  0.00289      19.71733      633.78623    
0.77220   19.78000  0.00289      19.70116      745.85389    
0.77220   19.78000  0.00289      19.70116      745.85389    
0.77220   19.77000  0.00289      19.70116      568.64240    
0.77101   19.76000  0.00289      19.66891      995.70866    
0.77042   19.74000  0.00289      19.65282      912.04613    
0.76923   19.71000  0.00289      19.62072      956.60176    
0.76805   19.68000  0.00289      19.58871      1000.05781   
0.76746   19.66000  0.00289      19.57274      913.62512    
0.76687   19.63000  0.00289      19.55680      642.93635    
0.76628   19.62000  0.00289      19.54089      751.08263    
0.76570   19.60000  0.00289      19.52499      675.11830    
0.76511   19.58000  0.00289      19.50913      602.78922    
0.76453   19.57000  0.00289      19.49328      706.29387    
0.76453   19.56000  0.00289      19.49328      534.16863    
0.76453   19.56000  0.00289      19.49328      534.16863    
0.76394   19.56000  0.00289      19.47746      817.51551    
0.76394   19.55000  0.00289      19.47746      631.42274    
0.76336   19.52000  0.00289      19.46167      408.34688    
0.76161   19.48000  0.00289      19.41442      516.03933    
0.76046   19.45000  0.00289      19.38305      537.91143    
0.75988   19.44000  0.00289      19.36740      632.56221    
0.75930   19.42000  0.00289      19.35177      558.67589    
0.75815   19.42000  0.00289      19.32058      1186.05700   
0.75815   19.40000  0.00289      19.32058      756.85374    
0.75758   19.39000  0.00289      19.30503      866.47949    
0.75700   19.37000  0.00289      19.28949      777.78581    
0.75643   19.37000  0.00289      19.27398      1106.33816   
0.75643   19.36000  0.00289      19.27398      887.89460    
0.75586   19.35000  0.00289      19.25850      1004.77505   
0.75529   19.33000  0.00289      19.24303      907.61251    
0.75472   19.32000  0.00289      19.22759      1024.70702   
0.75472   19.31000  0.00289      19.22759      814.92800    
0.75415   19.29000  0.00289      19.21218      726.79912    
0.75301   19.27000  0.00289      19.18141      941.74253    
0.75188   19.24000  0.00289      19.15074      956.06391    
0.75131   19.22000  0.00289      19.13544      858.04987    
0.75019   19.18000  0.00289      19.10491      676.67828    
0.74906   19.15000  0.00289      19.07447      684.65973    
0.74794   19.12000  0.00289      19.04411      691.02829    
0.74738   19.11000  0.00289      19.02897      787.83440    
0.74683   19.09000  0.00289      19.01385      695.76845    
0.74683   19.09000  0.00289      19.01385      695.76845    
0.74683   19.08000  0.00289      19.01385      525.02030    
0.74683   19.08000  0.00289      19.01385      525.02030    
0.74683   19.08000  0.00289      19.01385      525.02030    
