****************************************************************************************************
SERIE 35
****************************************************************************************************

Test ipotesi linearità_____________________________________
Covarianza = 0.34685
Indice Pearson = 0.99991 +/- 0.00055
Gradi di Liberta' = 598
	t = 1831.8005445527906
	p-value (due code) = 0.0

Parametri___________________________________________________
y = a + bx
a = -1.31824 +/- 0.00877
b = 28.79260 +/- 0.01666

Test bontà fit _____________________________________________
x         y         sy           y*            Chi-quadro   
0.35740   9.01000   0.00289      8.97218       171.62844    
0.35791   9.02000   0.00289      8.98691       131.36441    
0.35842   9.04000   0.00289      9.00169       176.13610    
0.35894   9.05000   0.00289      9.01650       134.63020    
0.35958   9.08000   0.00289      9.03509       242.07276    
0.36023   9.10000   0.00289      9.05373       256.86669    
0.36088   9.11000   0.00289      9.07245       169.20861    
0.36166   9.13000   0.00289      9.09500       147.02784    
0.36245   9.16000   0.00289      9.11764       215.30034    
0.36298   9.18000   0.00289      9.13279       267.40562    
0.36350   9.20000   0.00289      9.14799       324.60160    
0.36403   9.21000   0.00289      9.16323       262.48643    
0.36456   9.23000   0.00289      9.17852       318.08249    
0.36483   9.27000   0.00289      9.18617       843.21090    
0.36536   9.27000   0.00289      9.20153       562.64324    
0.36590   9.31000   0.00289      9.21692       1039.60782   
0.36657   9.32000   0.00289      9.23623       842.05061    
0.36697   9.33000   0.00289      9.24785       809.80435    
0.36711   9.34000   0.00289      9.25173       934.98209    
0.36751   9.34000   0.00289      9.26338       704.39772    
0.36887   9.38000   0.00289      9.30242       722.30616    
0.37051   9.41000   0.00289      9.34964       437.24609    
0.37175   9.42000   0.00289      9.38533       144.25297    
0.37272   9.45000   0.00289      9.41325       162.02877    
0.37369   9.46000   0.00289      9.44133       41.84479     
0.37439   9.48000   0.00289      9.46147       41.21322     
0.37509   9.51000   0.00289      9.48168       96.21022     
0.37594   9.51000   0.00289      9.50605       1.87656      
0.37679   9.53000   0.00289      9.53052       0.03200      
0.37764   9.56000   0.00289      9.55510       2.88336      
0.37821   9.57000   0.00289      9.57155       0.28755      
0.37908   9.61000   0.00289      9.59632       22.46931     
0.37965   9.63000   0.00289      9.61289       35.12551     
0.38008   9.64000   0.00289      9.62536       25.73576     
0.38052   9.67000   0.00289      9.63785       124.04954    
0.38110   9.68000   0.00289      9.65455       77.72778     
0.38153   9.71000   0.00289      9.66711       220.75758    
0.38197   9.75000   0.00289      9.67970       593.09883    
0.38256   9.75000   0.00289      9.69653       343.13063    
0.38314   9.79000   0.00289      9.71341       703.97289    
0.38373   9.80000   0.00289      9.73034       582.30194    
0.38402   9.81000   0.00289      9.73883       607.89118    
0.38432   9.82000   0.00289      9.74732       633.80310    
0.38476   9.83000   0.00289      9.76010       586.36115    
0.38565   9.84000   0.00289      9.78573       353.40152    
0.38610   9.86000   0.00289      9.79859       452.48696    
0.38655   9.86000   0.00289      9.81149       282.44058    
0.38730   9.88000   0.00289      9.83304       264.65294    
0.38790   9.89000   0.00289      9.85034       188.74900    
0.38850   9.90000   0.00289      9.86770       125.22517    
0.38911   9.92000   0.00289      9.88511       146.11011    
0.38956   9.92000   0.00289      9.89820       57.03288     
0.39017   9.93000   0.00289      9.91570       24.52373     
0.39047   9.95000   0.00289      9.92448       78.16785     
0.39093   9.95000   0.00289      9.93766       18.26464     
0.39154   9.96000   0.00289      9.95529       2.66038      
0.39200   9.98000   0.00289      9.96855       15.73425     
0.39246   9.98000   0.00289      9.98184       0.40552      
0.39277   9.99000   0.00289      9.99072       0.06135      
0.39293   10.02000  0.00289      9.99516       74.05131     
0.39324   10.03000  0.00289      10.00406      80.76909     
0.39401   10.05000  0.00289      10.02636      67.05148     
0.39479   10.04000  0.00289      10.04876      9.19896      
0.39541   10.08000  0.00289      10.06673      21.11811     
0.39604   10.11000  0.00289      10.08477      76.38818     
0.39683   10.14000  0.00289      10.10739      127.57253    
0.39761   10.16000  0.00289      10.13011      107.21162    
0.39825   10.18000  0.00289      10.14835      120.23090    
0.39872   10.19000  0.00289      10.16206      93.65828     
0.39904   10.23000  0.00289      10.17123      414.53895    
0.39936   10.23000  0.00289      10.18040      295.19576    
0.39984   10.25000  0.00289      10.19419      373.70614    
0.40048   10.27000  0.00289      10.21264      394.86373    
0.40112   10.27000  0.00289      10.23114      181.23008    
0.40177   10.30000  0.00289      10.24970      303.62615    
0.40241   10.32000  0.00289      10.26832      320.50919    
0.40290   10.33000  0.00289      10.28232      272.76174    
0.40339   10.34000  0.00289      10.29636      228.50820    
0.40420   10.35000  0.00289      10.31984      109.18557    
0.40486   10.36000  0.00289      10.33868      54.53038     
0.40552   10.39000  0.00289      10.35759      126.04039    
0.40634   10.40000  0.00289      10.38131      41.90526     
0.40700   10.41000  0.00289      10.40036      11.15221     
0.40766   10.43000  0.00289      10.41947      13.30893     
0.40850   10.44000  0.00289      10.44344      1.42235      
0.40917   10.47000  0.00289      10.46269      6.40761      
0.41000   10.48000  0.00289      10.48684      5.62059      
0.41068   10.50000  0.00289      10.50624      4.66680      
0.41118   10.50000  0.00289      10.52082      52.02817     
0.41152   10.49000  0.00289      10.53057      197.47576    
0.41220   10.54000  0.00289      10.55010      12.24786     
0.41271   10.57000  0.00289      10.56480      3.24810      
0.41339   10.59000  0.00289      10.58445      3.70049      
0.41408   10.62000  0.00289      10.60416      30.10315     
0.41477   10.63000  0.00289      10.62394      4.40470      
0.41563   10.67000  0.00289      10.64876      54.14178     
0.41667   10.71000  0.00289      10.67868      117.73967    
0.41754   10.72000  0.00289      10.70372      31.79594     
0.41841   10.75000  0.00289      10.72887      53.56319     
0.41911   10.78000  0.00289      10.74907      114.80646    
0.41982   10.79000  0.00289      10.76933      51.25367     
0.42052   10.81000  0.00289      10.78967      49.61854     
0.42123   10.81000  0.00289      10.81007      0.00053      
0.42176   10.83000  0.00289      10.82541      2.52568      
0.42265   10.84000  0.00289      10.85108      14.71893     
