Tempo,Forzante,Pendolo,Ampiezza,Fase
0.000,4.195,0.012,0.464,44.012
0.020,0.117,-0.013,0.464,44.116
0.040,-3.984,-0.029,0.464,44.248
0.060,-8.016,-0.045,0.464,44.400
0.080,-11.936,-0.057,0.464,44.560
0.100,-15.645,-0.067,0.464,44.721
0.120,-19.137,-0.077,0.464,44.869
0.140,-22.365,-0.076,0.464,45.105
0.160,-25.219,-0.081,0.464,45.105
0.180,-27.709,-0.074,0.464,45.174
0.200,-29.807,-0.071,0.464,45.195
0.220,-31.441,-0.056,0.464,45.109
0.240,-32.613,-0.043,0.464,45.109
0.260,-33.252,-0.029,0.464,45.003
0.280,-33.434,-0.013,0.464,44.861
0.300,-33.146,0.011,0.464,44.690
0.320,-32.350,0.031,0.464,44.499
0.340,-31.084,0.055,0.464,44.298
0.360,-29.314,0.082,0.464,44.099
0.380,-27.135,0.105,0.464,43.909
0.400,-24.539,0.135,0.464,43.740
0.420,-21.574,0.159,0.464,43.598
0.440,-18.270,0.191,0.464,43.490
0.460,-14.748,0.212,0.464,43.422
0.480,-10.928,0.239,0.464,43.393
0.500,-6.973,0.262,0.463,43.406
0.520,-2.906,0.284,0.463,43.453
0.540,1.189,0.311,0.463,43.539
0.560,5.268,0.323,0.463,43.652
0.580,9.264,0.343,0.463,43.785
0.600,13.125,0.352,0.463,43.929
0.620,16.822,0.359,0.463,44.074
0.640,20.232,0.365,0.463,44.209
0.660,23.373,0.369,0.463,44.325
0.680,26.186,0.369,0.463,44.415
0.700,28.564,0.363,0.463,44.469
0.720,30.527,0.356,0.463,44.484
0.740,32.068,0.349,0.463,44.464
0.760,33.117,0.332,0.463,44.400
0.780,33.686,0.317,0.463,44.302
0.800,33.750,0.299,0.463,44.168
0.820,33.363,0.274,0.463,44.012
0.840,32.432,0.257,0.463,43.839
0.860,31.049,0.228,0.463,43.662
0.880,29.209,0.205,0.463,43.489
0.900,26.959,0.176,0.463,43.331
0.920,24.270,0.146,0.463,43.195
0.940,21.252,0.125,0.463,43.092
0.960,17.900,0.094,0.463,43.024
0.980,14.303,0.069,0.463,42.998
1.000,10.506,0.040,0.463,43.015
1.020,6.551,0.021,0.462,43.074
1.040,2.490,-0.003,0.462,43.172
1.060,-1.600,-0.021,0.462,43.304
1.080,-5.666,-0.036,0.462,43.465
1.100,-9.662,-0.054,0.462,43.645
1.120,-13.506,-0.066,0.462,43.837
1.140,-17.121,-0.072,0.462,44.028
1.160,-20.508,-0.082,0.462,44.207
1.180,-23.566,-0.080,0.462,44.369
1.200,-26.279,-0.080,0.462,44.500
1.220,-28.611,-0.074,0.462,44.594
1.240,-30.527,-0.067,0.462,44.649
1.260,-31.934,-0.058,0.462,44.661
1.280,-32.900,-0.040,0.462,44.631
1.300,-33.328,-0.029,0.462,44.564
1.320,-33.352,-0.007,0.462,44.465
1.340,-32.836,0.012,0.462,44.341
1.360,-31.857,0.036,0.462,44.201
1.380,-30.363,0.058,0.462,44.055
1.400,-28.418,0.084,0.462,43.915
1.420,-26.057,0.111,0.462,43.788
1.440,-23.314,0.141,0.462,43.685
1.460,-20.180,0.165,0.462,43.612
1.480,-16.775,0.198,0.462,43.574
1.500,-13.143,0.216,0.462,43.577
1.520,-9.270,0.248,0.462,43.619
1.540,-5.262,0.265,0.462,43.701
1.560,-1.172,0.290,0.462,43.815
1.580,2.900,0.310,0.462,43.964
1.600,6.967,0.327,0.462,44.134
1.620,10.910,0.343,0.462,44.320
1.640,14.713,0.353,0.462,44.509
1.660,18.293,0.361,0.462,44.697
1.680,21.586,0.366,0.462,44.866
1.700,24.615,0.365,0.462,45.012
1.720,27.223,0.367,0.462,45.121
1.740,29.449,0.359,0.462,45.191
1.760,31.230,0.353,0.462,45.217
1.780,32.566,0.340,0.462,45.200
1.800,33.422,0.325,0.462,45.135
1.820,33.768,0.311,0.462,45.034
1.840,33.645,0.286,0.462,44.897
1.860,33.029,0.268,0.462,44.739
1.880,31.910,0.241,0.462,44.564
1.900,30.322,0.218,0.462,44.384
1.920,28.312,0.190,0.462,44.211
1.940,25.875,0.166,0.462,44.052
1.960,23.045,0.136,0.462,43.918
1.980,19.881,0.116,0.462,43.814
2.000,16.430,0.077,0.462,43.745
2.020,12.721,0.060,0.462,43.716
2.040,8.842,0.029,0.462,43.726
2.060,4.834,0.016,0.461,43.776
2.080,0.762,-0.012,0.461,43.858
2.100,-3.322,-0.026,0.461,43.970
2.120,-7.383,-0.046,0.461,44.103
2.140,-11.297,-0.058,0.461,44.249
2.160,-15.070,-0.066,0.461,44.400
2.180,-18.598,-0.075,0.461,44.541
2.200,-21.879,-0.075,0.461,44.670
2.220,-24.797,-0.081,0.461,44.766
2.240,-27.340,-0.074,0.461,44.833
2.260,-29.508,-0.070,0.461,44.858
2.280,-31.219,-0.058,0.461,44.843
2.300,-32.467,-0.050,0.461,44.782
2.320,-33.199,-0.029,0.461,44.682
2.340,-33.404,-0.017,0.461,44.546
2.360,-33.246,0.011,0.461,44.381
2.380,-32.537,0.021,0.461,44.196
2.400,-31.342,0.052,0.461,44.003
2.420,-29.625,0.074,0.461,43.810
2.440,-27.510,0.101,0.461,43.625
2.460,-24.984,0.128,0.461,43.461
2.480,-22.055,0.154,0.461,43.324
2.500,-18.832,0.182,0.461,43.221
2.520,-15.316,0.210,0.461,43.157
2.540,-11.549,0.236,0.461,43.133
2.560,-7.623,0.260,0.458,43.153
2.580,-3.557,0.282,0.457,43.211
2.600,0.521,0.302,0.457,43.307
2.620,4.617,0.324,0.457,43.431
2.640,8.625,0.336,0.457,43.580
2.660,12.521,0.350,0.457,43.739
2.680,16.248,0.359,0.457,43.903
2.700,19.717,0.371,0.457,44.063
2.720,22.904,0.369,0.457,44.207
2.740,25.758,0.370,0.457,44.325
2.760,28.213,0.364,0.457,44.409
2.780,30.246,0.356,0.457,44.455
2.800,31.846,0.349,0.457,44.456
2.820,32.977,0.340,0.457,44.418
2.840,33.627,0.319,0.457,44.345
2.860,33.762,0.303,0.457,44.237
2.880,33.445,0.280,0.457,44.102
2.900,32.602,0.264,0.457,43.950
2.920,31.283,0.236,0.457,43.792
2.940,29.537,0.210,0.457,43.635
2.960,27.346,0.182,0.457,43.490
2.980,24.738,0.156,0.457,43.367
3.000,21.738,0.129,0.457,43.272
3.020,18.475,0.102,0.457,43.214
3.040,14.889,0.076,0.457,43.194
3.060,11.104,0.053,0.457,43.216
3.080,7.184,0.025,0.457,43.278
3.100,3.129,0.008,0.457,43.379
3.120,-0.932,-0.015,0.457,43.517
3.140,-5.027,-0.029,0.457,43.680
3.160,-9.053,-0.046,0.457,43.864
3.180,-12.891,-0.058,0.457,44.057
3.200,-16.559,-0.068,0.457,44.248
3.220,-19.980,-0.075,0.457,44.430
3.240,-23.133,-0.074,0.457,44.591
3.260,-25.893,-0.074,0.457,44.722
3.280,-28.283,-0.074,0.457,44.815
3.300,-30.252,-0.067,0.457,44.870
3.320,-31.746,-0.054,0.457,44.883
3.340,-32.801,-0.043,0.457,44.848
3.360,-33.311,-0.027,0.457,44.775
3.380,-33.381,-0.011,0.457,44.668
3.400,-32.953,0.013,0.457,44.532
3.420,-32.021,0.033,0.457,44.379
3.440,-30.656,0.058,0.457,44.217
3.460,-28.752,0.085,0.457,44.057
3.480,-26.467,0.107,0.457,43.909
3.500,-23.789,0.135,0.457,43.781
3.520,-20.701,0.161,0.457,43.682
3.540,-17.361,0.194,0.457,43.616
3.560,-13.746,0.214,0.457,43.589
3.580,-9.896,0.239,0.457,43.601
3.600,-5.930,0.262,0.457,43.649
3.620,-1.852,0.286,0.457,43.734
3.640,2.268,0.305,0.457,43.850
3.660,6.334,0.325,0.457,43.987
3.680,10.271,0.336,0.457,44.144
3.700,14.133,0.352,0.457,44.305
3.720,17.730,0.355,0.457,44.463
3.740,21.100,0.364,0.457,44.606
3.760,24.164,0.361,0.457,44.725
3.780,26.842,0.363,0.457,44.810
3.800,29.127,0.358,0.457,44.857
3.820,30.961,0.352,0.457,44.862
3.840,32.385,0.340,0.457,44.825
3.860,33.311,0.327,0.457,44.742
3.880,33.744,0.310,0.457,44.623
3.900,33.697,0.292,0.457,44.471
3.920,33.152,0.269,0.457,44.294
3.940,32.115,0.246,0.457,44.101
3.960,30.604,0.219,0.457,43.905
3.980,28.641,0.193,0.457,43.712
4.000,26.303,0.170,0.457,43.534
4.020,23.508,0.138,0.457,43.379
4.040,20.408,0.118,0.457,43.255
4.060,17.010,0.081,0.457,43.168
4.080,13.330,0.062,0.457,43.120
4.100,9.469,0.034,0.457,43.113
4.120,5.479,0.014,0.454,43.146
4.140,1.436,-0.006,0.454,43.215
4.160,-2.666,-0.025,0.454,43.316
4.180,-6.703,-0.042,0.454,43.441
4.200,-10.676,-0.056,0.454,43.584
4.220,-14.473,-0.063,0.454,43.734
4.240,-18.047,-0.075,0.454,43.878
4.260,-21.334,-0.076,0.454,44.012
4.280,-24.322,-0.080,0.454,44.119
4.300,-26.947,-0.075,0.454,44.201
4.320,-29.180,-0.071,0.454,44.242
4.340,-30.949,-0.062,0.454,44.247
4.360,-32.262,-0.051,0.454,44.209
4.380,-33.100,-0.034,0.454,44.132
4.400,-33.393,-0.019,0.454,44.020
4.420,-33.293,0.004,0.454,43.878
4.440,-32.654,0.019,0.454,43.715
4.460,-31.523,0.042,0.454,43.543
4.480,-29.906,0.069,0.454,43.370
4.500,-27.855,0.091,0.454,43.205
4.520,-25.412,0.121,0.454,43.059
4.540,-22.541,0.148,0.454,42.940
4.560,-19.354,0.172,0.454,42.854
4.580,-15.861,0.204,0.454,42.808
4.600,-12.164,0.222,0.454,42.803
4.620,-8.250,0.254,0.453,42.840
4.640,-4.225,0.269,0.453,42.917
4.660,-0.135,0.295,0.453,43.031
4.680,3.973,0.308,0.453,43.177
4.700,7.986,0.335,0.453,43.346
4.720,11.924,0.342,0.453,43.535
4.740,15.662,0.358,0.453,43.723
4.760,19.195,0.360,0.453,43.913
4.780,22.406,0.366,0.453,44.080
4.800,25.348,0.365,0.453,44.229
4.820,27.844,0.368,0.453,44.340
4.840,29.959,0.354,0.453,44.418
4.860,31.629,0.350,0.453,44.447
4.880,32.824,0.338,0.453,44.439
4.900,33.562,0.320,0.453,44.387
4.920,33.791,0.307,0.453,44.300
4.940,33.527,0.284,0.453,44.182
4.960,32.760,0.262,0.453,44.047
4.980,31.541,0.240,0.453,43.898
5.000,29.836,0.214,0.453,43.749
5.020,27.732,0.188,0.453,43.609
5.040,25.154,0.160,0.453,43.486
5.060,22.242,0.132,0.453,43.390
5.080,19.002,0.112,0.453,43.326
5.100,15.475,0.079,0.453,43.298
